internal_project_id,evidence_date,outcome_type,failure_category,evidence_summary,source_scope
PAI-00196,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00212,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00220,2026-03-01,CANCELLED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00226,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00238,2026-03-01,DROPPED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00240,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00260,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00272,2026-03-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00273,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00280,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00283,2026-03-01,DROPPED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00284,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00293,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00296,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00312,2026-03-01,DROPPED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00320,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00322,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00324,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00333,2026-03-01,ABANDONED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00339,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00350,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00368,2026-03-01,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00369,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00379,2026-03-01,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00382,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00386,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00391,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00398,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00399,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00400,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00402,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00407,2026-03-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00410,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00413,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00424,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00427,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00436,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00439,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00448,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00449,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00460,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00464,2026-03-01,ABANDONED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00465,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00480,2026-03-01,TERMINATED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00482,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00485,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00499,2026-03-01,DROPPED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00503,2026-03-01,TERMINATED,FUNDING,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00508,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00516,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00520,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00535,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00538,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00540,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00542,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00549,2026-03-01,TERMINATED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00553,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00562,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00566,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00571,2026-03-01,TERMINATED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00587,2026-03-01,CANCELLED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00588,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00596,2026-03-01,DROPPED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00599,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00601,2026-03-01,TERMINATED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00605,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00608,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00614,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00616,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00630,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00634,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00637,2026-03-01,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00647,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00649,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00653,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00664,2026-03-01,DROPPED,CLEARANCE,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00668,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00669,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00674,2026-03-01,DROPPED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00675,2026-03-01,ABANDONED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00676,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00681,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00683,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00686,2026-03-01,DROPPED,FUNDING,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00692,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00694,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00695,2026-03-01,TERMINATED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00697,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00698,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00713,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00719,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00720,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00721,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00723,2026-03-01,ABANDONED,FUNDING,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00747,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00748,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00755,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00761,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00762,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00763,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00771,2026-03-01,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00786,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00794,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00796,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00801,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00809,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00811,2026-03-01,TERMINATED,FUNDING,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00836,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00840,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00846,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00850,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00858,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00862,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00866,2026-03-01,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00871,2026-03-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00875,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00878,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00890,2026-03-01,CANCELLED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00892,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00893,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00902,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00907,2026-03-01,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00923,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00934,2026-03-01,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00935,2026-03-01,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00938,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00945,2026-03-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00947,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00950,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00952,2026-03-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-00954,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00955,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00956,2026-03-01,ABANDONED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00957,2026-03-01,DROPPED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00964,2026-03-01,TERMINATED,FUNDING,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00968,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00981,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-00982,2026-03-01,DROPPED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-00986,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-00988,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00993,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-00994,2026-03-01,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-00995,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01003,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01013,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01025,2026-03-01,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01029,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01044,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01050,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01055,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01057,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01076,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01077,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01080,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01082,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
