internal_project_id,reporting_date,planned_progress_pct,physical_progress_pct,progress_gap_pct,planned_expenditure_cr,period_expenditure_cr,cumulative_expenditure_cr,milestones_planned,milestones_completed,delay_days
PAI-00003,2025-04-01,64.38,62.1,2.28,33.5,2.58,28.91,8,4,0
PAI-00003,2025-05-01,59.26,52.41,6.85,30.84,2.55,31.46,8,3,43
PAI-00003,2025-06-01,75.21,71.72,3.49,39.13,2.05,33.51,8,5,17
PAI-00003,2025-07-01,77.27,74.56,2.71,40.2,1.23,34.74,8,5,1
PAI-00003,2025-08-01,80.16,75.61,4.56,41.71,3.34,38.08,8,5,34
PAI-00003,2025-09-01,71.39,66.21,5.18,37.14,1.52,39.6,8,8,15
PAI-00003,2025-10-01,100.0,90.18,9.82,52.03,1.72,41.32,8,5,34
PAI-00003,2025-11-01,88.17,78.48,9.7,45.88,1.9,43.22,8,6,46
PAI-00003,2025-12-01,89.37,80.87,8.5,46.5,2.1,45.32,8,7,5
PAI-00003,2026-01-01,96.13,89.26,6.87,50.02,1.72,47.04,8,7,0
PAI-00003,2026-02-01,100.0,92.15,7.85,52.03,5.5,52.54,8,8,17
PAI-00003,2026-03-01,100.0,91.84,8.16,52.03,2.58,55.12,8,7,56
PAI-00004,2024-04-01,5.0,0.0,5.0,3.13,1.39,1.39,5,0,7
PAI-00004,2024-05-01,9.81,0.0,9.81,6.14,2.17,3.56,5,0,74
PAI-00004,2024-06-01,12.12,0.0,12.12,7.59,1.72,5.28,5,0,52
PAI-00004,2024-07-01,18.01,2.25,15.76,11.28,1.89,7.17,5,1,56
PAI-00004,2024-08-01,21.59,11.35,10.24,13.52,3.03,10.2,5,1,47
PAI-00004,2024-09-01,25.98,8.64,17.34,16.27,1.26,11.46,5,0,52
PAI-00004,2024-10-01,36.53,23.16,13.37,22.88,2.14,13.6,5,0,25
PAI-00004,2024-11-01,34.32,21.98,12.34,21.49,1.96,15.56,5,1,13
PAI-00004,2024-12-01,43.91,32.36,11.54,27.5,1.8,17.36,5,1,33
PAI-00004,2025-01-01,53.94,38.79,15.16,33.79,1.59,18.95,5,1,79
PAI-00004,2025-02-01,45.66,29.86,15.8,28.6,2.16,21.11,5,2,81
PAI-00004,2025-03-01,57.47,38.2,19.27,35.99,2.4,23.51,5,2,66
PAI-00004,2025-04-01,56.35,36.07,20.28,35.29,3.04,26.55,5,3,24
PAI-00004,2025-05-01,70.41,51.15,19.26,44.1,1.8,28.35,5,3,76
PAI-00004,2025-06-01,70.99,52.03,18.96,44.46,2.68,31.03,5,2,80
PAI-00004,2025-07-01,84.87,66.01,18.86,53.16,1.69,32.72,5,2,62
PAI-00004,2025-08-01,69.19,50.85,18.34,43.33,1.66,34.38,5,4,57
PAI-00004,2025-09-01,70.46,48.32,22.15,44.13,2.23,36.61,5,3,62
PAI-00004,2025-10-01,86.96,66.67,20.29,54.46,2.87,39.48,5,2,76
PAI-00004,2025-11-01,88.49,70.83,17.66,55.42,3.0,42.48,5,4,28
PAI-00004,2025-12-01,100.0,77.48,22.52,62.63,2.36,44.84,5,3,65
PAI-00004,2026-01-01,100.0,77.93,22.07,62.63,2.11,46.95,5,3,82
PAI-00004,2026-02-01,100.0,77.48,22.52,62.63,1.75,48.7,5,5,34
PAI-00004,2026-03-01,100.0,75.72,24.28,62.63,2.09,50.79,5,4,97
PAI-00005,2024-04-01,4.88,2.25,2.62,2.86,5.34,5.34,7,0,0
PAI-00005,2024-05-01,9.0,3.54,5.47,5.28,2.86,8.2,7,0,36
PAI-00005,2024-06-01,14.91,10.49,4.42,8.74,2.8,11.0,7,1,6
PAI-00005,2024-07-01,16.27,15.03,1.24,9.54,2.05,13.05,7,1,0
PAI-00005,2024-08-01,23.39,20.53,2.86,13.72,3.71,16.76,7,0,7
PAI-00005,2024-09-01,32.09,30.3,1.79,18.82,2.19,18.95,7,1,9
PAI-00005,2024-10-01,36.11,36.11,0.0,21.18,2.61,21.56,7,1,5
PAI-00005,2024-11-01,38.79,34.69,4.1,22.74,1.77,23.33,7,3,34
PAI-00005,2024-12-01,42.21,41.96,0.24,24.75,1.97,25.3,7,2,0
PAI-00005,2025-01-01,41.18,39.44,1.73,24.15,2.35,27.65,7,2,22
PAI-00005,2025-02-01,43.37,43.24,0.13,25.43,3.94,31.59,7,4,23
PAI-00005,2025-03-01,47.66,43.05,4.61,27.95,5.85,37.44,7,1,21
PAI-00005,2025-04-01,51.52,48.73,2.79,30.21,2.75,40.19,7,5,33
PAI-00005,2025-05-01,72.48,71.35,1.13,42.5,2.11,42.3,7,4,4
PAI-00005,2025-06-01,77.71,72.47,5.24,45.57,2.34,44.64,7,5,32
PAI-00005,2025-07-01,70.67,67.63,3.04,41.44,2.38,47.02,7,5,14
PAI-00005,2025-08-01,69.16,64.33,4.83,40.55,2.97,49.99,7,4,0
PAI-00005,2025-09-01,96.61,95.18,1.43,56.65,3.51,53.5,7,5,14
PAI-00005,2025-10-01,98.67,94.89,3.79,57.86,1.06,54.56,7,6,24
PAI-00005,2025-11-01,100.0,98.6,1.4,58.64,1.32,55.88,7,6,0
PAI-00005,2025-12-01,100.0,96.22,3.78,58.64,4.8,60.68,7,7,3
PAI-00005,2026-01-01,100.0,96.17,3.83,58.64,1.95,62.63,7,6,0
PAI-00005,2026-02-01,100.0,97.9,2.1,58.64,3.11,65.74,7,6,25
PAI-00005,2026-03-01,99.98,97.58,2.4,58.63,2.3,68.04,7,5,0
PAI-00006,2024-04-01,4.42,0.0,4.42,3.4,2.01,2.01,8,0,58
PAI-00006,2024-05-01,10.06,0.0,10.06,7.74,3.77,5.78,8,0,41
PAI-00006,2024-06-01,12.44,0.0,12.44,9.57,3.86,9.64,8,0,89
PAI-00006,2024-07-01,15.66,0.0,15.66,12.04,2.07,11.71,8,2,79
PAI-00006,2024-08-01,24.62,0.0,24.62,18.93,1.33,13.04,8,1,102
PAI-00006,2024-09-01,27.05,0.0,27.05,20.8,1.6,14.64,8,1,93
PAI-00006,2024-10-01,36.64,4.99,31.65,28.18,1.4,16.04,8,1,99
PAI-00006,2024-11-01,35.3,4.77,30.53,27.15,1.52,17.56,8,2,92
PAI-00006,2024-12-01,38.56,8.98,29.57,29.65,2.95,20.51,8,4,96
PAI-00006,2025-01-01,42.63,7.98,34.65,32.78,2.42,22.93,8,2,131
PAI-00006,2025-02-01,54.52,22.56,31.95,41.93,2.56,25.49,8,2,94
PAI-00006,2025-03-01,52.7,20.36,32.33,40.53,1.35,26.84,8,3,113
PAI-00006,2025-04-01,58.92,23.26,35.65,45.31,2.55,29.39,8,4,144
PAI-00006,2025-05-01,64.84,32.68,32.16,49.87,1.49,30.88,8,5,98
PAI-00006,2025-06-01,69.52,32.08,37.44,53.47,1.42,32.3,8,5,119
PAI-00006,2025-07-01,70.96,36.29,34.68,54.58,1.63,33.93,8,5,102
PAI-00006,2025-08-01,74.78,39.33,35.45,57.51,2.49,36.42,8,6,154
PAI-00006,2025-09-01,78.48,43.06,35.42,60.36,1.53,37.95,8,5,129
PAI-00006,2025-10-01,97.71,61.2,36.51,75.15,1.21,39.16,8,6,111
PAI-00006,2025-11-01,91.11,53.22,37.89,70.07,2.28,41.44,8,5,98
PAI-00006,2025-12-01,100.0,58.73,41.27,76.91,2.07,43.51,8,7,107
PAI-00006,2026-01-01,84.79,44.36,40.43,65.21,2.14,45.65,8,7,128
PAI-00006,2026-02-01,100.0,59.16,40.84,76.91,3.43,49.08,8,7,164
PAI-00006,2026-03-01,100.0,60.73,39.27,76.91,2.85,51.93,8,6,71
PAI-00007,2024-04-01,5.07,2.27,2.79,2.03,1.72,1.72,7,0,14
PAI-00007,2024-05-01,10.29,7.0,3.29,4.11,0.94,2.66,7,0,0
PAI-00007,2024-06-01,15.19,14.69,0.51,6.07,1.2,3.86,7,0,13
PAI-00007,2024-07-01,19.76,16.48,3.28,7.9,1.47,5.33,7,1,1
PAI-00007,2024-08-01,26.49,24.32,2.17,10.59,1.64,6.97,7,0,3
PAI-00007,2024-09-01,27.81,24.38,3.43,11.12,3.37,10.34,7,3,4
PAI-00007,2024-10-01,29.65,24.66,4.99,11.85,1.54,11.88,7,2,21
PAI-00007,2024-11-01,39.99,37.51,2.48,15.99,1.94,13.82,7,2,0
PAI-00007,2024-12-01,34.84,33.6,1.24,13.93,2.43,16.25,7,2,8
PAI-00007,2025-01-01,49.17,45.71,3.46,19.66,1.48,17.73,7,3,39
PAI-00007,2025-02-01,57.16,54.68,2.48,22.85,1.34,19.07,7,3,49
PAI-00007,2025-03-01,48.95,45.49,3.46,19.57,1.4,20.47,7,3,0
PAI-00007,2025-04-01,50.74,50.17,0.57,20.29,1.29,21.76,7,3,0
PAI-00007,2025-05-01,65.96,65.28,0.67,26.37,0.95,22.71,7,4,0
PAI-00007,2025-06-01,64.76,61.57,3.18,25.89,2.97,25.68,7,4,44
PAI-00007,2025-07-01,60.92,57.5,3.42,24.36,2.06,27.74,7,3,48
PAI-00007,2025-08-01,69.59,67.66,1.93,27.82,2.23,29.97,7,4,0
PAI-00007,2025-09-01,93.46,88.75,4.7,37.36,1.64,31.61,7,4,0
PAI-00007,2025-10-01,100.0,96.87,3.13,39.98,1.17,32.78,7,5,0
PAI-00007,2025-11-01,100.0,95.79,4.21,39.98,3.03,35.81,7,5,7
PAI-00007,2025-12-01,90.44,88.64,1.8,36.16,1.61,37.42,7,6,18
PAI-00007,2026-01-01,94.88,94.88,0.0,37.93,2.89,40.31,7,7,0
PAI-00007,2026-02-01,97.44,97.44,0.0,38.96,1.18,41.49,7,6,0
PAI-00007,2026-03-01,94.05,92.06,1.99,37.6,1.72,43.21,7,6,0
PAI-00008,2024-04-01,4.99,3.46,1.53,0.33,0.49,0.49,5,0,0
PAI-00008,2024-05-01,9.79,5.19,4.6,0.64,0.28,0.77,5,0,25
PAI-00008,2024-06-01,13.92,10.03,3.9,0.91,0.23,1.0,5,1,0
PAI-00008,2024-07-01,16.36,11.39,4.97,1.07,0.37,1.37,5,1,0
PAI-00008,2024-08-01,23.47,19.65,3.82,1.53,0.38,1.75,5,1,23
PAI-00008,2024-09-01,29.92,26.65,3.28,1.95,0.29,2.04,5,2,5
PAI-00008,2024-10-01,34.4,27.72,6.68,2.25,0.25,2.29,5,1,13
PAI-00008,2024-11-01,37.11,33.32,3.79,2.42,0.28,2.57,5,2,5
PAI-00008,2024-12-01,42.87,39.45,3.42,2.8,0.33,2.9,5,3,16
PAI-00008,2025-01-01,50.69,48.49,2.2,3.31,0.32,3.22,5,1,20
PAI-00008,2025-02-01,53.9,53.34,0.56,3.52,0.22,3.44,5,1,0
PAI-00008,2025-03-01,49.2,46.46,2.74,3.21,0.25,3.69,5,4,38
PAI-00008,2025-04-01,56.13,52.58,3.55,3.67,0.27,3.96,5,2,22
PAI-00008,2025-05-01,55.22,46.33,8.89,3.61,0.12,4.08,5,2,0
PAI-00008,2025-06-01,78.54,78.54,0.0,5.13,0.3,4.38,5,1,0
PAI-00008,2025-07-01,71.26,67.51,3.75,4.65,0.23,4.61,5,2,9
PAI-00008,2025-08-01,69.33,66.21,3.12,4.53,0.16,4.77,5,3,29
PAI-00008,2025-09-01,77.72,70.68,7.04,5.07,0.33,5.1,5,2,34
PAI-00008,2025-10-01,79.71,78.57,1.14,5.21,0.31,5.41,5,3,25
PAI-00008,2025-11-01,79.52,76.49,3.03,5.19,0.21,5.62,5,3,20
PAI-00008,2025-12-01,99.01,97.31,1.69,6.47,0.25,5.87,5,5,3
PAI-00008,2026-01-01,91.71,88.49,3.22,5.99,0.37,6.24,5,5,29
PAI-00008,2026-02-01,100.0,97.04,2.96,6.53,0.29,6.53,5,5,26
PAI-00008,2026-03-01,92.49,90.44,2.05,6.04,0.28,6.81,5,5,0
PAI-00009,2024-04-01,4.03,0.0,4.03,3.87,3.64,3.64,7,0,52
PAI-00009,2024-05-01,9.12,0.0,9.12,8.74,3.91,7.55,7,1,58
PAI-00009,2024-06-01,15.86,0.0,15.86,15.21,3.35,10.9,7,0,24
PAI-00009,2024-07-01,20.85,0.16,20.68,20.0,3.93,14.83,7,1,58
PAI-00009,2024-08-01,25.18,3.52,21.66,24.15,3.63,18.46,7,2,93
PAI-00009,2024-09-01,31.66,8.3,23.36,30.36,2.65,21.11,7,2,44
PAI-00009,2024-10-01,34.08,11.3,22.78,32.68,1.98,23.09,7,1,47
PAI-00009,2024-11-01,34.55,7.65,26.9,33.14,4.64,27.73,7,2,46
PAI-00009,2024-12-01,39.82,17.84,21.98,38.19,2.89,30.62,7,3,95
PAI-00009,2025-01-01,39.85,12.86,26.99,38.22,2.4,33.02,7,3,91
PAI-00009,2025-02-01,56.8,32.53,24.26,54.47,3.94,36.96,7,2,55
PAI-00009,2025-03-01,59.91,32.3,27.61,57.46,2.74,39.7,7,3,81
PAI-00009,2025-04-01,63.58,33.02,30.55,60.98,4.25,43.95,7,4,77
PAI-00009,2025-05-01,74.98,47.23,27.75,71.91,1.77,45.72,7,4,89
PAI-00009,2025-06-01,79.93,52.75,27.17,76.66,1.74,47.46,7,5,65
PAI-00009,2025-07-01,76.19,50.66,25.53,73.08,2.13,49.59,7,3,90
PAI-00009,2025-08-01,87.31,55.28,32.03,83.73,1.86,51.45,7,4,101
PAI-00009,2025-09-01,89.37,59.09,30.29,85.72,3.1,54.55,7,6,105
PAI-00009,2025-10-01,82.25,50.83,31.42,78.89,4.79,59.34,7,5,95
PAI-00009,2025-11-01,98.52,69.88,28.64,94.49,2.71,62.05,7,6,51
PAI-00009,2025-12-01,87.85,51.98,35.87,84.26,2.01,64.06,7,6,98
PAI-00009,2026-01-01,92.94,60.75,32.19,89.14,2.94,67.0,7,6,65
PAI-00009,2026-02-01,100.0,64.37,35.63,95.91,2.73,69.73,7,7,92
PAI-00009,2026-03-01,100.0,64.48,35.52,95.91,2.41,72.14,7,7,94
PAI-00010,2024-04-01,4.91,0.09,4.83,0.97,0.69,0.69,8,0,34
PAI-00010,2024-05-01,8.67,2.57,6.1,1.7,0.63,1.32,8,1,15
PAI-00010,2024-06-01,13.74,10.23,3.51,2.7,0.62,1.94,8,2,16
PAI-00010,2024-07-01,16.81,9.85,6.96,3.3,0.64,2.58,8,2,25
PAI-00010,2024-08-01,23.62,20.83,2.78,4.64,0.91,3.49,8,0,18
PAI-00010,2024-09-01,23.59,17.04,6.56,4.64,0.92,4.41,8,1,26
PAI-00010,2024-10-01,35.56,31.99,3.56,6.99,0.62,5.03,8,1,11
PAI-00010,2024-11-01,39.58,35.87,3.71,7.78,1.6,6.63,8,2,10
PAI-00010,2024-12-01,47.85,43.79,4.06,9.41,1.25,7.88,8,2,0
PAI-00010,2025-01-01,44.7,43.5,1.2,8.79,1.07,8.95,8,2,15
PAI-00010,2025-02-01,58.47,53.76,4.71,11.5,0.93,9.88,8,3,27
PAI-00010,2025-03-01,46.41,42.17,4.25,9.13,1.05,10.93,8,2,0
PAI-00010,2025-04-01,69.57,66.54,3.04,13.68,0.86,11.79,8,4,25
PAI-00010,2025-05-01,74.55,70.73,3.82,14.66,0.62,12.41,8,4,5
PAI-00010,2025-06-01,64.06,63.51,0.55,12.59,1.05,13.46,8,4,2
PAI-00010,2025-07-01,64.39,62.44,1.95,12.66,0.97,14.43,8,5,1
PAI-00010,2025-08-01,65.01,61.36,3.65,12.78,0.89,15.32,8,6,0
PAI-00010,2025-09-01,85.56,81.07,4.49,16.82,0.95,16.27,8,4,0
PAI-00010,2025-10-01,99.21,98.36,0.85,19.51,0.69,16.96,8,6,31
PAI-00010,2025-11-01,100.0,95.4,4.6,19.66,1.9,18.86,8,6,14
PAI-00010,2025-12-01,99.0,96.38,2.62,19.46,0.74,19.6,8,6,0
PAI-00010,2026-01-01,96.9,92.6,4.29,19.05,1.02,20.62,8,7,10
PAI-00010,2026-02-01,100.0,97.78,2.22,19.66,1.19,21.81,8,8,0
PAI-00010,2026-03-01,93.7,88.74,4.96,18.42,0.65,22.46,8,7,5
PAI-00011,2024-04-01,3.88,0.0,3.88,2.62,3.43,3.43,7,0,5
PAI-00011,2024-05-01,10.45,3.7,6.75,7.06,1.41,4.84,7,1,0
PAI-00011,2024-06-01,15.69,15.69,0.0,10.59,4.49,9.33,7,0,9
PAI-00011,2024-07-01,19.36,16.22,3.14,13.07,3.83,13.16,7,0,35
PAI-00011,2024-08-01,23.34,19.21,4.13,15.75,3.23,16.39,7,1,36
PAI-00011,2024-09-01,28.31,27.34,0.98,19.11,3.93,20.32,7,1,0
PAI-00011,2024-10-01,36.79,33.51,3.28,24.83,6.64,26.96,7,1,28
PAI-00011,2024-11-01,31.03,23.85,7.18,20.94,3.7,30.66,7,1,0
PAI-00011,2024-12-01,44.43,39.85,4.58,29.98,3.52,34.18,7,2,0
PAI-00011,2025-01-01,52.11,46.49,5.61,35.17,3.77,37.95,7,2,41
PAI-00011,2025-02-01,44.57,41.99,2.57,30.08,2.02,39.97,7,3,0
PAI-00011,2025-03-01,58.95,56.17,2.78,39.78,3.42,43.39,7,4,23
PAI-00011,2025-04-01,58.87,52.26,6.61,39.73,2.6,45.99,7,4,46
PAI-00011,2025-05-01,69.29,68.37,0.92,46.76,3.88,49.87,7,2,0
PAI-00011,2025-06-01,70.98,67.74,3.25,47.91,2.76,52.63,7,5,24
PAI-00011,2025-07-01,64.5,61.92,2.58,43.53,2.59,55.22,7,4,2
PAI-00011,2025-08-01,78.51,75.13,3.38,52.98,2.16,57.38,7,5,17
PAI-00011,2025-09-01,82.37,75.9,6.47,55.59,2.4,59.78,7,5,5
PAI-00011,2025-10-01,99.01,92.83,6.18,66.82,3.8,63.58,7,6,9
PAI-00011,2025-11-01,86.74,83.18,3.57,58.54,2.11,65.69,7,6,0
PAI-00011,2025-12-01,83.6,79.84,3.76,56.42,3.59,69.28,7,7,35
PAI-00011,2026-01-01,97.04,94.92,2.11,65.49,2.83,72.11,7,4,13
PAI-00011,2026-02-01,100.0,95.52,4.48,67.49,3.28,75.39,7,6,40
PAI-00011,2026-03-01,100.0,97.7,2.3,67.49,3.25,78.64,7,7,0
PAI-00012,2024-04-01,4.97,0.0,4.97,1.8,1.59,1.59,5,0,31
PAI-00012,2024-05-01,8.0,3.41,4.58,2.89,1.33,2.92,5,0,16
PAI-00012,2024-06-01,16.11,11.74,4.37,5.81,1.57,4.49,5,0,0
PAI-00012,2024-07-01,20.79,18.01,2.78,7.5,2.82,7.31,5,0,0
PAI-00012,2024-08-01,26.88,26.88,0.0,9.7,2.31,9.62,5,0,0
PAI-00012,2024-09-01,28.4,24.69,3.71,10.25,2.32,11.94,5,2,0
PAI-00012,2024-10-01,37.07,35.59,1.47,13.38,1.44,13.38,5,1,2
PAI-00012,2024-11-01,36.63,30.65,5.98,13.22,1.9,15.28,5,1,16
PAI-00012,2024-12-01,40.93,35.87,5.06,14.77,1.87,17.15,5,0,19
PAI-00012,2025-01-01,44.66,44.62,0.03,16.12,3.71,20.86,5,1,0
PAI-00012,2025-02-01,50.38,48.25,2.13,18.18,2.51,23.37,5,1,19
PAI-00012,2025-03-01,49.96,48.69,1.27,18.03,2.13,25.5,5,2,0
PAI-00012,2025-04-01,59.45,59.19,0.25,21.45,1.43,26.93,5,1,31
PAI-00012,2025-05-01,63.19,59.48,3.71,22.81,2.26,29.19,5,3,18
PAI-00012,2025-06-01,62.86,61.12,1.74,22.69,1.11,30.3,5,3,21
PAI-00012,2025-07-01,82.22,82.22,0.0,29.67,3.29,33.59,5,3,0
PAI-00012,2025-08-01,79.08,75.72,3.36,28.54,1.3,34.89,5,3,23
PAI-00012,2025-09-01,94.83,94.83,0.0,34.22,1.16,36.05,5,4,0
PAI-00012,2025-10-01,84.04,82.31,1.73,30.33,2.17,38.22,5,2,0
PAI-00012,2025-11-01,97.5,94.68,2.81,35.19,3.18,41.4,5,3,0
PAI-00012,2025-12-01,85.38,79.92,5.46,30.82,2.7,44.1,5,4,8
PAI-00012,2026-01-01,100.0,100.0,0.0,36.09,3.5,47.6,5,5,0
PAI-00012,2026-02-01,100.0,95.31,4.69,36.09,1.9,49.5,5,4,24
PAI-00012,2026-03-01,100.0,99.83,0.17,36.09,2.36,51.86,5,4,24
PAI-00013,2024-04-01,4.7,2.1,2.6,2.3,2.91,2.91,7,0,45
PAI-00013,2024-05-01,10.21,4.86,5.35,4.98,1.67,4.58,7,0,14
PAI-00013,2024-06-01,15.0,11.74,3.26,7.32,1.64,6.22,7,1,0
PAI-00013,2024-07-01,17.86,12.18,5.69,8.72,1.24,7.46,7,0,11
PAI-00013,2024-08-01,23.76,19.13,4.63,11.6,2.52,9.98,7,2,0
PAI-00013,2024-09-01,25.94,21.17,4.77,12.66,4.36,14.34,7,3,6
PAI-00013,2024-10-01,29.24,25.17,4.07,14.27,1.58,15.92,7,1,43
PAI-00013,2024-11-01,41.93,39.16,2.77,20.47,1.77,17.69,7,2,26
PAI-00013,2024-12-01,41.92,39.05,2.87,20.47,1.58,19.27,7,3,23
PAI-00013,2025-01-01,39.04,36.55,2.49,19.06,3.01,22.28,7,1,17
PAI-00013,2025-02-01,44.76,43.28,1.48,21.85,2.01,24.29,7,3,7
PAI-00013,2025-03-01,52.76,51.23,1.53,25.76,3.37,27.66,7,4,0
PAI-00013,2025-04-01,50.51,49.24,1.28,24.66,1.89,29.55,7,4,0
PAI-00013,2025-05-01,70.95,67.91,3.04,34.64,1.98,31.53,7,5,19
PAI-00013,2025-06-01,73.76,69.87,3.89,36.01,1.55,33.08,7,4,0
PAI-00013,2025-07-01,62.52,61.41,1.11,30.52,2.27,35.35,7,5,9
PAI-00013,2025-08-01,85.07,82.29,2.78,41.53,2.64,37.99,7,5,10
PAI-00013,2025-09-01,84.7,81.6,3.1,41.35,1.71,39.7,7,3,0
PAI-00013,2025-10-01,73.78,71.61,2.17,36.02,1.95,41.65,7,5,18
PAI-00013,2025-11-01,100.0,97.8,2.2,48.82,1.44,43.09,7,6,28
PAI-00013,2025-12-01,86.93,83.98,2.95,42.44,1.94,45.03,7,6,4
PAI-00013,2026-01-01,88.62,86.02,2.59,43.26,3.24,48.27,7,6,16
PAI-00013,2026-02-01,100.0,100.0,0.0,48.82,2.02,50.29,7,5,0
PAI-00013,2026-03-01,100.0,96.5,3.5,48.82,1.93,52.22,7,7,6
PAI-00014,2024-04-01,3.88,0.0,3.88,0.58,0.53,0.53,7,0,17
