internal_project_id,reporting_date,issue_category,issue_description,issue_status,severity
PAI-00004,2025-02-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00004,2025-04-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,RESOLVED,LOW
PAI-00004,2025-05-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,IN_PROGRESS,LOW
PAI-00004,2025-05-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,MEDIUM
PAI-00004,2025-06-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,HIGH
PAI-00004,2025-07-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,HIGH
PAI-00004,2025-07-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00004,2025-08-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,HIGH
PAI-00004,2025-08-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,MEDIUM
PAI-00004,2025-08-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,IN_PROGRESS,MEDIUM
PAI-00004,2025-08-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,IN_PROGRESS,HIGH
PAI-00004,2025-10-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,MEDIUM
PAI-00004,2025-11-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00004,2026-01-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00005,2026-03-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,LOW
PAI-00006,2024-04-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,HIGH
PAI-00006,2024-05-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00006,2024-05-01,CLEARANCE,Synthetic monitoring issue related to clearance.,IN_PROGRESS,LOW
PAI-00006,2024-07-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,MEDIUM
PAI-00006,2024-08-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00006,2024-08-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,MEDIUM
PAI-00006,2024-08-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,OPEN,LOW
PAI-00006,2024-09-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,HIGH
PAI-00006,2024-10-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,OPEN,MEDIUM
PAI-00006,2024-11-01,FUNDING,Synthetic monitoring issue related to funding.,RESOLVED,MEDIUM
PAI-00006,2025-01-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,LOW
PAI-00006,2025-03-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00006,2025-04-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00006,2025-04-01,FUNDING,Synthetic monitoring issue related to funding.,RESOLVED,MEDIUM
PAI-00006,2025-04-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,LOW
PAI-00006,2025-05-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,OPEN,LOW
PAI-00006,2025-06-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,RESOLVED,LOW
PAI-00006,2025-06-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00006,2025-07-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,RESOLVED,HIGH
PAI-00006,2025-07-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,MEDIUM
PAI-00006,2025-07-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00006,2025-08-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00006,2025-08-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,MEDIUM
PAI-00006,2025-09-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00006,2025-10-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,HIGH
PAI-00006,2025-10-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00006,2025-10-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,MEDIUM
PAI-00006,2025-11-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,MEDIUM
PAI-00006,2025-12-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,MEDIUM
PAI-00006,2026-01-01,FUNDING,Synthetic monitoring issue related to funding.,OPEN,HIGH
PAI-00006,2026-01-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00006,2026-02-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,MEDIUM
PAI-00007,2025-02-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,RESOLVED,MEDIUM
PAI-00007,2025-03-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,HIGH
PAI-00007,2025-06-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,MEDIUM
PAI-00007,2025-11-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00007,2026-02-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,HIGH
PAI-00008,2025-10-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,MEDIUM
PAI-00008,2025-11-01,FUNDING,Synthetic monitoring issue related to funding.,RESOLVED,MEDIUM
PAI-00009,2024-04-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,OPEN,LOW
PAI-00009,2024-04-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,OPEN,MEDIUM
PAI-00009,2024-05-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,LOW
PAI-00009,2024-05-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,HIGH
PAI-00009,2024-06-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00009,2024-08-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,OPEN,MEDIUM
PAI-00009,2024-09-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,MEDIUM
PAI-00009,2024-09-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,MEDIUM
PAI-00009,2024-12-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,MEDIUM
PAI-00009,2025-01-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,MEDIUM
PAI-00009,2025-02-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,OPEN,MEDIUM
PAI-00009,2025-03-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00009,2025-03-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,OPEN,HIGH
PAI-00009,2025-04-01,FUNDING,Synthetic monitoring issue related to funding.,OPEN,MEDIUM
PAI-00009,2025-06-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,OPEN,MEDIUM
PAI-00009,2025-10-01,CLEARANCE,Synthetic monitoring issue related to clearance.,IN_PROGRESS,HIGH
PAI-00009,2025-10-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,LOW
PAI-00009,2025-11-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,LOW
PAI-00009,2025-12-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,MEDIUM
PAI-00009,2026-01-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00009,2026-01-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,HIGH
PAI-00009,2026-01-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,LOW
PAI-00009,2026-02-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,OPEN,MEDIUM
PAI-00009,2026-02-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,RESOLVED,MEDIUM
PAI-00009,2026-03-01,FUNDING,Synthetic monitoring issue related to funding.,IN_PROGRESS,MEDIUM
PAI-00009,2026-03-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00011,2024-08-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,MEDIUM
PAI-00011,2024-11-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,LOW
PAI-00012,2025-12-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,IN_PROGRESS,LOW
PAI-00013,2026-02-01,FUNDING,Synthetic monitoring issue related to funding.,RESOLVED,LOW
PAI-00014,2024-05-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,MEDIUM
PAI-00014,2025-01-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,LOW
PAI-00014,2025-03-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,LOW
PAI-00014,2025-11-01,FUNDING,Synthetic monitoring issue related to funding.,IN_PROGRESS,LOW
PAI-00015,2024-04-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00015,2024-05-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,MEDIUM
PAI-00015,2024-06-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,HIGH
PAI-00015,2024-06-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,HIGH
PAI-00015,2024-06-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,HIGH
PAI-00015,2024-07-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,MEDIUM
PAI-00015,2024-07-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,HIGH
PAI-00015,2024-10-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,LOW
PAI-00015,2024-10-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,HIGH
PAI-00015,2024-11-01,FUNDING,Synthetic monitoring issue related to funding.,RESOLVED,MEDIUM
PAI-00015,2024-11-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,IN_PROGRESS,MEDIUM
PAI-00015,2024-11-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,OPEN,LOW
PAI-00015,2024-12-01,CLEARANCE,Synthetic monitoring issue related to clearance.,IN_PROGRESS,HIGH
PAI-00015,2025-01-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,HIGH
PAI-00015,2025-01-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,LOW
PAI-00015,2025-03-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,RESOLVED,MEDIUM
PAI-00015,2025-04-01,FUNDING,Synthetic monitoring issue related to funding.,OPEN,MEDIUM
PAI-00015,2025-05-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00015,2025-09-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,HIGH
PAI-00015,2025-11-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,MEDIUM
PAI-00015,2025-11-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,LOW
PAI-00015,2026-02-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00015,2026-03-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00016,2024-06-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,MEDIUM
PAI-00016,2024-07-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,LOW
PAI-00016,2024-09-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,OPEN,MEDIUM
PAI-00016,2024-09-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,LOW
PAI-00016,2024-12-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,MEDIUM
PAI-00016,2025-06-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,HIGH
PAI-00017,2024-04-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,HIGH
PAI-00017,2024-04-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,RESOLVED,HIGH
PAI-00017,2024-06-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,LOW
PAI-00017,2024-06-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,OPEN,LOW
PAI-00017,2024-08-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,MEDIUM
PAI-00017,2024-08-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,MEDIUM
PAI-00017,2024-09-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,MEDIUM
PAI-00017,2024-11-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,HIGH
PAI-00017,2024-12-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,LOW
PAI-00017,2025-01-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,MEDIUM
PAI-00017,2025-02-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00017,2025-04-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,LOW
PAI-00017,2025-07-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,IN_PROGRESS,MEDIUM
PAI-00017,2025-07-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,RESOLVED,LOW
PAI-00017,2025-08-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,MEDIUM
PAI-00017,2025-08-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,IN_PROGRESS,LOW
PAI-00017,2025-09-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,MEDIUM
PAI-00017,2025-09-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,MEDIUM
PAI-00017,2025-10-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00017,2025-10-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00017,2025-12-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00017,2026-02-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,HIGH
PAI-00017,2026-03-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,MEDIUM
PAI-00018,2024-08-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00018,2025-01-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00018,2025-02-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,LOW
PAI-00018,2025-05-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,OPEN,LOW
PAI-00018,2025-05-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00018,2025-10-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,MEDIUM
PAI-00019,2025-03-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,LOW
PAI-00020,2024-05-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,MEDIUM
PAI-00020,2024-07-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,HIGH
PAI-00020,2024-08-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,RESOLVED,MEDIUM
PAI-00020,2024-12-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,MEDIUM
PAI-00020,2024-12-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,MEDIUM
PAI-00020,2025-01-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,OPEN,LOW
PAI-00020,2025-01-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,MEDIUM
PAI-00020,2025-02-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,IN_PROGRESS,MEDIUM
PAI-00020,2025-03-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,HIGH
PAI-00020,2025-03-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,LOW
PAI-00020,2025-04-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,LOW
PAI-00020,2025-04-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,RESOLVED,HIGH
PAI-00020,2025-05-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,OPEN,HIGH
PAI-00020,2025-05-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,MEDIUM
PAI-00020,2025-07-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,HIGH
PAI-00020,2025-09-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,MEDIUM
PAI-00020,2025-09-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,RESOLVED,HIGH
PAI-00020,2025-11-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,RESOLVED,MEDIUM
PAI-00020,2025-12-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,OPEN,LOW
PAI-00020,2026-01-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,IN_PROGRESS,LOW
PAI-00020,2026-01-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,MEDIUM
PAI-00020,2026-02-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,OPEN,HIGH
PAI-00020,2026-02-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,IN_PROGRESS,HIGH
PAI-00021,2024-08-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,HIGH
PAI-00021,2024-12-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00021,2025-01-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,MEDIUM
PAI-00021,2025-08-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,LOW
PAI-00021,2026-01-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00022,2024-05-01,FUNDING,Synthetic monitoring issue related to funding.,RESOLVED,LOW
PAI-00022,2024-11-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,MEDIUM
PAI-00022,2025-09-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,OPEN,MEDIUM
PAI-00023,2025-10-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,IN_PROGRESS,LOW
PAI-00024,2024-09-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,LOW
PAI-00024,2025-10-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,IN_PROGRESS,LOW
PAI-00025,2024-04-01,CLEARANCE,Synthetic monitoring issue related to clearance.,OPEN,HIGH
PAI-00025,2024-04-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00025,2024-05-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,LOW
PAI-00025,2024-06-01,LEGAL_OR_SOCIAL,Synthetic monitoring issue related to legal or social.,IN_PROGRESS,MEDIUM
PAI-00025,2024-07-01,OTHER_OR_UNKNOWN,Synthetic monitoring issue related to other or unknown.,IN_PROGRESS,HIGH
PAI-00025,2024-11-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,RESOLVED,MEDIUM
PAI-00025,2024-11-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,RESOLVED,MEDIUM
PAI-00025,2024-12-01,FUNDING,Synthetic monitoring issue related to funding.,IN_PROGRESS,MEDIUM
PAI-00025,2024-12-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,IN_PROGRESS,LOW
PAI-00025,2025-02-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,IN_PROGRESS,MEDIUM
PAI-00025,2025-04-01,CLEARANCE,Synthetic monitoring issue related to clearance.,IN_PROGRESS,HIGH
PAI-00025,2025-05-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00025,2025-07-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,HIGH
PAI-00025,2025-08-01,CLEARANCE,Synthetic monitoring issue related to clearance.,RESOLVED,LOW
PAI-00025,2025-09-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,MEDIUM
PAI-00025,2025-11-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,OPEN,MEDIUM
PAI-00025,2025-12-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,IN_PROGRESS,MEDIUM
PAI-00025,2026-01-01,BUDGET_OR_APPROVAL,Synthetic monitoring issue related to budget or approval.,RESOLVED,MEDIUM
PAI-00025,2026-02-01,ENGINEERING_OR_FEASIBILITY,Synthetic monitoring issue related to engineering or feasibility.,OPEN,LOW
PAI-00025,2026-02-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,HIGH
PAI-00026,2025-05-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,LOW
PAI-00026,2025-07-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,RESOLVED,LOW
PAI-00026,2025-11-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,IN_PROGRESS,LOW
PAI-00027,2024-04-01,LAND_ACQUISITION,Synthetic monitoring issue related to land acquisition.,IN_PROGRESS,MEDIUM
PAI-00027,2024-05-01,SCOPE_OR_POLICY,Synthetic monitoring issue related to scope or policy.,RESOLVED,LOW
PAI-00027,2024-06-01,PROCUREMENT_OR_CONTRACT,Synthetic monitoring issue related to procurement or contract.,OPEN,HIGH
PAI-00027,2024-07-01,FUNDING,Synthetic monitoring issue related to funding.,IN_PROGRESS,LOW
