internal_project_id,project_code,legacy_ocms_code,pmgid,mapping_method,mapping_confidence
PAI-00043,PRJ-938395,OCMS-628967,PM-2004750,synthetic_direct_mapping,0.965
PAI-00044,PRJ-710137,OCMS-819414,PM-9244384,synthetic_direct_mapping,0.988
PAI-00045,PRJ-191156,OCMS-229178,PM-8947336,synthetic_direct_mapping,0.958
PAI-00046,PRJ-889381,OCMS-348792,PM-3063152,synthetic_direct_mapping,0.946
PAI-00047,PRJ-853481,OCMS-332765,PM-2709732,synthetic_direct_mapping,0.991
PAI-00048,PRJ-528219,OCMS-631546,PM-9378807,synthetic_direct_mapping,0.996
PAI-00049,PRJ-769243,OCMS-148447,PM-2220644,synthetic_direct_mapping,0.988
PAI-00050,PRJ-734443,OCMS-485690,PM-5609640,synthetic_direct_mapping,0.954
PAI-00051,PRJ-965252,OCMS-535204,PM-9855804,synthetic_direct_mapping,0.99
PAI-00052,PRJ-215216,OCMS-628104,PM-7803727,synthetic_direct_mapping,0.994
PAI-00053,PRJ-109321,OCMS-973478,PM-4025919,synthetic_direct_mapping,0.992
PAI-00054,PRJ-116224,OCMS-120978,PM-3986460,synthetic_direct_mapping,0.964
PAI-00055,PRJ-638769,OCMS-628008,PM-1183087,synthetic_direct_mapping,0.95
PAI-00056,PRJ-439434,OCMS-767528,PM-2260465,synthetic_direct_mapping,0.997
PAI-00057,PRJ-191297,OCMS-175771,PM-4789715,synthetic_direct_mapping,0.974
PAI-00058,PRJ-742036,OCMS-364288,PM-5533369,synthetic_direct_mapping,0.998
PAI-00059,PRJ-264239,OCMS-628063,PM-6099252,synthetic_direct_mapping,0.947
PAI-00060,PRJ-203198,OCMS-209313,PM-7283787,synthetic_direct_mapping,0.985
PAI-00061,PRJ-296829,OCMS-966346,PM-9072167,synthetic_direct_mapping,0.96
PAI-00062,PRJ-239170,OCMS-277737,PM-1960446,synthetic_direct_mapping,0.954
PAI-00063,PRJ-647621,OCMS-589294,PM-4834192,synthetic_direct_mapping,0.984
PAI-00064,PRJ-670591,OCMS-629707,PM-1434453,synthetic_direct_mapping,0.976
PAI-00065,PRJ-664444,OCMS-832147,PM-8412081,synthetic_direct_mapping,0.963
PAI-00066,PRJ-259695,OCMS-351792,PM-4947735,synthetic_direct_mapping,0.98
PAI-00067,PRJ-549785,OCMS-667237,PM-6982764,synthetic_direct_mapping,0.945
PAI-00068,PRJ-777081,OCMS-282671,PM-8603659,synthetic_direct_mapping,0.995
PAI-00069,PRJ-159217,OCMS-599330,PM-6845604,synthetic_direct_mapping,0.943
PAI-00070,PRJ-746544,OCMS-844656,PM-5458877,synthetic_direct_mapping,0.972
PAI-00071,PRJ-933422,OCMS-830744,PM-2087698,synthetic_direct_mapping,0.972
PAI-00072,PRJ-949250,OCMS-443563,PM-4785713,synthetic_direct_mapping,0.968
PAI-00073,PRJ-938504,OCMS-737291,PM-6514195,synthetic_direct_mapping,0.947
PAI-00074,PRJ-119123,OCMS-537508,PM-1159386,synthetic_direct_mapping,0.946
PAI-00075,PRJ-293455,OCMS-197333,PM-8298432,synthetic_direct_mapping,0.962
PAI-00076,PRJ-253662,OCMS-528421,PM-3464049,synthetic_direct_mapping,0.989
PAI-00077,PRJ-704065,OCMS-477000,PM-1223309,synthetic_direct_mapping,0.978
PAI-00078,PRJ-843846,OCMS-734563,PM-6139327,synthetic_direct_mapping,0.977
PAI-00079,PRJ-413137,OCMS-875252,PM-8052319,synthetic_direct_mapping,0.975
PAI-00080,PRJ-389413,OCMS-249570,PM-4505727,synthetic_direct_mapping,0.964
PAI-00081,PRJ-455244,OCMS-249261,PM-4909388,synthetic_direct_mapping,0.956
PAI-00082,PRJ-809288,OCMS-208869,PM-7689953,synthetic_direct_mapping,0.97
PAI-00083,PRJ-302780,OCMS-129188,PM-3945547,synthetic_direct_mapping,0.95
PAI-00084,PRJ-337256,OCMS-165369,PM-7140823,synthetic_direct_mapping,0.979
PAI-00085,PRJ-477521,OCMS-337646,PM-8034354,synthetic_direct_mapping,0.951
PAI-00086,PRJ-680619,OCMS-934134,PM-9123059,synthetic_direct_mapping,0.959
PAI-00087,PRJ-445224,OCMS-908301,PM-5839050,synthetic_direct_mapping,0.945
PAI-00088,PRJ-343712,OCMS-443820,PM-1232677,synthetic_direct_mapping,0.958
PAI-00089,PRJ-830239,OCMS-614179,PM-7858852,synthetic_direct_mapping,0.981
PAI-00090,PRJ-995492,OCMS-530838,PM-1600388,synthetic_direct_mapping,0.951
PAI-00091,PRJ-592911,OCMS-968146,PM-2742575,synthetic_direct_mapping,0.986
PAI-00092,PRJ-617164,OCMS-808153,PM-1577391,synthetic_direct_mapping,0.946
PAI-00093,PRJ-933599,OCMS-387729,PM-5631119,synthetic_direct_mapping,0.982
PAI-00094,PRJ-944121,OCMS-223722,PM-3955645,synthetic_direct_mapping,0.984
PAI-00095,PRJ-582490,OCMS-205155,PM-6975786,synthetic_direct_mapping,0.97
PAI-00096,PRJ-995322,OCMS-363397,PM-9282094,synthetic_direct_mapping,0.98
PAI-00097,PRJ-833670,OCMS-220427,PM-4897668,synthetic_direct_mapping,0.964
PAI-00098,PRJ-633786,OCMS-509292,PM-8425166,synthetic_direct_mapping,0.96
PAI-00099,PRJ-808403,OCMS-153123,PM-9675789,synthetic_direct_mapping,0.989
PAI-00100,PRJ-596167,OCMS-399890,PM-1611277,synthetic_direct_mapping,0.973
PAI-00101,PRJ-265112,OCMS-385061,PM-5815546,synthetic_direct_mapping,0.986
PAI-00102,PRJ-500100,OCMS-865452,PM-8452840,synthetic_direct_mapping,0.942
PAI-00103,PRJ-283041,OCMS-446468,PM-1401178,synthetic_direct_mapping,0.954
PAI-00104,PRJ-736707,OCMS-601470,PM-8885196,synthetic_direct_mapping,0.961
PAI-00105,PRJ-109257,OCMS-739638,PM-2240310,synthetic_direct_mapping,0.983
PAI-00106,PRJ-338521,OCMS-221949,PM-5667212,synthetic_direct_mapping,0.944
PAI-00107,PRJ-378832,OCMS-105341,PM-1987054,synthetic_direct_mapping,0.99
PAI-00108,PRJ-155784,OCMS-543702,PM-4777638,synthetic_direct_mapping,0.954
PAI-00109,PRJ-940101,OCMS-170341,PM-4792645,synthetic_direct_mapping,0.993
PAI-00110,PRJ-598230,OCMS-526938,PM-8788333,synthetic_direct_mapping,0.964
PAI-00111,PRJ-392849,OCMS-593097,PM-8458927,synthetic_direct_mapping,0.968
PAI-00112,PRJ-553336,OCMS-278257,PM-9381613,synthetic_direct_mapping,0.97
PAI-00113,PRJ-876268,OCMS-310311,PM-1432459,synthetic_direct_mapping,0.951
PAI-00114,PRJ-937648,OCMS-894670,PM-1727341,synthetic_direct_mapping,0.972
PAI-00115,PRJ-134229,OCMS-972047,PM-1067753,synthetic_direct_mapping,0.966
PAI-00116,PRJ-362133,OCMS-823751,PM-1002536,synthetic_direct_mapping,0.978
PAI-00117,PRJ-831556,OCMS-867833,PM-4715219,synthetic_direct_mapping,0.955
PAI-00118,PRJ-105482,OCMS-870897,PM-1547761,synthetic_direct_mapping,0.972
PAI-00119,PRJ-422661,OCMS-995969,PM-9666379,synthetic_direct_mapping,0.943
PAI-00120,PRJ-790748,OCMS-829041,PM-3259275,synthetic_direct_mapping,0.985
PAI-00121,PRJ-455059,OCMS-207098,PM-4750413,synthetic_direct_mapping,0.987
PAI-00122,PRJ-694874,OCMS-326353,PM-7257423,synthetic_direct_mapping,0.987
PAI-00123,PRJ-897825,OCMS-513702,PM-2616419,synthetic_direct_mapping,0.964
PAI-00124,PRJ-439255,OCMS-761308,PM-6330814,synthetic_direct_mapping,0.945
PAI-00125,PRJ-350132,OCMS-209432,PM-3896705,synthetic_direct_mapping,0.953
PAI-00126,PRJ-804169,OCMS-695680,PM-9355008,synthetic_direct_mapping,0.96
PAI-00127,PRJ-109037,OCMS-889096,PM-2227003,synthetic_direct_mapping,0.95
PAI-00128,PRJ-749548,OCMS-839855,PM-6232216,synthetic_direct_mapping,0.972
PAI-00129,PRJ-898513,OCMS-950327,PM-3938432,synthetic_direct_mapping,0.982
PAI-00130,PRJ-289134,OCMS-618037,PM-3110692,synthetic_direct_mapping,0.957
PAI-00131,PRJ-400849,OCMS-640891,PM-6362697,synthetic_direct_mapping,0.996
PAI-00132,PRJ-868490,OCMS-141596,PM-4012302,synthetic_direct_mapping,0.948
PAI-00133,PRJ-514959,OCMS-113444,PM-9196192,synthetic_direct_mapping,0.992
PAI-00134,PRJ-148916,OCMS-756106,PM-2262185,synthetic_direct_mapping,0.969
PAI-00135,PRJ-942638,OCMS-686026,PM-8593986,synthetic_direct_mapping,0.944
PAI-00136,PRJ-662854,OCMS-896615,PM-4432940,synthetic_direct_mapping,0.973
PAI-00137,PRJ-536819,OCMS-787484,PM-1676176,synthetic_direct_mapping,0.942
PAI-00138,PRJ-300415,OCMS-808987,PM-9653280,synthetic_direct_mapping,0.947
PAI-00139,PRJ-957961,OCMS-313731,PM-8426556,synthetic_direct_mapping,0.98
PAI-00140,PRJ-520909,OCMS-385869,PM-9105913,synthetic_direct_mapping,0.993
PAI-00141,PRJ-366203,OCMS-223922,PM-5610190,synthetic_direct_mapping,0.965
PAI-00142,PRJ-904717,OCMS-274938,PM-5725029,synthetic_direct_mapping,0.971
PAI-00143,PRJ-854343,OCMS-434005,PM-4326863,synthetic_direct_mapping,0.99
PAI-00144,PRJ-186558,OCMS-314661,PM-2042514,synthetic_direct_mapping,0.965
PAI-00145,PRJ-412115,OCMS-435899,PM-3403962,synthetic_direct_mapping,0.957
PAI-00146,PRJ-904590,OCMS-358122,PM-4763108,synthetic_direct_mapping,0.997
PAI-00147,PRJ-556678,OCMS-516056,PM-3368928,synthetic_direct_mapping,0.992
PAI-00148,PRJ-159806,OCMS-373103,PM-2842322,synthetic_direct_mapping,0.998
PAI-00149,PRJ-186618,OCMS-654627,PM-7850309,synthetic_direct_mapping,0.964
PAI-00150,PRJ-194922,OCMS-109646,PM-1975409,synthetic_direct_mapping,0.946
PAI-00151,PRJ-479571,OCMS-398997,PM-8183557,synthetic_direct_mapping,0.96
PAI-00152,PRJ-269696,OCMS-508463,PM-4411306,synthetic_direct_mapping,0.987
PAI-00153,PRJ-103271,OCMS-759449,PM-8265056,synthetic_direct_mapping,0.954
PAI-00154,PRJ-260773,OCMS-935265,PM-4245958,synthetic_direct_mapping,0.961
PAI-00155,PRJ-492450,OCMS-856672,PM-7711739,synthetic_direct_mapping,0.981
PAI-00156,PRJ-179986,OCMS-768375,PM-6763950,synthetic_direct_mapping,0.992
PAI-00157,PRJ-706623,OCMS-822036,PM-8250845,synthetic_direct_mapping,0.953
PAI-00158,PRJ-227208,OCMS-848126,PM-6512529,synthetic_direct_mapping,0.986
PAI-00159,PRJ-523091,OCMS-545055,PM-7794704,synthetic_direct_mapping,0.962
PAI-00160,PRJ-327274,OCMS-144260,PM-7863877,synthetic_direct_mapping,0.983
PAI-00161,PRJ-789851,OCMS-270957,PM-6181289,synthetic_direct_mapping,0.962
PAI-00162,PRJ-308830,OCMS-826006,PM-4391730,synthetic_direct_mapping,0.976
PAI-00163,PRJ-535846,OCMS-409795,PM-4613315,synthetic_direct_mapping,0.999
PAI-00164,PRJ-279917,OCMS-163734,PM-7397705,synthetic_direct_mapping,0.983
PAI-00165,PRJ-429577,OCMS-314951,PM-3251093,synthetic_direct_mapping,0.988
PAI-00166,PRJ-904855,OCMS-263070,PM-6226862,synthetic_direct_mapping,0.97
PAI-00167,PRJ-169821,OCMS-419780,PM-6720308,synthetic_direct_mapping,0.998
PAI-00168,PRJ-304163,OCMS-555332,PM-3612014,synthetic_direct_mapping,0.968
PAI-00169,PRJ-554624,OCMS-818255,PM-9425416,synthetic_direct_mapping,0.993
PAI-00170,PRJ-542905,OCMS-166490,PM-4157599,synthetic_direct_mapping,0.956
PAI-00171,PRJ-144464,OCMS-215538,PM-4020198,synthetic_direct_mapping,0.981
PAI-00172,PRJ-693666,OCMS-226963,PM-8718320,synthetic_direct_mapping,0.96
PAI-00173,PRJ-461849,OCMS-172861,PM-7227836,synthetic_direct_mapping,0.978
PAI-00174,PRJ-750545,OCMS-780574,PM-1744178,synthetic_direct_mapping,0.981
PAI-00175,PRJ-127799,OCMS-548566,PM-8322762,synthetic_direct_mapping,0.959
PAI-00176,PRJ-216930,OCMS-875203,PM-3258601,synthetic_direct_mapping,0.99
PAI-00177,PRJ-780248,OCMS-593313,PM-7637666,synthetic_direct_mapping,0.978
PAI-00178,PRJ-445612,OCMS-316660,PM-7335322,synthetic_direct_mapping,0.95
PAI-00179,PRJ-344219,OCMS-102811,PM-4434308,synthetic_direct_mapping,0.957
PAI-00180,PRJ-392054,OCMS-253552,PM-5651678,synthetic_direct_mapping,0.979
PAI-00181,PRJ-980505,OCMS-428637,PM-7727189,synthetic_direct_mapping,0.98
PAI-00182,PRJ-940920,OCMS-264674,PM-2915276,synthetic_direct_mapping,0.956
PAI-00183,PRJ-679798,OCMS-303321,PM-4569813,synthetic_direct_mapping,0.956
PAI-00184,PRJ-517577,OCMS-861549,PM-8270750,synthetic_direct_mapping,0.966
PAI-00185,PRJ-108835,OCMS-304430,PM-9359613,synthetic_direct_mapping,0.95
PAI-00186,PRJ-691806,OCMS-531497,PM-7719563,synthetic_direct_mapping,0.949
PAI-00187,PRJ-286462,OCMS-239153,PM-1007437,synthetic_direct_mapping,0.994
PAI-00188,PRJ-124406,OCMS-343026,PM-6339242,synthetic_direct_mapping,0.989
PAI-00189,PRJ-102415,OCMS-852473,PM-5902318,synthetic_direct_mapping,0.966
PAI-00190,PRJ-227391,OCMS-973483,PM-3580925,synthetic_direct_mapping,0.964
PAI-00191,PRJ-379916,OCMS-553341,PM-5838413,synthetic_direct_mapping,0.972
PAI-00192,PRJ-923466,OCMS-239311,PM-2175420,synthetic_direct_mapping,0.993
PAI-00193,PRJ-776784,OCMS-538488,PM-5762872,synthetic_direct_mapping,0.95
PAI-00194,PRJ-385901,OCMS-649855,PM-6381586,synthetic_direct_mapping,0.965
PAI-00195,PRJ-500319,OCMS-114172,PM-3005181,synthetic_direct_mapping,0.946
PAI-00196,PRJ-971819,OCMS-184558,PM-3336315,synthetic_direct_mapping,0.955
PAI-00197,PRJ-817145,OCMS-658022,PM-8555394,synthetic_direct_mapping,0.967
PAI-00198,PRJ-312607,OCMS-565598,PM-1287091,synthetic_direct_mapping,0.949
PAI-00199,PRJ-765742,OCMS-283574,PM-5817373,synthetic_direct_mapping,0.983
PAI-00200,PRJ-974732,OCMS-326113,PM-9205509,synthetic_direct_mapping,0.946
PAI-00201,PRJ-534118,OCMS-411861,PM-3263892,synthetic_direct_mapping,0.966
PAI-00202,PRJ-320505,OCMS-731097,PM-4442736,synthetic_direct_mapping,0.942
PAI-00203,PRJ-363549,OCMS-602537,PM-5105554,synthetic_direct_mapping,0.972
PAI-00204,PRJ-747120,OCMS-265447,PM-5699689,synthetic_direct_mapping,0.987
PAI-00205,PRJ-149633,OCMS-121013,PM-9373438,synthetic_direct_mapping,0.943
PAI-00206,PRJ-468320,OCMS-812510,PM-4226089,synthetic_direct_mapping,0.976
PAI-00207,PRJ-592361,OCMS-536316,PM-7691245,synthetic_direct_mapping,0.988
PAI-00208,PRJ-522141,OCMS-344243,PM-7220269,synthetic_direct_mapping,0.952
PAI-00209,PRJ-762689,OCMS-576220,PM-9031307,synthetic_direct_mapping,0.943
PAI-00210,PRJ-707185,OCMS-639700,PM-9520910,synthetic_direct_mapping,0.971
PAI-00211,PRJ-599994,OCMS-141116,PM-1163648,synthetic_direct_mapping,0.958
PAI-00212,PRJ-261464,OCMS-965297,PM-5491434,synthetic_direct_mapping,0.963
PAI-00213,PRJ-219610,OCMS-242810,PM-4332052,synthetic_direct_mapping,0.998
PAI-00214,PRJ-960770,OCMS-488983,PM-7805899,synthetic_direct_mapping,0.956
PAI-00215,PRJ-106782,OCMS-767501,PM-3504493,synthetic_direct_mapping,0.964
PAI-00216,PRJ-918391,OCMS-980340,PM-2268313,synthetic_direct_mapping,0.983
PAI-00217,PRJ-329932,OCMS-423889,PM-4592765,synthetic_direct_mapping,0.998
PAI-00218,PRJ-284607,OCMS-820546,PM-3413254,synthetic_direct_mapping,0.942
PAI-00219,PRJ-172410,OCMS-989093,PM-4767982,synthetic_direct_mapping,0.963
PAI-00220,PRJ-721077,OCMS-841911,PM-5789990,synthetic_direct_mapping,0.947
PAI-00221,PRJ-266759,OCMS-455070,PM-4296567,synthetic_direct_mapping,0.961
PAI-00222,PRJ-513438,OCMS-113895,PM-2123358,synthetic_direct_mapping,0.973
PAI-00223,PRJ-697275,OCMS-358914,PM-9248958,synthetic_direct_mapping,0.951
PAI-00224,PRJ-813058,OCMS-499450,PM-4633616,synthetic_direct_mapping,0.968
PAI-00225,PRJ-897088,OCMS-369121,PM-9632808,synthetic_direct_mapping,0.965
PAI-00226,PRJ-712624,OCMS-893641,PM-2427058,synthetic_direct_mapping,0.975
PAI-00227,PRJ-107909,OCMS-156057,PM-4857402,synthetic_direct_mapping,0.94
PAI-00228,PRJ-766966,OCMS-774741,PM-9662476,synthetic_direct_mapping,0.984
PAI-00229,PRJ-150470,OCMS-765015,PM-1988088,synthetic_direct_mapping,0.955
PAI-00230,PRJ-700891,OCMS-136402,PM-5793727,synthetic_direct_mapping,0.95
PAI-00231,PRJ-744170,OCMS-666807,PM-9906324,synthetic_direct_mapping,0.974
PAI-00232,PRJ-182856,OCMS-167422,PM-2144706,synthetic_direct_mapping,0.949
PAI-00233,PRJ-451145,OCMS-452284,PM-3672546,synthetic_direct_mapping,0.981
PAI-00234,PRJ-363300,OCMS-639731,PM-6851213,synthetic_direct_mapping,0.956
PAI-00235,PRJ-304604,OCMS-739819,PM-2126358,synthetic_direct_mapping,0.979
PAI-00236,PRJ-102953,OCMS-781762,PM-1795266,synthetic_direct_mapping,0.968
PAI-00237,PRJ-786575,OCMS-257014,PM-5616683,synthetic_direct_mapping,0.941
PAI-00238,PRJ-538970,OCMS-442629,PM-9929247,synthetic_direct_mapping,0.962
PAI-00239,PRJ-516377,OCMS-638483,PM-6903679,synthetic_direct_mapping,0.966
PAI-00240,PRJ-223054,OCMS-418342,PM-4111239,synthetic_direct_mapping,0.977
PAI-00241,PRJ-519097,OCMS-865780,PM-1213230,synthetic_direct_mapping,0.998
PAI-00242,PRJ-496667,OCMS-654129,PM-8062308,synthetic_direct_mapping,0.98
PAI-00243,PRJ-193594,OCMS-216244,PM-6194039,synthetic_direct_mapping,0.995
PAI-00244,PRJ-508015,OCMS-120197,PM-4053968,synthetic_direct_mapping,0.97
PAI-00245,PRJ-435832,OCMS-537607,PM-1826698,synthetic_direct_mapping,0.991
PAI-00246,PRJ-221691,OCMS-765851,PM-6855374,synthetic_direct_mapping,0.962
PAI-00247,PRJ-648021,OCMS-607911,PM-8610505,synthetic_direct_mapping,0.974
PAI-00248,PRJ-274751,OCMS-812796,PM-9502613,synthetic_direct_mapping,0.996
PAI-00249,PRJ-876371,OCMS-856581,PM-9639445,synthetic_direct_mapping,0.964
PAI-00250,PRJ-202906,OCMS-730479,PM-9576317,synthetic_direct_mapping,0.942
PAI-00251,PRJ-455417,OCMS-761668,PM-3359289,synthetic_direct_mapping,0.989
PAI-00252,PRJ-325593,OCMS-126511,PM-6905248,synthetic_direct_mapping,0.988
PAI-00253,PRJ-742064,OCMS-589428,PM-4850317,synthetic_direct_mapping,0.941
PAI-00254,PRJ-593813,OCMS-691416,PM-4270330,synthetic_direct_mapping,0.948
PAI-00255,PRJ-855720,OCMS-232943,PM-6995733,synthetic_direct_mapping,0.946
PAI-00256,PRJ-254324,OCMS-569520,PM-7339014,synthetic_direct_mapping,0.943
PAI-00257,PRJ-786744,OCMS-967761,PM-6734472,synthetic_direct_mapping,0.952
PAI-00258,PRJ-121149,OCMS-505565,PM-4958324,synthetic_direct_mapping,0.942
PAI-00259,PRJ-971877,OCMS-401305,PM-5466549,synthetic_direct_mapping,0.968
PAI-00260,PRJ-677345,OCMS-572632,PM-1272920,synthetic_direct_mapping,0.985
PAI-00261,PRJ-592354,OCMS-858759,PM-2791057,synthetic_direct_mapping,0.982
PAI-00262,PRJ-151511,OCMS-137589,PM-6714446,synthetic_direct_mapping,0.996
PAI-00263,PRJ-392037,OCMS-161404,PM-2946920,synthetic_direct_mapping,0.963
PAI-00264,PRJ-406292,OCMS-418810,PM-5025741,synthetic_direct_mapping,0.967
PAI-00265,PRJ-886126,OCMS-946203,PM-1457506,synthetic_direct_mapping,0.977
PAI-00266,PRJ-563792,OCMS-530638,PM-2671267,synthetic_direct_mapping,0.963
PAI-00267,PRJ-794300,OCMS-402400,PM-1286862,synthetic_direct_mapping,0.997
PAI-00268,PRJ-749058,OCMS-973783,PM-9135468,synthetic_direct_mapping,0.989
PAI-00269,PRJ-711148,OCMS-806268,PM-2175748,synthetic_direct_mapping,0.944
PAI-00270,PRJ-678876,OCMS-286338,PM-4875684,synthetic_direct_mapping,0.99
PAI-00271,PRJ-511712,OCMS-709698,PM-4037170,synthetic_direct_mapping,0.974
PAI-00272,PRJ-395843,OCMS-218848,PM-8923122,synthetic_direct_mapping,0.996
PAI-00273,PRJ-495651,OCMS-514090,PM-6590517,synthetic_direct_mapping,0.969
PAI-00274,PRJ-513380,OCMS-879246,PM-7915327,synthetic_direct_mapping,0.95
PAI-00275,PRJ-291667,OCMS-377207,PM-7255213,synthetic_direct_mapping,0.95
PAI-00276,PRJ-295258,OCMS-123392,PM-7677423,synthetic_direct_mapping,0.962
PAI-00277,PRJ-488945,OCMS-503891,PM-9207884,synthetic_direct_mapping,0.965
PAI-00278,PRJ-691960,OCMS-836825,PM-7580698,synthetic_direct_mapping,0.942
PAI-00279,PRJ-578546,OCMS-801746,PM-6568622,synthetic_direct_mapping,0.965
PAI-00280,PRJ-987676,OCMS-802783,PM-8882000,synthetic_direct_mapping,0.993
PAI-00281,PRJ-288487,OCMS-361674,PM-1631948,synthetic_direct_mapping,0.97
PAI-00282,PRJ-458422,OCMS-581557,PM-4295913,synthetic_direct_mapping,0.987
PAI-00283,PRJ-230987,OCMS-182849,PM-1184867,synthetic_direct_mapping,0.952
PAI-00284,PRJ-811884,OCMS-162613,PM-5106337,synthetic_direct_mapping,0.963
PAI-00285,PRJ-730499,OCMS-743372,PM-8635343,synthetic_direct_mapping,0.952
PAI-00286,PRJ-316835,OCMS-300250,PM-1881454,synthetic_direct_mapping,0.965
PAI-00287,PRJ-798229,OCMS-518660,PM-1019222,synthetic_direct_mapping,0.946
PAI-00288,PRJ-280487,OCMS-996044,PM-3563910,synthetic_direct_mapping,0.963
PAI-00289,PRJ-535827,OCMS-429766,PM-3731351,synthetic_direct_mapping,0.946
PAI-00290,PRJ-609098,OCMS-424416,PM-3727245,synthetic_direct_mapping,0.957
PAI-00291,PRJ-106900,OCMS-229467,PM-2782765,synthetic_direct_mapping,0.97
PAI-00292,PRJ-732159,OCMS-416486,PM-5250540,synthetic_direct_mapping,0.941
PAI-00293,PRJ-407812,OCMS-163710,PM-2866065,synthetic_direct_mapping,0.941
PAI-00294,PRJ-108721,OCMS-331678,PM-6450202,synthetic_direct_mapping,0.997
PAI-00295,PRJ-700152,OCMS-793588,PM-4944258,synthetic_direct_mapping,0.988
PAI-00296,PRJ-753625,OCMS-368172,PM-5720756,synthetic_direct_mapping,0.952
PAI-00297,PRJ-488050,OCMS-767069,PM-6032993,synthetic_direct_mapping,0.95
PAI-00298,PRJ-527029,OCMS-414280,PM-7319422,synthetic_direct_mapping,0.997
PAI-00299,PRJ-957638,OCMS-390520,PM-5661403,synthetic_direct_mapping,0.953
PAI-00300,PRJ-940075,OCMS-847282,PM-2217728,synthetic_direct_mapping,0.987
PAI-00301,PRJ-718925,OCMS-482634,PM-9843848,synthetic_direct_mapping,0.992
PAI-00302,PRJ-993800,OCMS-931615,PM-6951573,synthetic_direct_mapping,0.945
