internal_project_id,outcome_date,outcome_type,outcome_reason
PAI-00031,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00032,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00033,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00034,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00035,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00036,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00037,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00038,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00039,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00040,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00041,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00042,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00043,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00044,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00045,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00046,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00047,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00048,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00049,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00050,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00051,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00052,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00053,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00054,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00055,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00056,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00057,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00058,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00059,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00060,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00061,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00062,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00063,2026-03-01,DROPPED,SYNTHETIC_OUTCOME
PAI-00064,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00065,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00066,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00067,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00068,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00069,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00070,2026-03-01,ABANDONED,SYNTHETIC_OUTCOME
PAI-00071,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00072,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00073,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00074,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00075,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00076,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00077,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00078,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00079,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00080,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00081,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00082,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00083,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00084,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00085,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00086,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00087,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00088,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00089,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00090,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00091,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00092,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00093,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00094,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00095,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00096,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00097,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00098,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00099,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00100,2026-03-01,ABANDONED,SYNTHETIC_OUTCOME
PAI-00101,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00102,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00103,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00104,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00105,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00106,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00107,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00108,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00109,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00110,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00111,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00112,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00113,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00114,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00115,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00116,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00117,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00118,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00119,2026-03-01,DROPPED,SYNTHETIC_OUTCOME
PAI-00120,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00121,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00122,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00123,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00124,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00125,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00126,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00127,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00128,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00129,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00130,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00131,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00132,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00133,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00134,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00135,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00136,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00137,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00138,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00139,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00140,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00141,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00142,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00143,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00144,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00145,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00146,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00147,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00148,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00149,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00150,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00151,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00152,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00153,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00154,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00155,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00156,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00157,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00158,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00159,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00160,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00161,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00162,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00163,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00164,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00165,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00166,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00167,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00168,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00169,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00170,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00171,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00172,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00173,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00174,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00175,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00176,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00177,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00178,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00179,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00180,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00181,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00182,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00183,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00184,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00185,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00186,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00187,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00188,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00189,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00190,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00191,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00192,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00193,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00194,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00195,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00196,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00197,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00198,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00199,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00200,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00201,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00202,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00203,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00204,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00205,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00206,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00207,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00208,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00209,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00210,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00211,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00212,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00213,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00214,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00215,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00216,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00217,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00218,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00219,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00220,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00221,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00222,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00223,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00224,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00225,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00226,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00227,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00228,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00229,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00230,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00231,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00232,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00233,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00234,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00235,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00236,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00237,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00238,2026-03-01,DROPPED,SYNTHETIC_OUTCOME
PAI-00239,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00240,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00241,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00242,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00243,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00244,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00245,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00246,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00247,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00248,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00249,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00250,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00251,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00252,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00253,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00254,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00255,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00256,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00257,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00258,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00259,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00260,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00261,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00262,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00263,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00264,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00265,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00266,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00267,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00268,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00269,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00270,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00271,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00272,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00273,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00274,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00275,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00276,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00277,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00278,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00279,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00280,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00281,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00282,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00283,2026-03-01,DROPPED,SYNTHETIC_OUTCOME
PAI-00284,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00285,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00286,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00287,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00288,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00289,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00290,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00291,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00292,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00293,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00294,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00295,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00296,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00297,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00298,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00299,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00300,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00301,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00302,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00303,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00304,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00305,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00306,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00307,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00308,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00309,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00310,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00311,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00312,2026-03-01,DROPPED,SYNTHETIC_OUTCOME
PAI-00313,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00314,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00315,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00316,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00317,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00318,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00319,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00320,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00321,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00322,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00323,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00324,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00325,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00326,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00327,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00328,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00329,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00330,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00331,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00332,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00333,2026-03-01,ABANDONED,SYNTHETIC_OUTCOME
PAI-00334,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00335,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00336,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00337,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00338,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00339,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00340,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00341,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00342,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00343,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00344,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00345,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00346,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00347,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00348,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00349,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00350,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00351,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00352,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00353,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00354,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00355,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00356,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00357,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00358,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00359,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00360,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00361,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00362,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00363,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00364,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00365,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00366,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00367,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00368,2026-03-01,CANCELLED,SYNTHETIC_OUTCOME
PAI-00369,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00370,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00371,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00372,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00373,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00374,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00375,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00376,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
