internal_project_id,milestone_name,planned_date,actual_date,status,delay_days
PAI-00009,Milestone 1,2023-11-20,2024-04-16,COMPLETED,148.0
PAI-00009,Milestone 2,2024-03-13,2024-06-28,COMPLETED,107.0
PAI-00009,Milestone 3,2024-07-05,2024-09-13,COMPLETED,70.0
PAI-00009,Milestone 4,2024-10-27,2025-02-22,COMPLETED,118.0
PAI-00009,Milestone 5,2025-02-18,2025-06-19,COMPLETED,121.0
PAI-00009,Milestone 6,2025-06-12,2025-09-30,COMPLETED,110.0
PAI-00009,Milestone 7,2025-10-04,2026-02-22,COMPLETED,141.0
PAI-00010,Milestone 1,2024-08-26,2024-08-26,COMPLETED,0.0
PAI-00010,Milestone 2,2024-12-15,2024-12-15,COMPLETED,0.0
PAI-00010,Milestone 3,2025-04-05,2025-04-05,COMPLETED,0.0
PAI-00010,Milestone 4,2025-07-25,2025-07-25,DELAYED,0.0
PAI-00010,Milestone 5,2025-11-13,2025-11-13,DELAYED,0.0
PAI-00010,Milestone 6,2026-03-04,2026-03-04,COMPLETED,0.0
PAI-00010,Milestone 7,2026-06-23,,PLANNED,
PAI-00010,Milestone 8,2026-10-12,,PLANNED,
PAI-00011,Milestone 1,2024-12-12,2024-12-12,COMPLETED,0.0
PAI-00011,Milestone 2,2025-03-20,2025-03-25,COMPLETED,5.0
PAI-00011,Milestone 3,2025-06-25,2025-06-25,COMPLETED,0.0
PAI-00011,Milestone 4,2025-10-01,2025-10-01,COMPLETED,0.0
PAI-00011,Milestone 5,2026-01-07,2026-01-07,COMPLETED,0.0
PAI-00011,Milestone 6,2026-04-14,2026-04-14,DELAYED,0.0
PAI-00011,Milestone 7,2026-07-21,,PLANNED,
PAI-00012,Milestone 1,2024-05-02,2024-05-23,COMPLETED,21.0
PAI-00012,Milestone 2,2025-02-18,2025-03-01,COMPLETED,11.0
PAI-00012,Milestone 3,2025-12-08,2025-12-08,COMPLETED,0.0
PAI-00012,Milestone 4,2026-09-26,,PLANNED,
PAI-00012,Milestone 5,2027-07-15,,PLANNED,
PAI-00013,Milestone 1,2025-10-21,2025-10-21,DELAYED,0.0
PAI-00013,Milestone 2,2026-03-31,2026-04-15,COMPLETED,15.0
PAI-00013,Milestone 3,2026-09-08,,PLANNED,
PAI-00013,Milestone 4,2027-02-16,,PLANNED,
PAI-00013,Milestone 5,2027-07-27,,PLANNED,
PAI-00013,Milestone 6,2028-01-04,,PLANNED,
PAI-00013,Milestone 7,2028-06-13,,PLANNED,
PAI-00014,Milestone 1,2026-07-18,,PLANNED,
PAI-00014,Milestone 2,2027-01-26,,PLANNED,
PAI-00014,Milestone 3,2027-08-05,,PLANNED,
PAI-00014,Milestone 4,2028-02-13,,PLANNED,
PAI-00014,Milestone 5,2028-08-22,,PLANNED,
PAI-00014,Milestone 6,2029-03-02,,PLANNED,
PAI-00014,Milestone 7,2029-09-09,,PLANNED,
PAI-00015,Milestone 1,2025-11-29,2026-04-13,COMPLETED,135.0
PAI-00015,Milestone 2,2026-07-12,,PLANNED,
PAI-00015,Milestone 3,2027-02-22,,PLANNED,
PAI-00015,Milestone 4,2027-10-04,,PLANNED,
PAI-00015,Milestone 5,2028-05-16,,PLANNED,
PAI-00015,Milestone 6,2028-12-27,,PLANNED,
PAI-00016,Milestone 1,2026-04-14,,PLANNED,
PAI-00016,Milestone 2,2026-11-17,,PLANNED,
PAI-00016,Milestone 3,2027-06-22,,PLANNED,
PAI-00016,Milestone 4,2028-01-25,,PLANNED,
PAI-00016,Milestone 5,2028-08-29,,PLANNED,
PAI-00016,Milestone 6,2029-04-03,,PLANNED,
PAI-00017,Milestone 1,2024-12-03,2025-01-29,DELAYED,57.0
PAI-00017,Milestone 2,2025-03-25,2025-06-07,COMPLETED,74.0
PAI-00017,Milestone 3,2025-07-14,2025-10-12,COMPLETED,90.0
PAI-00017,Milestone 4,2025-11-03,2026-01-02,COMPLETED,60.0
PAI-00017,Milestone 5,2026-02-23,,PLANNED,
PAI-00017,Milestone 6,2026-06-14,,PLANNED,
PAI-00017,Milestone 7,2026-10-04,,PLANNED,
PAI-00018,Milestone 1,2024-08-17,2024-11-09,COMPLETED,84.0
PAI-00018,Milestone 2,2025-05-29,2025-07-05,COMPLETED,37.0
PAI-00018,Milestone 3,2026-03-10,,PLANNED,
PAI-00018,Milestone 4,2026-12-20,,PLANNED,
PAI-00018,Milestone 5,2027-10-01,,PLANNED,
PAI-00019,Milestone 1,2025-02-16,2025-02-16,COMPLETED,0.0
PAI-00019,Milestone 2,2025-07-10,2025-08-14,COMPLETED,35.0
PAI-00019,Milestone 3,2025-12-02,2025-12-02,COMPLETED,0.0
PAI-00019,Milestone 4,2026-04-25,2026-04-25,DELAYED,0.0
PAI-00019,Milestone 5,2026-09-17,,PLANNED,
PAI-00019,Milestone 6,2027-02-08,,PLANNED,
PAI-00020,Milestone 1,2024-11-12,2025-01-17,COMPLETED,66.0
PAI-00020,Milestone 2,2025-03-20,2025-06-19,COMPLETED,91.0
PAI-00020,Milestone 3,2025-07-26,2025-09-28,COMPLETED,64.0
PAI-00020,Milestone 4,2025-12-01,2026-02-27,DELAYED,88.0
PAI-00020,Milestone 5,2026-04-08,,PLANNED,
PAI-00021,Milestone 1,2025-03-27,2025-04-25,COMPLETED,29.0
PAI-00021,Milestone 2,2025-12-04,2026-01-12,DELAYED,39.0
PAI-00021,Milestone 3,2026-08-14,,PLANNED,
PAI-00021,Milestone 4,2027-04-23,,PLANNED,
PAI-00021,Milestone 5,2028-01-01,,PLANNED,
PAI-00021,Milestone 6,2028-09-09,,PLANNED,
PAI-00022,Milestone 1,2025-10-13,2025-10-13,COMPLETED,0.0
PAI-00022,Milestone 2,2026-02-04,2026-02-05,COMPLETED,1.0
PAI-00022,Milestone 3,2026-05-28,,PLANNED,
PAI-00022,Milestone 4,2026-09-19,,PLANNED,
PAI-00022,Milestone 5,2027-01-10,,PLANNED,
PAI-00022,Milestone 6,2027-05-04,,PLANNED,
PAI-00022,Milestone 7,2027-08-25,,PLANNED,
PAI-00023,Milestone 1,2024-11-04,2024-11-04,DELAYED,0.0
PAI-00023,Milestone 2,2025-02-04,2025-02-13,DELAYED,9.0
PAI-00023,Milestone 3,2025-05-07,2025-05-23,COMPLETED,16.0
PAI-00023,Milestone 4,2025-08-07,2025-08-07,COMPLETED,0.0
PAI-00023,Milestone 5,2025-11-07,2025-12-02,DELAYED,25.0
PAI-00023,Milestone 6,2026-02-07,2026-02-08,COMPLETED,1.0
PAI-00023,Milestone 7,2026-05-10,,PLANNED,
PAI-00023,Milestone 8,2026-08-10,,PLANNED,
PAI-00024,Milestone 1,2025-01-04,2025-01-04,COMPLETED,0.0
PAI-00024,Milestone 2,2025-04-20,2025-04-20,COMPLETED,0.0
PAI-00024,Milestone 3,2025-08-03,2025-08-03,COMPLETED,0.0
PAI-00024,Milestone 4,2025-11-17,2025-11-17,COMPLETED,0.0
PAI-00024,Milestone 5,2026-03-03,2026-03-03,COMPLETED,0.0
PAI-00024,Milestone 6,2026-06-16,,PLANNED,
PAI-00024,Milestone 7,2026-09-30,,PLANNED,
PAI-00025,Milestone 1,2026-03-12,,PLANNED,
PAI-00025,Milestone 2,2026-10-07,,PLANNED,
PAI-00025,Milestone 3,2027-05-04,,PLANNED,
PAI-00025,Milestone 4,2027-11-29,,PLANNED,
PAI-00025,Milestone 5,2028-06-25,,PLANNED,
PAI-00025,Milestone 6,2029-01-20,,PLANNED,
PAI-00026,Milestone 1,2025-04-21,2025-04-21,DELAYED,0.0
PAI-00026,Milestone 2,2025-07-01,2025-07-01,COMPLETED,0.0
PAI-00026,Milestone 3,2025-09-10,2025-09-10,DELAYED,0.0
PAI-00026,Milestone 4,2025-11-21,2025-11-21,COMPLETED,0.0
PAI-00026,Milestone 5,2026-01-31,2026-01-31,COMPLETED,0.0
PAI-00026,Milestone 6,2026-04-12,,PLANNED,
PAI-00026,Milestone 7,2026-06-22,,PLANNED,
PAI-00027,Milestone 1,2025-02-10,2025-04-21,COMPLETED,70.0
PAI-00027,Milestone 2,2025-09-09,2026-01-01,COMPLETED,114.0
PAI-00027,Milestone 3,2026-04-08,,PLANNED,
PAI-00027,Milestone 4,2026-11-05,,PLANNED,
PAI-00027,Milestone 5,2027-06-04,,PLANNED,
PAI-00027,Milestone 6,2028-01-01,,PLANNED,
PAI-00028,Milestone 1,2025-05-29,2025-06-28,COMPLETED,30.0
PAI-00028,Milestone 2,2025-09-05,2025-10-07,DELAYED,32.0
PAI-00028,Milestone 3,2025-12-12,2026-01-24,COMPLETED,43.0
PAI-00028,Milestone 4,2026-03-21,,PLANNED,
PAI-00028,Milestone 5,2026-06-27,,PLANNED,
PAI-00029,Milestone 1,2023-07-24,2023-09-21,COMPLETED,59.0
PAI-00029,Milestone 2,2023-10-16,2023-12-09,DELAYED,54.0
PAI-00029,Milestone 3,2024-01-08,2024-03-08,COMPLETED,60.0
PAI-00029,Milestone 4,2024-04-02,2024-06-10,COMPLETED,69.0
PAI-00029,Milestone 5,2024-06-25,2024-08-02,COMPLETED,38.0
PAI-00029,Milestone 6,2024-09-17,2024-10-19,COMPLETED,32.0
PAI-00029,Milestone 7,2024-12-10,2025-02-26,DELAYED,78.0
PAI-00030,Milestone 1,2023-12-28,2024-01-10,COMPLETED,13.0
PAI-00030,Milestone 2,2024-06-22,2024-06-22,COMPLETED,0.0
PAI-00030,Milestone 3,2024-12-16,2025-01-27,COMPLETED,42.0
PAI-00030,Milestone 4,2025-06-10,2025-07-29,COMPLETED,49.0
PAI-00030,Milestone 5,2025-12-04,2025-12-04,COMPLETED,0.0
PAI-00030,Milestone 6,2026-05-30,,PLANNED,
PAI-00030,Milestone 7,2026-11-22,,PLANNED,
PAI-00030,Milestone 8,2027-05-18,,PLANNED,
PAI-00031,Milestone 1,2025-09-30,2025-11-23,COMPLETED,54.0
PAI-00031,Milestone 2,2026-05-08,,PLANNED,
PAI-00031,Milestone 3,2026-12-13,,PLANNED,
PAI-00031,Milestone 4,2027-07-21,,PLANNED,
PAI-00031,Milestone 5,2028-02-25,,PLANNED,
PAI-00032,Milestone 1,2023-08-09,2023-10-01,COMPLETED,53.0
PAI-00032,Milestone 2,2023-12-15,2024-03-08,COMPLETED,84.0
PAI-00032,Milestone 3,2024-04-21,2024-06-15,COMPLETED,55.0
PAI-00032,Milestone 4,2024-08-27,2024-11-27,COMPLETED,92.0
PAI-00032,Milestone 5,2025-01-01,2025-02-13,COMPLETED,43.0
PAI-00032,Milestone 6,2025-05-09,2025-08-06,COMPLETED,89.0
PAI-00032,Milestone 7,2025-09-14,2025-09-25,COMPLETED,11.0
PAI-00032,Milestone 8,2026-01-20,2026-03-23,DELAYED,62.0
PAI-00033,Milestone 1,2025-01-25,2025-02-09,COMPLETED,15.0
PAI-00033,Milestone 2,2025-04-28,2025-05-12,COMPLETED,14.0
PAI-00033,Milestone 3,2025-07-30,2025-09-05,COMPLETED,37.0
PAI-00033,Milestone 4,2025-10-31,2026-01-06,COMPLETED,67.0
PAI-00033,Milestone 5,2026-02-02,2026-02-13,DELAYED,11.0
PAI-00033,Milestone 6,2026-05-06,,PLANNED,
PAI-00033,Milestone 7,2026-08-07,,PLANNED,
PAI-00033,Milestone 8,2026-11-08,,PLANNED,
PAI-00034,Milestone 1,2024-10-15,2024-10-15,COMPLETED,0.0
PAI-00034,Milestone 2,2025-06-10,2025-06-10,COMPLETED,0.0
PAI-00034,Milestone 3,2026-02-03,2026-02-03,COMPLETED,0.0
PAI-00034,Milestone 4,2026-09-29,,PLANNED,
PAI-00034,Milestone 5,2027-05-25,,PLANNED,
PAI-00034,Milestone 6,2028-01-18,,PLANNED,
PAI-00035,Milestone 1,2025-07-20,2025-10-02,COMPLETED,74.0
PAI-00035,Milestone 2,2025-12-19,2026-03-17,COMPLETED,88.0
PAI-00035,Milestone 3,2026-05-20,,PLANNED,
PAI-00035,Milestone 4,2026-10-19,,PLANNED,
PAI-00035,Milestone 5,2027-03-20,,PLANNED,
PAI-00035,Milestone 6,2027-08-19,,PLANNED,
PAI-00036,Milestone 1,2025-04-23,2025-06-13,COMPLETED,51.0
PAI-00036,Milestone 2,2025-09-03,2025-09-27,COMPLETED,24.0
PAI-00036,Milestone 3,2026-01-14,2026-02-25,COMPLETED,42.0
PAI-00036,Milestone 4,2026-05-27,,PLANNED,
PAI-00036,Milestone 5,2026-10-07,,PLANNED,
PAI-00037,Milestone 1,2025-08-19,2025-10-08,COMPLETED,50.0
PAI-00037,Milestone 2,2026-03-21,,PLANNED,
PAI-00037,Milestone 3,2026-10-21,,PLANNED,
PAI-00037,Milestone 4,2027-05-23,,PLANNED,
PAI-00037,Milestone 5,2027-12-23,,PLANNED,
PAI-00037,Milestone 6,2028-07-24,,PLANNED,
PAI-00037,Milestone 7,2029-02-23,,PLANNED,
PAI-00038,Milestone 1,2024-09-13,2025-01-21,COMPLETED,130.0
PAI-00038,Milestone 2,2025-01-15,2025-05-01,COMPLETED,106.0
PAI-00038,Milestone 3,2025-05-19,2025-09-04,DELAYED,108.0
PAI-00038,Milestone 4,2025-09-21,2026-01-04,COMPLETED,105.0
PAI-00038,Milestone 5,2026-01-23,,PLANNED,
PAI-00038,Milestone 6,2026-05-27,,PLANNED,
PAI-00039,Milestone 1,2025-10-23,2025-10-23,COMPLETED,0.0
PAI-00039,Milestone 2,2026-07-17,,PLANNED,
PAI-00039,Milestone 3,2027-04-10,,PLANNED,
PAI-00039,Milestone 4,2028-01-01,,PLANNED,
PAI-00039,Milestone 5,2028-09-24,,PLANNED,
PAI-00040,Milestone 1,2025-04-02,2025-05-04,COMPLETED,32.0
PAI-00040,Milestone 2,2025-07-07,2025-09-11,COMPLETED,66.0
PAI-00040,Milestone 3,2025-10-11,2025-12-08,COMPLETED,58.0
PAI-00040,Milestone 4,2026-01-15,2026-04-02,COMPLETED,77.0
PAI-00040,Milestone 5,2026-04-21,,PLANNED,
PAI-00040,Milestone 6,2026-07-26,,PLANNED,
PAI-00040,Milestone 7,2026-10-30,,PLANNED,
PAI-00041,Milestone 1,2026-05-26,,PLANNED,
PAI-00041,Milestone 2,2027-02-17,,PLANNED,
PAI-00041,Milestone 3,2027-11-11,,PLANNED,
PAI-00041,Milestone 4,2028-08-03,,PLANNED,
PAI-00041,Milestone 5,2029-04-27,,PLANNED,
PAI-00042,Milestone 1,2025-03-31,2025-03-31,DELAYED,0.0
PAI-00042,Milestone 2,2025-07-16,2025-09-20,DELAYED,66.0
PAI-00042,Milestone 3,2025-10-30,2025-10-30,COMPLETED,0.0
PAI-00042,Milestone 4,2026-02-14,2026-02-14,DELAYED,0.0
PAI-00042,Milestone 5,2026-05-31,,PLANNED,
PAI-00043,Milestone 1,2025-06-14,2025-09-22,DELAYED,100.0
PAI-00043,Milestone 2,2025-11-13,2025-12-16,COMPLETED,33.0
PAI-00043,Milestone 3,2026-04-14,2026-04-14,COMPLETED,0.0
PAI-00043,Milestone 4,2026-09-13,,PLANNED,
PAI-00043,Milestone 5,2027-02-12,,PLANNED,
PAI-00043,Milestone 6,2027-07-14,,PLANNED,
PAI-00043,Milestone 7,2027-12-13,,PLANNED,
PAI-00044,Milestone 1,2026-01-01,2026-02-09,COMPLETED,39.0
PAI-00044,Milestone 2,2026-08-16,,PLANNED,
PAI-00044,Milestone 3,2027-03-31,,PLANNED,
PAI-00044,Milestone 4,2027-11-13,,PLANNED,
PAI-00044,Milestone 5,2028-06-27,,PLANNED,
PAI-00044,Milestone 6,2029-02-09,,PLANNED,
PAI-00045,Milestone 1,2025-07-30,2025-08-19,COMPLETED,20.0
PAI-00045,Milestone 2,2026-02-16,2026-02-16,COMPLETED,0.0
PAI-00045,Milestone 3,2026-09-04,,PLANNED,
PAI-00045,Milestone 4,2027-03-24,,PLANNED,
PAI-00045,Milestone 5,2027-10-10,,PLANNED,
PAI-00045,Milestone 6,2028-04-28,,PLANNED,
PAI-00045,Milestone 7,2028-11-14,,PLANNED,
PAI-00046,Milestone 1,2026-02-14,2026-03-13,COMPLETED,27.0
PAI-00046,Milestone 2,2026-08-23,,PLANNED,
PAI-00046,Milestone 3,2027-02-28,,PLANNED,
PAI-00046,Milestone 4,2027-09-06,,PLANNED,
PAI-00046,Milestone 5,2028-03-13,,PLANNED,
PAI-00046,Milestone 6,2028-09-19,,PLANNED,
PAI-00047,Milestone 1,2025-01-04,2025-01-04,COMPLETED,0.0
PAI-00047,Milestone 2,2025-05-12,2025-06-04,COMPLETED,23.0
PAI-00047,Milestone 3,2025-09-17,2025-09-17,COMPLETED,0.0
PAI-00047,Milestone 4,2026-01-23,2026-01-23,COMPLETED,0.0
PAI-00047,Milestone 5,2026-05-31,,PLANNED,
PAI-00047,Milestone 6,2026-10-06,,PLANNED,
PAI-00047,Milestone 7,2027-02-11,,PLANNED,
PAI-00048,Milestone 1,2024-11-20,2025-01-22,COMPLETED,63.0
PAI-00048,Milestone 2,2025-05-26,2025-05-26,COMPLETED,0.0
PAI-00048,Milestone 3,2025-11-28,2025-11-28,COMPLETED,0.0
PAI-00048,Milestone 4,2026-06-03,,PLANNED,
PAI-00048,Milestone 5,2026-12-06,,PLANNED,
PAI-00048,Milestone 6,2027-06-11,,PLANNED,
PAI-00048,Milestone 7,2027-12-14,,PLANNED,
PAI-00048,Milestone 8,2028-06-18,,PLANNED,
PAI-00049,Milestone 1,2025-07-07,2025-07-12,COMPLETED,5.0
PAI-00049,Milestone 2,2025-10-10,2025-10-10,COMPLETED,0.0
PAI-00049,Milestone 3,2026-01-13,2026-02-01,COMPLETED,19.0
PAI-00049,Milestone 4,2026-04-18,,PLANNED,
PAI-00049,Milestone 5,2026-07-22,,PLANNED,
PAI-00050,Milestone 1,2025-09-21,2025-09-21,COMPLETED,0.0
PAI-00050,Milestone 2,2026-03-30,2026-03-30,COMPLETED,0.0
PAI-00050,Milestone 3,2026-10-06,,PLANNED,
PAI-00050,Milestone 4,2027-04-13,,PLANNED,
PAI-00050,Milestone 5,2027-10-20,,PLANNED,
PAI-00051,Milestone 1,2024-09-01,2024-09-01,COMPLETED,0.0
PAI-00051,Milestone 2,2024-12-11,2024-12-11,COMPLETED,0.0
PAI-00051,Milestone 3,2025-03-21,2025-03-26,COMPLETED,5.0
PAI-00051,Milestone 4,2025-06-30,2025-06-30,COMPLETED,0.0
PAI-00051,Milestone 5,2025-10-09,2025-10-09,DELAYED,0.0
PAI-00051,Milestone 6,2026-01-17,2026-01-17,COMPLETED,0.0
PAI-00051,Milestone 7,2026-04-28,,PLANNED,
PAI-00052,Milestone 1,2026-01-21,2026-01-31,COMPLETED,10.0
PAI-00052,Milestone 2,2026-10-24,,PLANNED,
PAI-00052,Milestone 3,2027-07-27,,PLANNED,
PAI-00052,Milestone 4,2028-04-28,,PLANNED,
PAI-00052,Milestone 5,2029-01-29,,PLANNED,
PAI-00053,Milestone 1,2026-01-23,2026-01-29,COMPLETED,6.0
PAI-00053,Milestone 2,2026-04-12,2026-04-12,DELAYED,0.0
PAI-00053,Milestone 3,2026-06-30,,PLANNED,
PAI-00053,Milestone 4,2026-09-16,,PLANNED,
PAI-00053,Milestone 5,2026-12-04,,PLANNED,
PAI-00053,Milestone 6,2027-02-21,,PLANNED,
PAI-00053,Milestone 7,2027-05-10,,PLANNED,
PAI-00053,Milestone 8,2027-07-28,,PLANNED,
PAI-00054,Milestone 1,2025-03-31,2025-03-31,COMPLETED,0.0
PAI-00054,Milestone 2,2025-07-11,2025-07-20,COMPLETED,9.0
PAI-00054,Milestone 3,2025-10-21,2025-12-10,DELAYED,50.0
PAI-00054,Milestone 4,2026-01-31,2026-03-12,DELAYED,40.0
PAI-00054,Milestone 5,2026-05-14,,PLANNED,
PAI-00054,Milestone 6,2026-08-24,,PLANNED,
PAI-00054,Milestone 7,2026-12-04,,PLANNED,
PAI-00054,Milestone 8,2027-03-16,,PLANNED,
PAI-00055,Milestone 1,2024-10-12,2024-10-12,COMPLETED,0.0
PAI-00055,Milestone 2,2025-02-23,2025-02-23,COMPLETED,0.0
PAI-00055,Milestone 3,2025-07-07,2025-07-07,COMPLETED,0.0
PAI-00055,Milestone 4,2025-11-18,2025-11-18,COMPLETED,0.0
PAI-00055,Milestone 5,2026-03-31,2026-04-25,COMPLETED,25.0
PAI-00055,Milestone 6,2026-08-12,,PLANNED,
PAI-00055,Milestone 7,2026-12-24,,PLANNED,
PAI-00055,Milestone 8,2027-05-07,,PLANNED,
PAI-00056,Milestone 1,2026-02-23,2026-04-01,COMPLETED,37.0
PAI-00056,Milestone 2,2026-11-09,,PLANNED,
PAI-00056,Milestone 3,2027-07-26,,PLANNED,
PAI-00056,Milestone 4,2028-04-09,,PLANNED,
PAI-00056,Milestone 5,2028-12-24,,PLANNED,
PAI-00057,Milestone 1,2025-01-21,2025-01-21,COMPLETED,0.0
PAI-00057,Milestone 2,2025-05-22,2025-05-22,COMPLETED,0.0
PAI-00057,Milestone 3,2025-09-21,2025-09-28,COMPLETED,7.0
PAI-00057,Milestone 4,2026-01-20,2026-01-20,COMPLETED,0.0
PAI-00057,Milestone 5,2026-05-22,,PLANNED,
PAI-00057,Milestone 6,2026-09-20,,PLANNED,
PAI-00057,Milestone 7,2027-01-20,,PLANNED,
PAI-00057,Milestone 8,2027-05-21,,PLANNED,
PAI-00058,Milestone 1,2024-03-25,2024-03-25,DELAYED,0.0
PAI-00058,Milestone 2,2024-10-20,2024-10-20,COMPLETED,0.0
PAI-00058,Milestone 3,2025-05-17,2025-06-10,DELAYED,24.0
PAI-00058,Milestone 4,2025-12-13,2025-12-13,COMPLETED,0.0
PAI-00058,Milestone 5,2026-07-10,,PLANNED,
PAI-00058,Milestone 6,2027-02-04,,PLANNED,
PAI-00059,Milestone 1,2025-01-04,2025-02-14,COMPLETED,41.0
PAI-00059,Milestone 2,2025-08-26,2025-11-20,COMPLETED,86.0
PAI-00059,Milestone 3,2026-04-17,,PLANNED,
PAI-00059,Milestone 4,2026-12-06,,PLANNED,
PAI-00059,Milestone 5,2027-07-28,,PLANNED,
PAI-00060,Milestone 1,2024-04-29,2024-04-29,COMPLETED,0.0
PAI-00060,Milestone 2,2025-01-13,2025-01-13,COMPLETED,0.0
PAI-00060,Milestone 3,2025-09-29,2025-09-29,COMPLETED,0.0
PAI-00060,Milestone 4,2026-06-15,,PLANNED,
PAI-00060,Milestone 5,2027-03-01,,PLANNED,
PAI-00061,Milestone 1,2024-09-13,2024-12-14,COMPLETED,92.0
PAI-00061,Milestone 2,2024-12-25,2025-03-18,DELAYED,83.0
PAI-00061,Milestone 3,2025-04-07,2025-07-05,DELAYED,89.0
PAI-00061,Milestone 4,2025-07-18,2025-09-05,COMPLETED,49.0
PAI-00061,Milestone 5,2025-10-29,2025-12-09,COMPLETED,41.0
PAI-00061,Milestone 6,2026-02-09,2026-03-08,COMPLETED,27.0
PAI-00062,Milestone 1,2024-03-29,2024-06-23,COMPLETED,86.0
PAI-00062,Milestone 2,2024-08-08,2024-10-30,COMPLETED,83.0
PAI-00062,Milestone 3,2024-12-19,2025-01-26,DELAYED,38.0
PAI-00062,Milestone 4,2025-04-30,2025-06-09,COMPLETED,40.0
PAI-00062,Milestone 5,2025-09-09,2025-10-31,DELAYED,52.0
PAI-00063,Milestone 1,2024-09-21,2024-10-14,COMPLETED,23.0
PAI-00063,Milestone 2,2025-03-23,2025-04-07,DELAYED,15.0
PAI-00063,Milestone 3,2025-09-22,2025-09-22,COMPLETED,0.0
PAI-00063,Milestone 4,2026-03-24,2026-03-24,COMPLETED,0.0
PAI-00063,Milestone 5,2026-09-23,,PLANNED,
PAI-00064,Milestone 1,2024-08-30,2024-09-16,COMPLETED,17.0
PAI-00064,Milestone 2,2024-12-06,2024-12-06,COMPLETED,0.0
PAI-00064,Milestone 3,2025-03-15,2025-05-09,DELAYED,55.0
PAI-00064,Milestone 4,2025-06-21,2025-07-02,COMPLETED,11.0
PAI-00064,Milestone 5,2025-09-27,2025-11-26,COMPLETED,60.0
PAI-00064,Milestone 6,2026-01-04,2026-01-04,COMPLETED,0.0
PAI-00064,Milestone 7,2026-04-12,2026-04-27,DELAYED,15.0
