outcome_id,internal_project_id,outcome_date,outcome_type,outcome_reason
OUT-00073,PAI-00073,2026-03-18,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00074,PAI-00074,2026-03-24,COMPLETED,
OUT-00075,PAI-00075,2026-02-06,COMPLETED,
OUT-00076,PAI-00076,2026-07-25,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00077,PAI-00077,2026-02-02,COMPLETED,
OUT-00078,PAI-00078,2026-06-24,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00079,PAI-00079,2026-08-05,COMPLETED,
OUT-00080,PAI-00080,2026-06-16,COMPLETED,
OUT-00081,PAI-00081,2026-08-16,COMPLETED,
OUT-00082,PAI-00082,2026-02-07,COMPLETED,
OUT-00083,PAI-00083,2026-06-30,COMPLETED,
OUT-00084,PAI-00084,2026-05-20,COMPLETED,
OUT-00085,PAI-00085,2026-03-22,COMPLETED,
OUT-00086,PAI-00086,2026-07-30,COMPLETED,
OUT-00087,PAI-00087,2026-04-05,COMPLETED,
OUT-00088,PAI-00088,2026-06-10,COMPLETED,
OUT-00089,PAI-00089,2026-06-29,COMPLETED,
OUT-00090,PAI-00090,2026-06-30,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00092,PAI-00092,2026-06-17,COMPLETED,
OUT-00093,PAI-00093,2026-08-26,COMPLETED,
OUT-00094,PAI-00094,2026-05-05,COMPLETED,
OUT-00095,PAI-00095,2026-07-22,COMPLETED,
OUT-00096,PAI-00096,2026-04-21,COMPLETED,
OUT-00097,PAI-00097,2026-08-21,COMPLETED,
OUT-00098,PAI-00098,2026-06-13,COMPLETED,
OUT-00099,PAI-00099,2026-05-08,COMPLETED,
OUT-00100,PAI-00100,2026-03-09,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00101,PAI-00101,2026-03-27,COMPLETED,
OUT-00102,PAI-00102,2026-06-28,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00103,PAI-00103,2026-06-10,COMPLETED,
OUT-00104,PAI-00104,2026-03-26,COMPLETED,
OUT-00105,PAI-00105,2026-08-26,COMPLETED,
OUT-00106,PAI-00106,2026-08-07,COMPLETED,
OUT-00107,PAI-00107,2026-03-29,COMPLETED,
OUT-00109,PAI-00109,2026-06-11,COMPLETED,
OUT-00110,PAI-00110,2026-04-01,COMPLETED,
OUT-00111,PAI-00111,2026-03-16,COMPLETED,
OUT-00112,PAI-00112,2026-08-20,COMPLETED,
OUT-00113,PAI-00113,2026-08-13,COMPLETED,
OUT-00114,PAI-00114,2026-07-10,COMPLETED,
OUT-00115,PAI-00115,2026-08-07,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00116,PAI-00116,2026-07-27,COMPLETED,
OUT-00117,PAI-00117,2026-04-12,COMPLETED,
OUT-00118,PAI-00118,2026-03-05,COMPLETED,
OUT-00119,PAI-00119,2026-04-30,COMPLETED,
OUT-00120,PAI-00120,2026-04-11,COMPLETED,
OUT-00121,PAI-00121,2026-07-01,COMPLETED,
OUT-00122,PAI-00122,2026-07-12,COMPLETED,
OUT-00123,PAI-00123,2026-06-03,COMPLETED,
OUT-00124,PAI-00124,2026-08-14,COMPLETED,
OUT-00125,PAI-00125,2026-04-07,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00126,PAI-00126,2026-04-21,COMPLETED,
OUT-00127,PAI-00127,2026-07-04,COMPLETED,
OUT-00128,PAI-00128,2026-05-14,COMPLETED,
OUT-00129,PAI-00129,2026-04-28,COMPLETED,
OUT-00130,PAI-00130,2026-08-08,COMPLETED,
OUT-00131,PAI-00131,2026-06-28,COMPLETED,
OUT-00132,PAI-00132,2026-02-05,COMPLETED,
OUT-00133,PAI-00133,2026-04-16,COMPLETED,
OUT-00134,PAI-00134,2026-07-15,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00136,PAI-00136,2026-07-03,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00137,PAI-00137,2026-03-15,COMPLETED,
OUT-00138,PAI-00138,2026-04-20,COMPLETED,
OUT-00139,PAI-00139,2026-03-02,COMPLETED,
OUT-00140,PAI-00140,2026-04-02,COMPLETED,
OUT-00141,PAI-00141,2026-02-13,COMPLETED,
OUT-00142,PAI-00142,2026-02-23,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00143,PAI-00143,2026-05-21,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00144,PAI-00144,2026-07-30,COMPLETED,
OUT-00145,PAI-00145,2026-05-02,COMPLETED,
OUT-00146,PAI-00146,2026-08-14,COMPLETED,
OUT-00147,PAI-00147,2026-03-25,COMPLETED,
OUT-00149,PAI-00149,2026-08-12,COMPLETED,
OUT-00150,PAI-00150,2026-04-28,COMPLETED,
OUT-00151,PAI-00151,2026-08-13,COMPLETED,
OUT-00152,PAI-00152,2026-04-29,COMPLETED,
OUT-00153,PAI-00153,2026-05-05,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00154,PAI-00154,2026-03-12,COMPLETED,
OUT-00155,PAI-00155,2026-03-13,COMPLETED,
OUT-00156,PAI-00156,2026-05-15,COMPLETED,
OUT-00157,PAI-00157,2026-06-15,COMPLETED,
OUT-00158,PAI-00158,2026-04-25,COMPLETED,
OUT-00159,PAI-00159,2026-08-07,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00160,PAI-00160,2026-08-05,COMPLETED,
OUT-00161,PAI-00161,2026-08-12,COMPLETED,
OUT-00162,PAI-00162,2026-06-28,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00163,PAI-00163,2026-03-18,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00164,PAI-00164,2026-05-06,COMPLETED,
OUT-00166,PAI-00166,2026-04-12,COMPLETED,
OUT-00167,PAI-00167,2026-02-20,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00169,PAI-00169,2026-06-24,COMPLETED,
OUT-00170,PAI-00170,2026-07-19,COMPLETED,
OUT-00171,PAI-00171,2026-08-03,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00172,PAI-00172,2026-02-28,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00173,PAI-00173,2026-08-10,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00174,PAI-00174,2026-07-20,COMPLETED,
OUT-00175,PAI-00175,2026-05-21,COMPLETED,
OUT-00176,PAI-00176,2026-02-02,COMPLETED,
OUT-00177,PAI-00177,2026-03-25,COMPLETED,
OUT-00178,PAI-00178,2026-07-01,COMPLETED,
OUT-00179,PAI-00179,2026-04-13,COMPLETED,
OUT-00180,PAI-00180,2026-04-10,COMPLETED,
OUT-00181,PAI-00181,2026-03-06,COMPLETED,
OUT-00182,PAI-00182,2026-04-15,COMPLETED,
OUT-00183,PAI-00183,2026-02-12,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00184,PAI-00184,2026-08-20,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00185,PAI-00185,2026-07-07,COMPLETED,
OUT-00186,PAI-00186,2026-02-04,COMPLETED,
OUT-00187,PAI-00187,2026-03-10,COMPLETED,
OUT-00188,PAI-00188,2026-08-20,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00189,PAI-00189,2026-02-28,COMPLETED,
OUT-00190,PAI-00190,2026-07-08,COMPLETED,
OUT-00191,PAI-00191,2026-03-15,COMPLETED,
OUT-00192,PAI-00192,2026-02-26,COMPLETED,
OUT-00194,PAI-00194,2026-06-08,COMPLETED,
OUT-00195,PAI-00195,2026-05-29,COMPLETED,
OUT-00196,PAI-00196,2026-02-11,COMPLETED,
OUT-00197,PAI-00197,2026-04-07,COMPLETED,
OUT-00198,PAI-00198,2026-07-18,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00199,PAI-00199,2026-02-07,COMPLETED,
OUT-00200,PAI-00200,2026-07-19,COMPLETED,
OUT-00201,PAI-00201,2026-05-08,COMPLETED,
OUT-00202,PAI-00202,2026-07-07,COMPLETED,
OUT-00203,PAI-00203,2026-06-16,COMPLETED,
OUT-00204,PAI-00204,2026-01-31,COMPLETED,
OUT-00205,PAI-00205,2026-05-15,COMPLETED,
OUT-00206,PAI-00206,2026-07-28,COMPLETED,
OUT-00207,PAI-00207,2026-08-10,COMPLETED,
OUT-00208,PAI-00208,2026-07-28,COMPLETED,
OUT-00209,PAI-00209,2026-08-10,COMPLETED,
OUT-00210,PAI-00210,2026-02-21,COMPLETED,
OUT-00211,PAI-00211,2026-08-23,COMPLETED,
OUT-00212,PAI-00212,2026-05-02,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00213,PAI-00213,2026-02-14,COMPLETED,
OUT-00214,PAI-00214,2026-06-04,COMPLETED,
OUT-00215,PAI-00215,2026-02-09,COMPLETED,
OUT-00216,PAI-00216,2026-06-28,COMPLETED,
OUT-00217,PAI-00217,2026-06-06,COMPLETED,
OUT-00218,PAI-00218,2026-06-02,COMPLETED,
OUT-00219,PAI-00219,2026-04-06,COMPLETED,
OUT-00220,PAI-00220,2026-07-15,COMPLETED,
OUT-00221,PAI-00221,2026-07-03,COMPLETED,
OUT-00223,PAI-00223,2026-05-06,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00224,PAI-00224,2026-06-14,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00225,PAI-00225,2026-07-14,COMPLETED,
OUT-00226,PAI-00226,2026-06-17,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00227,PAI-00227,2026-07-19,COMPLETED,
OUT-00228,PAI-00228,2026-03-02,COMPLETED,
OUT-00229,PAI-00229,2026-03-25,COMPLETED,
OUT-00231,PAI-00231,2026-02-28,COMPLETED,
OUT-00232,PAI-00232,2026-03-30,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00233,PAI-00233,2026-03-09,COMPLETED,
OUT-00234,PAI-00234,2026-05-12,COMPLETED,
OUT-00235,PAI-00235,2026-04-22,COMPLETED,
OUT-00236,PAI-00236,2026-03-13,COMPLETED,
OUT-00237,PAI-00237,2026-08-25,COMPLETED,
OUT-00238,PAI-00238,2026-05-20,COMPLETED,
OUT-00239,PAI-00239,2026-06-25,COMPLETED,
OUT-00240,PAI-00240,2026-06-08,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00241,PAI-00241,2026-08-04,COMPLETED,
OUT-00243,PAI-00243,2026-06-05,COMPLETED,
OUT-00244,PAI-00244,2026-07-07,COMPLETED,
OUT-00245,PAI-00245,2026-05-26,COMPLETED,
OUT-00246,PAI-00246,2026-07-01,COMPLETED,
OUT-00247,PAI-00247,2026-04-08,COMPLETED,
OUT-00248,PAI-00248,2026-05-24,COMPLETED,
OUT-00249,PAI-00249,2026-06-28,COMPLETED,
OUT-00250,PAI-00250,2026-08-14,COMPLETED,
OUT-00251,PAI-00251,2026-03-13,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00252,PAI-00252,2026-02-12,COMPLETED,
OUT-00253,PAI-00253,2026-04-17,COMPLETED,
OUT-00254,PAI-00254,2026-03-10,COMPLETED,
OUT-00255,PAI-00255,2026-03-17,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00256,PAI-00256,2026-06-05,COMPLETED,
OUT-00257,PAI-00257,2026-04-09,COMPLETED,
OUT-00258,PAI-00258,2026-06-18,COMPLETED,
OUT-00259,PAI-00259,2026-05-23,COMPLETED,
OUT-00260,PAI-00260,2026-07-21,COMPLETED,
OUT-00261,PAI-00261,2026-08-21,COMPLETED,
OUT-00262,PAI-00262,2026-04-14,COMPLETED,
OUT-00263,PAI-00263,2026-03-28,COMPLETED,
OUT-00264,PAI-00264,2026-08-08,COMPLETED,
OUT-00265,PAI-00265,2026-04-11,COMPLETED,
OUT-00268,PAI-00268,2026-02-16,COMPLETED,
OUT-00269,PAI-00269,2026-05-07,COMPLETED,
OUT-00270,PAI-00270,2026-05-10,COMPLETED,
OUT-00271,PAI-00271,2026-08-19,COMPLETED,
OUT-00272,PAI-00272,2026-06-10,COMPLETED,
OUT-00273,PAI-00273,2026-07-13,COMPLETED,
OUT-00274,PAI-00274,2026-08-18,COMPLETED,
OUT-00275,PAI-00275,2026-07-11,COMPLETED,
OUT-00276,PAI-00276,2026-02-12,COMPLETED,
OUT-00277,PAI-00277,2026-05-20,COMPLETED,
OUT-00278,PAI-00278,2026-02-16,COMPLETED,
OUT-00279,PAI-00279,2026-05-29,COMPLETED,
OUT-00280,PAI-00280,2026-07-15,COMPLETED,
OUT-00281,PAI-00281,2026-07-09,COMPLETED,
OUT-00282,PAI-00282,2026-03-25,COMPLETED,
OUT-00283,PAI-00283,2026-08-08,COMPLETED,
OUT-00285,PAI-00285,2026-06-08,COMPLETED,
OUT-00286,PAI-00286,2026-07-17,COMPLETED,
OUT-00287,PAI-00287,2026-03-15,COMPLETED,
OUT-00288,PAI-00288,2026-06-08,COMPLETED,
OUT-00289,PAI-00289,2026-03-10,COMPLETED,
OUT-00290,PAI-00290,2026-06-25,COMPLETED,
OUT-00291,PAI-00291,2026-07-04,COMPLETED,
OUT-00292,PAI-00292,2026-02-21,COMPLETED,
OUT-00293,PAI-00293,2026-06-30,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00294,PAI-00294,2026-02-18,COMPLETED,
OUT-00295,PAI-00295,2026-04-01,COMPLETED,
OUT-00296,PAI-00296,2026-06-19,COMPLETED,
OUT-00297,PAI-00297,2026-05-15,COMPLETED,
OUT-00298,PAI-00298,2026-06-23,COMPLETED,
OUT-00299,PAI-00299,2026-02-11,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00300,PAI-00300,2026-08-17,COMPLETED,
OUT-00301,PAI-00301,2026-07-14,COMPLETED,
OUT-00302,PAI-00302,2026-07-08,COMPLETED,
OUT-00303,PAI-00303,2026-02-07,COMPLETED,
OUT-00304,PAI-00304,2026-03-14,COMPLETED,
OUT-00305,PAI-00305,2026-02-13,COMPLETED,
OUT-00306,PAI-00306,2026-04-04,COMPLETED,
OUT-00307,PAI-00307,2026-03-25,COMPLETED,
OUT-00308,PAI-00308,2026-06-18,COMPLETED,
OUT-00309,PAI-00309,2026-01-31,COMPLETED,
OUT-00310,PAI-00310,2026-07-17,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00311,PAI-00311,2026-06-27,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00312,PAI-00312,2026-07-02,COMPLETED,
OUT-00313,PAI-00313,2026-07-28,COMPLETED,
OUT-00314,PAI-00314,2026-06-07,COMPLETED,
OUT-00315,PAI-00315,2026-03-01,COMPLETED,
OUT-00316,PAI-00316,2026-04-24,COMPLETED,
OUT-00317,PAI-00317,2026-03-14,COMPLETED,
OUT-00318,PAI-00318,2026-08-12,COMPLETED,
OUT-00319,PAI-00319,2026-08-06,COMPLETED,
OUT-00320,PAI-00320,2026-01-31,COMPLETED,
OUT-00321,PAI-00321,2026-05-05,COMPLETED,
OUT-00322,PAI-00322,2026-08-07,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00323,PAI-00323,2026-08-14,COMPLETED,
OUT-00324,PAI-00324,2026-08-20,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00325,PAI-00325,2026-04-04,COMPLETED,
OUT-00326,PAI-00326,2026-07-27,COMPLETED,
OUT-00327,PAI-00327,2026-06-13,COMPLETED,
OUT-00328,PAI-00328,2026-04-06,COMPLETED,
OUT-00329,PAI-00329,2026-02-20,COMPLETED,
OUT-00330,PAI-00330,2026-05-18,COMPLETED,
OUT-00331,PAI-00331,2026-04-16,COMPLETED,
OUT-00332,PAI-00332,2026-04-13,COMPLETED,
OUT-00333,PAI-00333,2026-02-22,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00334,PAI-00334,2026-05-06,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00335,PAI-00335,2026-08-15,COMPLETED,
OUT-00336,PAI-00336,2026-06-10,COMPLETED,
OUT-00337,PAI-00337,2026-06-29,COMPLETED,
OUT-00338,PAI-00338,2026-04-29,COMPLETED,
OUT-00339,PAI-00339,2026-03-29,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00340,PAI-00340,2026-04-13,COMPLETED,
OUT-00341,PAI-00341,2026-07-11,COMPLETED,
OUT-00342,PAI-00342,2026-02-03,COMPLETED,
OUT-00344,PAI-00344,2026-03-05,COMPLETED,
OUT-00345,PAI-00345,2026-08-13,COMPLETED,
OUT-00346,PAI-00346,2026-06-23,COMPLETED,
OUT-00348,PAI-00348,2026-06-25,COMPLETED,
OUT-00349,PAI-00349,2026-06-20,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00350,PAI-00350,2026-08-12,COMPLETED,
OUT-00351,PAI-00351,2026-03-13,COMPLETED,
OUT-00352,PAI-00352,2026-03-23,COMPLETED,
OUT-00353,PAI-00353,2026-04-12,COMPLETED,
OUT-00354,PAI-00354,2026-02-17,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00355,PAI-00355,2026-08-05,COMPLETED,
OUT-00356,PAI-00356,2026-02-18,COMPLETED,
OUT-00357,PAI-00357,2026-07-31,COMPLETED,
OUT-00358,PAI-00358,2026-05-18,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00359,PAI-00359,2026-06-09,COMPLETED,
OUT-00360,PAI-00360,2026-06-15,COMPLETED,
OUT-00361,PAI-00361,2026-02-23,COMPLETED,
OUT-00362,PAI-00362,2026-06-17,COMPLETED,
OUT-00363,PAI-00363,2026-03-29,COMPLETED,
OUT-00364,PAI-00364,2026-06-10,COMPLETED,
OUT-00365,PAI-00365,2026-05-10,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00366,PAI-00366,2026-06-29,COMPLETED,
OUT-00367,PAI-00367,2026-04-03,COMPLETED,
OUT-00368,PAI-00368,2026-07-30,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00369,PAI-00369,2026-06-19,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00370,PAI-00370,2026-05-05,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00371,PAI-00371,2026-08-06,COMPLETED,
OUT-00372,PAI-00372,2026-02-18,COMPLETED,
OUT-00373,PAI-00373,2026-03-05,COMPLETED,
OUT-00374,PAI-00374,2026-07-11,COMPLETED,
OUT-00375,PAI-00375,2026-07-30,COMPLETED,
OUT-00376,PAI-00376,2026-03-14,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00377,PAI-00377,2026-04-21,COMPLETED,
OUT-00378,PAI-00378,2026-07-18,COMPLETED,
OUT-00379,PAI-00379,2026-06-19,COMPLETED,
OUT-00380,PAI-00380,2026-02-11,COMPLETED,
OUT-00381,PAI-00381,2026-07-29,COMPLETED,
OUT-00382,PAI-00382,2026-08-23,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00383,PAI-00383,2026-03-25,COMPLETED,
OUT-00384,PAI-00384,2026-07-15,COMPLETED,
OUT-00385,PAI-00385,2026-05-22,COMPLETED,
OUT-00386,PAI-00386,2026-07-01,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00387,PAI-00387,2026-03-16,COMPLETED,
OUT-00388,PAI-00388,2026-01-30,COMPLETED,
OUT-00389,PAI-00389,2026-07-13,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00390,PAI-00390,2026-07-09,COMPLETED,
OUT-00391,PAI-00391,2026-04-13,COMPLETED,
OUT-00392,PAI-00392,2026-03-28,COMPLETED,
OUT-00394,PAI-00394,2026-04-17,COMPLETED,
OUT-00395,PAI-00395,2026-07-21,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00396,PAI-00396,2026-02-25,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00397,PAI-00397,2026-02-13,COMPLETED,
OUT-00398,PAI-00398,2026-01-30,COMPLETED,
OUT-00399,PAI-00399,2026-07-29,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00400,PAI-00400,2026-04-10,COMPLETED,
OUT-00401,PAI-00401,2026-06-05,COMPLETED,
OUT-00402,PAI-00402,2026-08-04,COMPLETED,
OUT-00403,PAI-00403,2026-03-21,COMPLETED,
OUT-00404,PAI-00404,2026-02-28,COMPLETED,
OUT-00405,PAI-00405,2026-04-23,COMPLETED,
OUT-00406,PAI-00406,2026-08-23,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00407,PAI-00407,2026-08-03,COMPLETED,
OUT-00408,PAI-00408,2026-07-15,COMPLETED,
OUT-00409,PAI-00409,2026-07-07,COMPLETED,
OUT-00410,PAI-00410,2026-06-16,COMPLETED,
OUT-00411,PAI-00411,2026-07-20,COMPLETED,
OUT-00412,PAI-00412,2026-02-04,COMPLETED,
OUT-00413,PAI-00413,2026-05-29,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00414,PAI-00414,2026-04-30,COMPLETED,
OUT-00416,PAI-00416,2026-08-06,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00417,PAI-00417,2026-08-23,COMPLETED,
OUT-00418,PAI-00418,2026-05-31,COMPLETED,
OUT-00419,PAI-00419,2026-05-04,COMPLETED,
OUT-00420,PAI-00420,2026-03-17,COMPLETED,
OUT-00421,PAI-00421,2026-04-04,COMPLETED,
OUT-00422,PAI-00422,2026-04-12,COMPLETED,
OUT-00423,PAI-00423,2026-08-08,COMPLETED,
OUT-00424,PAI-00424,2026-05-05,COMPLETED,
OUT-00426,PAI-00426,2026-04-22,COMPLETED,
OUT-00427,PAI-00427,2026-07-24,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00429,PAI-00429,2026-05-18,COMPLETED,
OUT-00430,PAI-00430,2026-04-12,COMPLETED,
OUT-00431,PAI-00431,2026-07-07,COMPLETED,
OUT-00432,PAI-00432,2026-03-28,COMPLETED,
OUT-00433,PAI-00433,2026-03-24,COMPLETED,
OUT-00435,PAI-00435,2026-03-19,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00436,PAI-00436,2026-08-19,COMPLETED,
OUT-00437,PAI-00437,2026-06-07,COMPLETED,
OUT-00438,PAI-00438,2026-08-16,COMPLETED,
OUT-00439,PAI-00439,2026-02-13,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
