quality_event_id,internal_project_id,severity,event_type,description,resolution_status
DQ-00312-22,PAI-00312,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00321-08,PAI-00321,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00324-18,PAI-00324,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00327-22,PAI-00327,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00328-08,PAI-00328,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00334-08,PAI-00334,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00336-07,PAI-00336,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00339-21,PAI-00339,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00344-24,PAI-00344,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00355-06,PAI-00355,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00360-15,PAI-00360,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00362-04,PAI-00362,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00365-03,PAI-00365,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00375-05,PAI-00375,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00380-17,PAI-00380,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00381-17,PAI-00381,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00385-13,PAI-00385,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00390-04,PAI-00390,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00390-20,PAI-00390,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00392-02,PAI-00392,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00397-03,PAI-00397,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00405-15,PAI-00405,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00407-06,PAI-00407,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00407-23,PAI-00407,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00411-01,PAI-00411,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00416-19,PAI-00416,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00418-19,PAI-00418,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00420-01,PAI-00420,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00422-09,PAI-00422,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00422-12,PAI-00422,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00424-11,PAI-00424,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00435-02,PAI-00435,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00438-18,PAI-00438,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00438-20,PAI-00438,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00439-15,PAI-00439,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00439-21,PAI-00439,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00443-09,PAI-00443,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00444-01,PAI-00444,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00445-12,PAI-00445,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00445-24,PAI-00445,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00447-16,PAI-00447,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00449-18,PAI-00449,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00449-21,PAI-00449,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00455-07,PAI-00455,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00457-21,PAI-00457,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00466-23,PAI-00466,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00469-02,PAI-00469,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00469-20,PAI-00469,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00471-02,PAI-00471,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00473-11,PAI-00473,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00473-23,PAI-00473,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00474-05,PAI-00474,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00481-23,PAI-00481,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00482-19,PAI-00482,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00483-03,PAI-00483,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00483-14,PAI-00483,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00487-18,PAI-00487,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00489-12,PAI-00489,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00490-21,PAI-00490,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00491-17,PAI-00491,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00493-05,PAI-00493,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00495-16,PAI-00495,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00496-07,PAI-00496,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00501-16,PAI-00501,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00502-19,PAI-00502,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00504-19,PAI-00504,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00514-14,PAI-00514,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00514-16,PAI-00514,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00516-18,PAI-00516,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00516-23,PAI-00516,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00521-24,PAI-00521,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00524-13,PAI-00524,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00526-10,PAI-00526,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00528-02,PAI-00528,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00532-01,PAI-00532,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00534-18,PAI-00534,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00535-17,PAI-00535,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00537-24,PAI-00537,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00539-07,PAI-00539,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00542-06,PAI-00542,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00543-13,PAI-00543,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00546-08,PAI-00546,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00549-19,PAI-00549,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00550-24,PAI-00550,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00557-20,PAI-00557,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00561-11,PAI-00561,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00561-22,PAI-00561,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00562-03,PAI-00562,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00564-24,PAI-00564,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00566-12,PAI-00566,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00571-19,PAI-00571,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00576-03,PAI-00576,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00576-09,PAI-00576,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00577-14,PAI-00577,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00577-19,PAI-00577,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00579-11,PAI-00579,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00579-15,PAI-00579,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
