case_id,internal_project_id,evidence_date,outcome_type,failure_category,evidence_summary,source_scope
FAIL-00226,PAI-00226,2026-06-17,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00232,PAI-00232,2026-03-30,ABANDONED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00240,PAI-00240,2026-06-08,DROPPED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00251,PAI-00251,2026-03-13,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00255,PAI-00255,2026-03-17,DROPPED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00293,PAI-00293,2026-06-30,ABANDONED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00299,PAI-00299,2026-02-11,DOWNGRADED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00310,PAI-00310,2026-07-17,ABANDONED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00311,PAI-00311,2026-06-27,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00322,PAI-00322,2026-08-07,CANCELLED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00324,PAI-00324,2026-08-20,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00333,PAI-00333,2026-02-22,ABANDONED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00334,PAI-00334,2026-05-06,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00339,PAI-00339,2026-03-29,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00349,PAI-00349,2026-06-20,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00354,PAI-00354,2026-02-17,FROZEN,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00358,PAI-00358,2026-05-18,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00365,PAI-00365,2026-05-10,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00368,PAI-00368,2026-07-30,DROPPED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00369,PAI-00369,2026-06-19,FROZEN,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00370,PAI-00370,2026-05-05,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00376,PAI-00376,2026-03-14,DROPPED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00382,PAI-00382,2026-08-23,DOWNGRADED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00386,PAI-00386,2026-07-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00389,PAI-00389,2026-07-13,CANCELLED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00395,PAI-00395,2026-07-21,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00396,PAI-00396,2026-02-25,ABANDONED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00399,PAI-00399,2026-07-29,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00406,PAI-00406,2026-08-23,FROZEN,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00413,PAI-00413,2026-05-29,DROPPED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00416,PAI-00416,2026-08-06,FROZEN,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00427,PAI-00427,2026-07-24,ABANDONED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00435,PAI-00435,2026-03-19,TERMINATED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00439,PAI-00439,2026-02-13,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00440,PAI-00440,2026-08-24,TERMINATED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00445,PAI-00445,2026-01-31,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00446,PAI-00446,2026-02-12,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00452,PAI-00452,2026-06-17,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00454,PAI-00454,2026-04-09,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00456,PAI-00456,2026-04-11,FROZEN,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00464,PAI-00464,2026-06-29,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00480,PAI-00480,2026-05-18,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00482,PAI-00482,2026-07-23,CANCELLED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00497,PAI-00497,2026-04-22,ABANDONED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00503,PAI-00503,2026-06-28,FROZEN,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00504,PAI-00504,2026-03-01,DROPPED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00508,PAI-00508,2026-03-19,DOWNGRADED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00520,PAI-00520,2026-02-09,DROPPED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00525,PAI-00525,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00526,PAI-00526,2026-04-24,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00533,PAI-00533,2026-04-05,DROPPED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00534,PAI-00534,2026-05-23,ABANDONED,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00536,PAI-00536,2026-02-17,TERMINATED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00539,PAI-00539,2026-07-09,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00542,PAI-00542,2026-07-20,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00549,PAI-00549,2026-07-31,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00553,PAI-00553,2026-04-08,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00555,PAI-00555,2026-02-11,ABANDONED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00556,PAI-00556,2026-06-01,ABANDONED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00557,PAI-00557,2026-06-23,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00562,PAI-00562,2026-07-04,DROPPED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00567,PAI-00567,2026-05-18,TERMINATED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00569,PAI-00569,2026-03-19,TERMINATED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00571,PAI-00571,2026-08-23,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00583,PAI-00583,2026-02-05,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00587,PAI-00587,2026-05-16,DROPPED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00592,PAI-00592,2026-04-03,FROZEN,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00593,PAI-00593,2026-07-04,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00595,PAI-00595,2026-07-28,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00598,PAI-00598,2026-05-25,TERMINATED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00599,PAI-00599,2026-06-11,CANCELLED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00603,PAI-00603,2026-02-11,DROPPED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00605,PAI-00605,2026-07-31,ABANDONED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00611,PAI-00611,2026-07-08,DROPPED,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00617,PAI-00617,2026-03-10,DROPPED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00623,PAI-00623,2026-03-06,ABANDONED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00637,PAI-00637,2026-07-20,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00638,PAI-00638,2026-08-26,ABANDONED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00641,PAI-00641,2026-07-22,DROPPED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00647,PAI-00647,2026-03-29,DROPPED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00649,PAI-00649,2026-05-27,TERMINATED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00653,PAI-00653,2026-05-30,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00665,PAI-00665,2026-04-11,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00675,PAI-00675,2026-07-04,FROZEN,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00684,PAI-00684,2026-02-27,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00687,PAI-00687,2026-05-31,FROZEN,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00690,PAI-00690,2026-06-28,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00692,PAI-00692,2026-07-16,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00723,PAI-00723,2026-02-11,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00724,PAI-00724,2026-03-02,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00736,PAI-00736,2026-04-10,DOWNGRADED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00743,PAI-00743,2026-02-27,TERMINATED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00745,PAI-00745,2026-06-10,DOWNGRADED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00748,PAI-00748,2026-06-12,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
