snapshot_id,internal_project_id,reporting_date,planned_progress_pct,physical_progress_pct,planned_expenditure_cr,period_expenditure_cr,cumulative_expenditure_cr,milestones_planned,milestones_completed,delay_days
SNP-00002-01,PAI-00002,2024-01-31,0.0,5.43,0.0,8.44,8.44,2,2,0
SNP-00002-02,PAI-00002,2024-02-29,3.96,5.88,6.6,3.77,12.21,1,1,1
SNP-00002-03,PAI-00002,2024-03-31,7.99,13.49,13.31,8.27,20.48,2,2,0
SNP-00002-04,PAI-00002,2024-04-30,12.48,13.49,20.79,1.7,22.18,2,2,2
SNP-00002-05,PAI-00002,2024-05-31,21.0,16.95,34.97,0.0,22.18,2,2,3
SNP-00002-06,PAI-00002,2024-06-30,22.04,16.95,36.7,2.23,24.41,1,1,6
SNP-00002-07,PAI-00002,2024-07-31,26.84,17.65,44.7,0.0,24.41,2,1,9
SNP-00002-08,PAI-00002,2024-08-31,32.63,22.2,54.33,12.6,37.02,2,1,8
SNP-00002-09,PAI-00002,2024-09-30,36.47,22.2,60.73,0.0,37.02,1,1,12
SNP-00002-10,PAI-00002,2024-10-31,39.58,24.83,65.91,1.87,38.89,2,1,13
SNP-00002-11,PAI-00002,2024-11-30,42.64,32.08,71.0,5.9,44.79,3,2,11
SNP-00002-12,PAI-00002,2024-12-31,48.37,32.08,80.55,0.0,44.79,1,1,14
SNP-00002-13,PAI-00002,2025-01-31,54.48,36.66,90.72,3.02,47.81,2,1,14
SNP-00002-14,PAI-00002,2025-02-28,58.19,36.66,96.9,12.97,60.77,1,1,17
SNP-00002-15,PAI-00002,2025-03-31,64.56,41.36,107.51,0.0,60.77,1,1,16
SNP-00002-16,PAI-00002,2025-04-30,68.69,42.19,114.39,0.0,60.77,1,1,19
SNP-00002-17,PAI-00002,2025-05-31,72.44,44.44,120.64,3.02,63.79,3,2,21
SNP-00002-18,PAI-00002,2025-06-30,76.03,49.53,126.61,8.5,72.29,1,0,20
SNP-00002-19,PAI-00002,2025-07-31,81.09,49.53,135.04,2.12,74.41,2,1,23
SNP-00002-20,PAI-00002,2025-08-31,84.34,51.61,140.45,1.36,75.77,1,1,25
SNP-00002-21,PAI-00002,2025-09-30,89.62,55.44,149.24,0.0,75.77,3,2,25
SNP-00002-22,PAI-00002,2025-10-31,94.06,55.44,156.64,0.0,75.77,3,2,28
SNP-00002-23,PAI-00002,2025-11-30,98.88,61.48,164.66,3.48,79.25,3,2,27
SNP-00002-24,PAI-00002,2025-12-31,100.0,63.18,166.53,17.03,96.28,3,2,29
SNP-00003-01,PAI-00003,2024-01-31,0.0,3.84,0.0,9.12,9.12,1,1,0
SNP-00003-02,PAI-00003,2024-02-29,3.89,8.29,6.49,0.13,9.25,1,1,0
SNP-00003-03,PAI-00003,2024-03-31,8.88,10.45,14.8,10.43,19.68,1,1,1
SNP-00003-04,PAI-00003,2024-04-30,14.66,10.45,24.45,0.0,19.68,1,1,4
SNP-00003-05,PAI-00003,2024-05-31,17.74,20.26,29.58,8.0,27.68,2,2,0
SNP-00003-06,PAI-00003,2024-06-30,22.01,22.94,36.7,5.67,33.35,2,2,1
SNP-00003-07,PAI-00003,2024-07-31,25.53,24.7,42.57,0.0,33.35,2,2,3
SNP-00003-08,PAI-00003,2024-08-31,30.09,26.64,50.17,1.77,35.11,2,1,5
SNP-00003-09,PAI-00003,2024-09-30,35.64,30.92,59.44,15.01,50.12,2,1,5
SNP-00003-10,PAI-00003,2024-10-31,41.27,31.7,68.82,0.0,50.12,1,1,7
SNP-00003-11,PAI-00003,2024-11-30,46.59,33.34,77.7,5.29,55.41,2,1,9
SNP-00003-12,PAI-00003,2024-12-31,50.51,42.09,84.24,12.82,68.23,2,2,6
SNP-00003-13,PAI-00003,2025-01-31,51.98,44.28,86.67,0.0,68.23,2,1,7
SNP-00003-14,PAI-00003,2025-02-28,56.76,44.28,94.66,0.0,68.23,3,2,11
SNP-00003-15,PAI-00003,2025-03-31,61.72,52.6,102.93,13.41,81.65,2,1,7
SNP-00003-16,PAI-00003,2025-04-30,67.95,54.99,113.31,0.0,81.65,1,1,9
SNP-00003-17,PAI-00003,2025-05-31,73.64,56.7,122.81,0.0,81.65,2,2,11
SNP-00003-18,PAI-00003,2025-06-30,74.64,58.38,124.46,0.0,81.65,1,1,13
SNP-00003-19,PAI-00003,2025-07-31,80.46,64.73,134.18,10.26,91.91,2,2,11
SNP-00003-20,PAI-00003,2025-08-31,84.07,67.08,140.19,1.17,93.08,2,1,13
SNP-00003-21,PAI-00003,2025-09-30,90.71,67.94,151.27,0.0,93.08,2,2,15
SNP-00003-22,PAI-00003,2025-10-31,94.79,68.19,158.07,7.37,100.45,3,2,18
SNP-00003-23,PAI-00003,2025-11-30,97.21,75.06,162.11,22.58,123.03,3,2,16
SNP-00003-24,PAI-00003,2025-12-31,100.0,78.25,166.76,0.0,123.03,2,2,17
SNP-00004-01,PAI-00004,2024-01-31,0.0,2.0,0.0,2.71,2.71,2,2,3
SNP-00004-02,PAI-00004,2024-02-29,4.29,2.0,12.14,1.49,4.2,2,1,9
SNP-00004-03,PAI-00004,2024-03-31,6.94,3.24,19.65,2.08,6.28,3,1,13
SNP-00004-04,PAI-00004,2024-04-30,13.84,9.44,39.19,12.67,18.95,3,2,10
SNP-00004-05,PAI-00004,2024-05-31,18.87,9.44,53.42,3.84,22.79,2,1,17
SNP-00004-06,PAI-00004,2024-06-30,21.88,9.84,61.93,0.0,22.79,2,1,22
SNP-00004-07,PAI-00004,2024-07-31,25.33,9.84,71.72,1.26,24.05,2,1,28
SNP-00004-08,PAI-00004,2024-08-31,32.18,11.78,91.11,4.7,28.74,2,1,32
SNP-00004-09,PAI-00004,2024-09-30,35.08,11.78,99.3,0.0,28.74,3,1,38
SNP-00004-10,PAI-00004,2024-10-31,39.3,12.06,111.26,1.35,30.1,2,0,44
SNP-00004-11,PAI-00004,2024-11-30,44.4,12.06,125.69,0.0,30.1,2,0,50
SNP-00004-12,PAI-00004,2024-12-31,49.0,15.35,138.71,11.41,41.51,1,0,51
SNP-00004-13,PAI-00004,2025-01-31,51.38,17.15,145.44,6.21,47.72,2,1,55
SNP-00004-14,PAI-00004,2025-02-28,61.73,17.52,174.75,0.0,47.72,1,0,61
SNP-00004-15,PAI-00004,2025-03-31,61.38,21.69,173.76,10.14,57.86,2,1,61
SNP-00004-16,PAI-00004,2025-04-30,66.56,21.69,188.42,0.0,57.86,3,1,67
SNP-00004-17,PAI-00004,2025-05-31,74.12,22.18,209.82,0.0,57.86,2,1,72
SNP-00004-18,PAI-00004,2025-06-30,76.74,22.47,217.23,0.0,57.86,3,1,78
SNP-00004-19,PAI-00004,2025-07-31,82.06,23.44,232.31,0.0,57.86,2,1,83
SNP-00004-20,PAI-00004,2025-08-31,85.07,25.42,240.82,0.0,57.86,3,1,86
SNP-00004-21,PAI-00004,2025-09-30,91.23,25.42,258.25,0.0,57.86,1,0,93
SNP-00004-22,PAI-00004,2025-10-31,93.25,25.72,263.99,19.56,77.42,2,1,98
SNP-00004-23,PAI-00004,2025-11-30,99.72,25.72,282.3,0.0,77.42,2,0,105
SNP-00004-24,PAI-00004,2025-12-31,100.0,31.24,283.09,5.23,82.65,3,1,103
SNP-00005-01,PAI-00005,2024-01-31,0.0,0.0,0.0,0.0,0.0,3,0,3
SNP-00005-02,PAI-00005,2024-02-29,4.7,4.27,7.37,6.5,6.5,1,1,3
SNP-00005-03,PAI-00005,2024-03-31,7.42,10.29,11.63,13.8,20.3,2,2,1
SNP-00005-04,PAI-00005,2024-04-30,12.83,15.0,20.12,0.47,20.77,1,1,1
SNP-00005-05,PAI-00005,2024-05-31,17.13,15.0,26.85,0.0,20.77,1,1,4
SNP-00005-06,PAI-00005,2024-06-30,22.26,21.96,34.9,8.15,28.92,2,2,2
SNP-00005-07,PAI-00005,2024-07-31,26.24,21.96,41.13,0.0,28.92,1,1,5
SNP-00005-08,PAI-00005,2024-08-31,34.53,23.79,54.13,3.29,32.21,3,2,7
SNP-00005-09,PAI-00005,2024-09-30,37.49,26.81,58.78,11.9,44.11,3,2,8
SNP-00005-10,PAI-00005,2024-10-31,40.43,31.04,63.38,0.0,44.11,1,1,8
SNP-00005-11,PAI-00005,2024-11-30,47.3,37.77,74.16,5.04,49.15,3,2,6
SNP-00005-12,PAI-00005,2024-12-31,49.53,37.77,77.65,12.79,61.94,1,1,9
SNP-00005-13,PAI-00005,2025-01-31,54.24,40.16,85.03,2.36,64.3,1,1,11
SNP-00005-14,PAI-00005,2025-02-28,58.02,45.55,90.96,6.74,71.04,2,1,10
SNP-00005-15,PAI-00005,2025-03-31,62.61,47.51,98.15,0.0,71.04,2,1,11
SNP-00005-16,PAI-00005,2025-04-30,68.78,49.12,107.82,0.66,71.71,2,1,14
SNP-00005-17,PAI-00005,2025-05-31,71.5,50.79,112.09,0.0,71.71,2,1,16
SNP-00005-18,PAI-00005,2025-06-30,75.17,57.31,117.84,13.37,85.08,2,1,14
SNP-00005-19,PAI-00005,2025-07-31,81.96,60.99,128.48,17.43,102.51,2,1,14
SNP-00005-20,PAI-00005,2025-08-31,87.66,61.97,137.42,0.0,102.51,2,1,17
SNP-00005-21,PAI-00005,2025-09-30,89.65,64.54,140.55,0.0,102.51,2,1,18
SNP-00005-22,PAI-00005,2025-10-31,95.66,71.24,149.96,11.76,114.27,2,1,16
SNP-00005-23,PAI-00005,2025-11-30,97.75,71.24,153.24,0.0,114.27,2,1,19
SNP-00005-24,PAI-00005,2025-12-31,100.0,73.06,156.77,0.0,114.27,3,2,21
SNP-00006-01,PAI-00006,2024-01-31,0.0,4.32,0.0,6.13,6.13,2,2,0
SNP-00006-02,PAI-00006,2024-02-29,3.93,5.14,10.99,7.49,13.62,3,3,4
SNP-00006-03,PAI-00006,2024-03-31,7.41,5.14,20.71,0.0,13.62,2,1,11
SNP-00006-04,PAI-00006,2024-04-30,13.62,5.14,38.08,0.04,13.66,2,1,17
SNP-00006-05,PAI-00006,2024-05-31,18.52,5.14,51.76,0.0,13.66,3,1,23
SNP-00006-06,PAI-00006,2024-06-30,23.09,5.14,64.53,0.1,13.77,1,0,29
SNP-00006-07,PAI-00006,2024-07-31,25.76,5.4,72.0,0.0,13.77,2,0,35
SNP-00006-08,PAI-00006,2024-08-31,30.63,6.39,85.62,0.31,14.08,1,0,40
SNP-00006-09,PAI-00006,2024-09-30,36.87,6.39,103.07,0.02,14.1,2,0,46
SNP-00006-10,PAI-00006,2024-10-31,40.57,6.39,113.39,0.0,14.1,2,0,52
SNP-00006-11,PAI-00006,2024-11-30,43.97,6.39,122.9,0.0,14.1,2,0,59
SNP-00006-12,PAI-00006,2024-12-31,47.71,6.58,133.35,6.06,20.17,2,0,65
SNP-00006-13,PAI-00006,2025-01-31,53.79,10.26,150.35,6.69,26.86,2,0,65
SNP-00006-14,PAI-00006,2025-02-28,58.82,10.26,164.41,0.0,26.86,2,0,72
SNP-00006-15,PAI-00006,2025-03-31,61.75,10.26,172.6,3.01,29.87,1,0,78
SNP-00006-16,PAI-00006,2025-04-30,68.51,10.26,191.49,0.0,29.87,2,0,84
SNP-00006-17,PAI-00006,2025-05-31,71.84,10.26,200.8,0.0,29.87,3,0,90
SNP-00006-18,PAI-00006,2025-06-30,77.39,11.6,216.31,0.0,29.87,2,0,95
SNP-00006-19,PAI-00006,2025-07-31,82.06,11.6,229.37,0.42,30.29,1,0,101
SNP-00006-20,PAI-00006,2025-08-31,85.77,11.6,239.75,0.0,30.29,1,0,107
SNP-00006-21,PAI-00006,2025-09-30,91.56,13.06,255.93,0.88,31.17,3,0,111
SNP-00006-22,PAI-00006,2025-10-31,93.27,13.06,260.72,0.76,31.93,3,0,117
SNP-00006-23,PAI-00006,2025-11-30,97.18,13.06,271.64,0.0,31.93,2,0,124
SNP-00006-24,PAI-00006,2025-12-31,100.0,13.06,279.52,1.04,32.97,2,0,130
SNP-00007-01,PAI-00007,2024-01-31,0.0,0.48,0.0,0.0,0.0,1,0,2
SNP-00007-02,PAI-00007,2024-02-29,5.14,12.33,11.53,26.01,26.01,2,2,0
SNP-00007-03,PAI-00007,2024-03-31,7.45,12.33,16.7,0.68,26.69,2,2,0
SNP-00007-04,PAI-00007,2024-04-30,12.16,16.54,27.27,7.08,33.78,2,2,0
SNP-00007-05,PAI-00007,2024-05-31,17.78,18.05,39.86,0.0,33.78,2,2,2
SNP-00007-06,PAI-00007,2024-06-30,21.82,22.66,48.93,21.02,54.79,3,2,1
SNP-00007-07,PAI-00007,2024-07-31,26.66,23.83,59.77,0.0,54.79,3,2,4
SNP-00007-08,PAI-00007,2024-08-31,29.73,27.56,66.66,8.5,63.29,3,3,4
SNP-00007-09,PAI-00007,2024-09-30,35.85,30.4,80.38,0.0,63.29,3,2,5
SNP-00007-10,PAI-00007,2024-10-31,42.62,34.66,95.57,13.15,76.44,2,1,5
SNP-00007-11,PAI-00007,2024-11-30,46.3,39.72,103.82,15.7,92.14,3,2,4
SNP-00007-12,PAI-00007,2024-12-31,49.84,43.29,111.76,16.63,108.77,2,2,5
SNP-00007-13,PAI-00007,2025-01-31,52.7,43.29,118.18,0.0,108.77,3,2,8
SNP-00007-14,PAI-00007,2025-02-28,61.24,49.88,137.3,0.0,108.77,3,2,6
SNP-00007-15,PAI-00007,2025-03-31,63.11,49.88,141.5,8.11,116.88,2,1,10
SNP-00007-16,PAI-00007,2025-04-30,67.54,56.27,151.43,0.0,116.88,1,1,8
SNP-00007-17,PAI-00007,2025-05-31,70.31,59.53,157.65,18.86,135.74,1,1,9
SNP-00007-18,PAI-00007,2025-06-30,76.37,59.53,171.24,0.0,135.74,1,1,12
SNP-00007-19,PAI-00007,2025-07-31,79.54,63.64,178.35,6.27,142.01,2,1,12
SNP-00007-20,PAI-00007,2025-08-31,83.5,64.93,187.22,0.0,142.01,1,1,14
SNP-00007-21,PAI-00007,2025-09-30,89.5,70.38,200.68,4.76,146.78,2,1,13
SNP-00007-22,PAI-00007,2025-10-31,92.85,73.13,208.19,29.71,176.49,3,2,14
SNP-00007-23,PAI-00007,2025-11-30,98.36,80.4,220.54,14.45,190.93,2,1,12
SNP-00007-24,PAI-00007,2025-12-31,100.0,80.4,224.22,0.0,190.93,3,2,15
SNP-00008-01,PAI-00008,2024-01-31,0.5,1.5,2.56,8.97,8.97,2,2,2
SNP-00008-02,PAI-00008,2024-02-29,5.6,7.25,28.96,31.92,40.89,3,3,0
SNP-00008-03,PAI-00008,2024-03-31,10.38,11.55,53.7,3.78,44.67,2,2,0
SNP-00008-04,PAI-00008,2024-04-30,14.65,15.35,75.76,24.04,68.71,2,2,1
SNP-00008-05,PAI-00008,2024-05-31,17.15,18.73,88.69,21.94,90.65,3,3,1
SNP-00008-06,PAI-00008,2024-06-30,22.01,25.05,113.84,18.81,109.46,3,3,0
SNP-00008-07,PAI-00008,2024-07-31,27.3,27.25,141.16,19.5,128.96,2,2,1
SNP-00008-08,PAI-00008,2024-08-31,31.61,32.06,163.47,34.9,163.86,2,2,1
SNP-00008-09,PAI-00008,2024-09-30,37.76,41.36,195.28,3.37,167.23,1,1,0
SNP-00008-10,PAI-00008,2024-10-31,40.25,44.69,208.14,60.14,227.38,2,2,0
SNP-00008-11,PAI-00008,2024-11-30,45.27,44.69,234.12,0.0,227.38,1,1,0
SNP-00008-12,PAI-00008,2024-12-31,49.72,47.41,257.1,0.0,227.38,2,2,2
SNP-00008-13,PAI-00008,2025-01-31,54.09,51.49,279.74,17.51,244.89,1,1,2
SNP-00008-14,PAI-00008,2025-02-28,59.09,57.99,305.6,0.0,244.89,2,2,0
SNP-00008-15,PAI-00008,2025-03-31,63.91,58.25,330.51,14.45,259.33,2,2,3
SNP-00008-16,PAI-00008,2025-04-30,67.48,64.32,348.94,0.0,259.33,2,2,1
SNP-00008-17,PAI-00008,2025-05-31,73.31,68.52,379.1,95.44,354.78,3,3,1
SNP-00008-18,PAI-00008,2025-06-30,77.17,73.32,399.1,0.0,354.78,2,2,1
SNP-00008-19,PAI-00008,2025-07-31,78.96,75.86,408.34,53.58,408.36,1,1,2
SNP-00008-20,PAI-00008,2025-08-31,83.86,81.42,433.67,0.0,408.36,2,2,1
SNP-00008-21,PAI-00008,2025-09-30,89.27,84.54,461.63,45.49,453.85,2,2,2
SNP-00008-22,PAI-00008,2025-10-31,94.85,89.52,490.51,0.0,453.85,3,2,1
SNP-00008-23,PAI-00008,2025-11-30,99.4,93.09,514.06,0.0,453.85,2,2,2
SNP-00008-24,PAI-00008,2025-12-31,100.0,94.22,517.14,0.0,453.85,2,2,4
SNP-00009-01,PAI-00009,2024-01-31,0.34,4.49,0.71,7.92,7.92,2,2,0
SNP-00009-02,PAI-00009,2024-02-29,2.33,6.12,4.84,1.84,9.77,2,2,3
SNP-00009-03,PAI-00009,2024-03-31,8.96,6.12,18.64,0.03,9.8,2,1,9
SNP-00009-04,PAI-00009,2024-04-30,11.98,6.3,24.92,1.5,11.3,2,1,15
SNP-00009-05,PAI-00009,2024-05-31,16.88,6.3,35.1,0.0,11.3,2,1,21
SNP-00009-06,PAI-00009,2024-06-30,21.78,7.28,45.3,2.49,13.79,2,1,26
SNP-00009-07,PAI-00009,2024-07-31,27.05,7.28,56.25,0.0,13.79,1,0,32
SNP-00009-08,PAI-00009,2024-08-31,31.09,10.0,64.66,0.0,13.79,2,1,34
SNP-00009-09,PAI-00009,2024-09-30,35.92,10.0,74.7,2.32,16.1,2,1,41
SNP-00009-10,PAI-00009,2024-10-31,40.9,10.05,85.05,0.0,16.1,2,0,47
SNP-00009-11,PAI-00009,2024-11-30,44.5,11.08,92.53,2.81,18.91,2,0,52
SNP-00009-12,PAI-00009,2024-12-31,50.49,11.08,105.0,0.0,18.91,1,0,58
SNP-00009-13,PAI-00009,2025-01-31,52.9,13.14,110.02,6.55,25.46,2,0,61
SNP-00009-14,PAI-00009,2025-02-28,58.75,16.27,122.17,0.0,25.46,3,1,63
SNP-00009-15,PAI-00009,2025-03-31,63.43,16.27,131.9,2.98,28.44,3,1,69
SNP-00009-16,PAI-00009,2025-04-30,67.14,16.27,139.63,0.0,28.44,3,1,75
SNP-00009-17,PAI-00009,2025-05-31,71.18,16.27,148.03,0.65,29.08,2,0,81
SNP-00009-18,PAI-00009,2025-06-30,75.07,16.27,156.11,0.0,29.08,2,0,88
SNP-00009-19,PAI-00009,2025-07-31,80.66,17.51,167.73,0.0,29.08,2,0,92
SNP-00009-20,PAI-00009,2025-08-31,87.73,18.54,182.44,0.18,29.26,2,0,97
SNP-00009-21,PAI-00009,2025-09-30,89.14,18.54,185.39,0.0,29.26,2,0,103
SNP-00009-22,PAI-00009,2025-10-31,93.97,18.54,195.42,7.32,36.58,2,0,109
SNP-00009-23,PAI-00009,2025-11-30,98.89,18.92,205.65,0.0,36.58,2,0,115
SNP-00009-24,PAI-00009,2025-12-31,100.0,20.28,207.96,0.27,36.85,2,0,119
SNP-00010-01,PAI-00010,2024-01-31,0.09,7.88,0.14,7.79,7.79,1,1,0
SNP-00010-02,PAI-00010,2024-02-29,4.85,13.5,7.51,9.82,17.62,1,1,0
SNP-00010-03,PAI-00010,2024-03-31,6.75,13.5,10.44,0.0,17.62,2,2,0
SNP-00010-04,PAI-00010,2024-04-30,13.41,20.74,20.74,11.7,29.32,1,1,0
SNP-00010-05,PAI-00010,2024-05-31,16.96,23.63,26.23,0.61,29.92,1,1,0
SNP-00010-06,PAI-00010,2024-06-30,22.55,23.63,34.89,0.0,29.92,2,2,1
SNP-00010-07,PAI-00010,2024-07-31,27.68,30.51,42.81,17.95,47.88,1,1,0
SNP-00010-08,PAI-00010,2024-08-31,30.4,30.51,47.02,0.0,47.88,2,2,2
SNP-00010-09,PAI-00010,2024-09-30,37.74,37.2,58.38,0.08,47.96,2,2,0
SNP-00010-10,PAI-00010,2024-10-31,41.97,43.74,64.92,15.65,63.61,1,1,0
SNP-00010-11,PAI-00010,2024-11-30,43.69,44.51,67.58,0.0,63.61,2,2,1
SNP-00010-12,PAI-00010,2024-12-31,49.06,49.63,75.89,8.91,72.52,2,2,0
SNP-00010-13,PAI-00010,2025-01-31,54.34,50.06,84.06,0.0,72.52,3,3,3
SNP-00010-14,PAI-00010,2025-02-28,57.47,50.06,88.89,6.21,78.73,1,1,6
SNP-00010-15,PAI-00010,2025-03-31,65.03,54.51,100.59,0.0,78.73,2,2,6
SNP-00010-16,PAI-00010,2025-04-30,67.26,63.59,104.03,23.51,102.24,2,1,2
SNP-00010-17,PAI-00010,2025-05-31,72.0,65.42,111.37,0.0,102.24,1,1,4
SNP-00010-18,PAI-00010,2025-06-30,76.25,69.45,117.94,4.44,106.68,2,1,4
SNP-00010-19,PAI-00010,2025-07-31,82.65,78.42,127.85,10.74,117.41,2,2,0
SNP-00010-20,PAI-00010,2025-08-31,85.13,78.42,131.68,0.0,117.41,2,2,3
SNP-00010-21,PAI-00010,2025-09-30,88.24,79.14,136.5,6.94,124.35,2,2,6
SNP-00010-22,PAI-00010,2025-10-31,94.16,87.71,145.64,15.01,139.36,3,3,3
SNP-00010-23,PAI-00010,2025-11-30,98.09,88.48,151.73,0.0,139.36,3,2,5
SNP-00010-24,PAI-00010,2025-12-31,100.0,93.39,154.68,0.23,139.59,2,1,5
SNP-00011-01,PAI-00011,2024-01-31,0.0,3.53,0.0,7.25,7.25,2,2,0
SNP-00011-02,PAI-00011,2024-02-29,5.02,9.94,11.74,18.14,25.39,2,2,0
SNP-00011-03,PAI-00011,2024-03-31,7.95,12.1,18.59,0.0,25.39,2,2,0
SNP-00011-04,PAI-00011,2024-04-30,12.09,15.73,28.27,0.0,25.39,2,2,0
SNP-00011-05,PAI-00011,2024-05-31,17.89,20.09,41.81,15.04,40.43,1,1,0
SNP-00011-06,PAI-00011,2024-06-30,20.5,24.01,47.92,16.53,56.97,1,1,0
SNP-00011-07,PAI-00011,2024-07-31,27.7,29.69,64.76,0.0,56.97,2,2,0
SNP-00011-08,PAI-00011,2024-08-31,31.68,30.93,74.06,0.29,57.26,3,3,1
SNP-00011-09,PAI-00011,2024-09-30,36.41,40.38,85.12,34.01,91.27,2,2,0
SNP-00011-10,PAI-00011,2024-10-31,42.18,42.99,98.61,0.0,91.27,2,2,0
SNP-00011-11,PAI-00011,2024-11-30,45.88,44.95,107.26,0.0,91.27,2,2,0
SNP-00011-12,PAI-00011,2024-12-31,48.32,49.47,112.97,3.45,94.71,1,1,0
SNP-00011-13,PAI-00011,2025-01-31,54.69,54.78,127.85,31.24,125.95,2,2,0
SNP-00011-14,PAI-00011,2025-02-28,54.84,57.23,128.19,0.0,125.95,2,2,0
SNP-00011-15,PAI-00011,2025-03-31,63.55,60.08,148.56,0.0,125.95,1,1,1
SNP-00011-16,PAI-00011,2025-04-30,67.23,61.32,157.17,0.0,125.95,2,2,4
SNP-00011-17,PAI-00011,2025-05-31,70.54,68.1,164.91,6.36,132.32,1,1,2
SNP-00011-18,PAI-00011,2025-06-30,76.58,72.85,179.03,22.29,154.61,1,1,1
SNP-00011-19,PAI-00011,2025-07-31,81.71,75.05,191.01,0.0,154.61,2,2,3
SNP-00011-20,PAI-00011,2025-08-31,86.22,79.86,201.55,0.0,154.61,1,1,2
SNP-00011-21,PAI-00011,2025-09-30,91.31,87.08,213.46,1.15,155.75,2,2,0
SNP-00011-22,PAI-00011,2025-10-31,95.87,91.06,224.11,24.29,180.05,2,2,0
SNP-00011-23,PAI-00011,2025-11-30,96.69,91.06,226.04,0.0,180.05,2,2,3
SNP-00011-24,PAI-00011,2025-12-31,100.0,94.23,233.77,12.15,192.19,3,2,4
SNP-00012-01,PAI-00012,2024-01-31,0.0,4.77,0.0,3.44,3.44,3,3,0
SNP-00012-02,PAI-00012,2024-02-29,4.24,4.77,6.36,2.84,6.28,2,2,2
SNP-00012-03,PAI-00012,2024-03-31,8.3,11.16,12.45,10.25,16.53,2,2,1
SNP-00012-04,PAI-00012,2024-04-30,14.88,15.3,22.32,7.39,23.92,2,2,1
SNP-00012-05,PAI-00012,2024-05-31,17.54,16.18,26.32,0.62,24.55,3,2,3
SNP-00012-06,PAI-00012,2024-06-30,21.17,20.27,31.76,7.86,32.41,2,2,3
SNP-00012-07,PAI-00012,2024-07-31,28.22,24.08,42.34,5.45,37.85,3,2,4
SNP-00012-08,PAI-00012,2024-08-31,31.57,25.1,47.36,0.0,37.85,2,2,6
SNP-00012-09,PAI-00012,2024-09-30,35.19,27.62,52.79,0.0,37.85,3,2,7
SNP-00012-10,PAI-00012,2024-10-31,40.17,35.26,60.26,12.39,50.25,3,2,5
SNP-00012-11,PAI-00012,2024-11-30,44.92,38.55,67.38,0.0,50.25,1,1,5
SNP-00012-12,PAI-00012,2024-12-31,51.85,38.55,77.77,11.82,62.07,2,1,9
SNP-00012-13,PAI-00012,2025-01-31,54.26,46.29,81.39,2.42,64.49,2,2,6
SNP-00012-14,PAI-00012,2025-02-28,58.99,46.59,88.49,0.0,64.49,2,1,9
SNP-00012-15,PAI-00012,2025-03-31,63.94,47.89,95.92,1.66,66.15,1,1,11
SNP-00012-16,PAI-00012,2025-04-30,66.95,53.39,100.43,7.52,73.67,2,1,10
SNP-00012-17,PAI-00012,2025-05-31,72.61,56.01,108.92,1.6,75.26,3,2,11
SNP-00012-18,PAI-00012,2025-06-30,76.98,58.06,115.47,9.42,84.68,2,1,13
