internal_project_id,project_name,ministry,agency,sector,state,project_type,approval_date,start_date,original_end_date,revised_end_date,original_cost_cr,revised_cost_cr,project_code,legacy_ocms_code,pmgid
PAI-00011,Air Navigation Project 011 - Kerala,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Kerala,Air Navigation,2022-09-01,2023-02-23,2027-12-23,2027-12-23,215.27,233.77,PAI26-100010,OCMS-2021-10010,PMG-50010
PAI-00012,Data Network Project 012 - Jharkhand,Ministry of Telecommunications,RailTel,Telecom,Jharkhand,Data Network,2023-03-27,2023-10-12,2026-11-12,2026-11-12,150.0,150.0,PAI26-100011,OCMS-2022-10011,PMG-50011
PAI-00013,National Highway Project 013 - Bihar,Ministry of Road Transport & Highways,MoRTH,Roads,Bihar,National Highway,2022-10-29,2023-07-22,2028-03-22,2028-03-27,196.03,196.49,PAI26-100012,OCMS-2023-10012,PMG-50012
PAI-00014,Station Redevelopment Project 014 - Chhattisgarh,Ministry of Railways,RVNL,Railways,Chhattisgarh,Station Redevelopment,2022-07-01,2023-03-13,2025-12-13,2025-12-13,264.52,264.52,PAI26-100013,OCMS-2024-10013,PMG-50013
PAI-00015,Substation Project 015 - Haryana,Ministry of Power,NHPC,Power,Haryana,Substation,2022-04-04,2022-12-02,2027-08-02,2028-01-10,247.67,298.87,PAI26-100014,OCMS-2018-10014,PMG-50014
PAI-00016,Port Expansion Project 016 - Jharkhand,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Jharkhand,Port Expansion,2022-07-19,2022-12-13,2026-07-13,2026-10-04,237.7,253.82,PAI26-100015,OCMS-2019-10015,PMG-50015
PAI-00017,Air Navigation Project 017 - Madhya Pradesh,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Madhya Pradesh,Air Navigation,2022-11-07,2023-05-13,2025-09-13,2026-03-04,150.0,189.95,PAI26-100016,OCMS-2020-10016,PMG-50016
PAI-00018,Fiber Network Project 018 - Andhra Pradesh,Ministry of Telecommunications,RailTel,Telecom,Andhra Pradesh,Fiber Network,2022-04-15,2022-09-20,2025-07-20,2025-07-20,150.0,166.98,PAI26-100017,OCMS-2021-10017,PMG-50017
PAI-00019,Bridge Project 019 - West Bengal,Ministry of Road Transport & Highways,NHAI,Roads,West Bengal,Bridge,2022-09-16,2023-02-21,2026-06-21,2026-07-25,150.0,175.27,PAI26-100018,OCMS-2022-10018,PMG-50018
PAI-00020,Rail Corridor Project 020 - Assam,Ministry of Railways,RVNL,Railways,Assam,Rail Corridor,2023-01-23,2023-07-11,2027-11-11,2028-03-27,238.96,311.79,PAI26-100019,OCMS-2023-10019,PMG-50019
PAI-00021,Grid Modernisation Project 021 - Tamil Nadu,Ministry of Power,Power Grid Corporation,Power,Tamil Nadu,Grid Modernisation,2022-12-28,2023-05-31,2027-08-31,2027-09-22,237.9,256.11,PAI26-100020,OCMS-2024-10020,PMG-50020
PAI-00022,Port Expansion Project 022 - Odisha,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Odisha,Port Expansion,2022-07-20,2022-11-28,2025-03-28,2025-04-13,372.64,405.98,PAI26-100021,OCMS-2018-10021,PMG-50021
PAI-00023,Airport Expansion Project 023 - West Bengal,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,West Bengal,Airport Expansion,2022-07-19,2022-11-24,2027-07-24,2027-08-10,150.0,159.56,PAI26-100022,OCMS-2019-10022,PMG-50022
PAI-00024,Tower Infrastructure Project 024 - Odisha,Ministry of Telecommunications,RailTel,Telecom,Odisha,Tower Infrastructure,2022-08-29,2022-12-31,2025-11-30,2025-11-30,167.59,179.79,PAI26-100023,OCMS-2020-10023,PMG-50023
PAI-00025,Road Widening Project 025 - Tamil Nadu,Ministry of Road Transport & Highways,MoRTH,Roads,Tamil Nadu,Road Widening,2022-11-22,2023-08-07,2026-11-07,2027-02-27,150.0,189.84,PAI26-100024,OCMS-2021-10024,PMG-50024
PAI-00026,Electrification Project 026 - Punjab,Ministry of Railways,RVNL,Railways,Punjab,Electrification,2022-02-26,2022-05-08,2024-12-08,2024-12-11,150.0,159.32,PAI26-100025,OCMS-2022-10025,PMG-50025
PAI-00027,Transmission Project 027 - Madhya Pradesh,Ministry of Power,NHPC,Power,Madhya Pradesh,Transmission,2022-03-23,2022-11-01,2025-05-01,2025-12-13,308.31,404.39,PAI26-100026,OCMS-2023-10026,PMG-50026
PAI-00028,Terminal Project 028 - Karnataka,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Karnataka,Terminal,2023-12-22,2024-08-27,2028-01-27,2028-04-30,438.68,534.53,PAI26-100027,OCMS-2024-10027,PMG-50027
PAI-00029,Airport Expansion Project 029 - Odisha,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Odisha,Airport Expansion,2023-06-25,2024-03-02,2027-12-02,2027-12-11,914.32,1029.24,PAI26-100028,OCMS-2018-10028,PMG-50028
PAI-00030,5G Infrastructure Project 030 - Tamil Nadu,Ministry of Telecommunications,Department of Telecommunications,Telecom,Tamil Nadu,5G Infrastructure,2023-10-16,2024-06-20,2027-10-20,2027-11-12,150.0,153.03,PAI26-100029,OCMS-2019-10029,PMG-50029
PAI-00031,Bridge Project 031 - Haryana,Ministry of Road Transport & Highways,NHAI,Roads,Haryana,Bridge,2023-03-27,2023-06-17,2027-12-17,2028-02-08,150.0,163.12,PAI26-100030,OCMS-2020-10030,PMG-50030
PAI-00032,Rail Corridor Project 032 - West Bengal,Ministry of Railways,RVNL,Railways,West Bengal,Rail Corridor,2022-10-20,2023-02-03,2026-09-03,2026-09-03,1188.1,1315.88,PAI26-100031,OCMS-2021-10031,PMG-50031
PAI-00033,Transmission Project 033 - Chhattisgarh,Ministry of Power,NHPC,Power,Chhattisgarh,Transmission,2022-12-05,2023-03-04,2026-07-04,2026-09-22,163.57,189.37,PAI26-100032,OCMS-2022-10032,PMG-50032
PAI-00034,Terminal Project 034 - Bihar,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Bihar,Terminal,2022-01-10,2022-06-24,2026-09-24,2026-10-12,239.16,269.81,PAI26-100033,OCMS-2023-10033,PMG-50033
PAI-00035,Airport Expansion Project 035 - Telangana,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Telangana,Airport Expansion,2022-08-06,2023-05-28,2026-05-28,2026-10-02,534.46,686.22,PAI26-100034,OCMS-2024-10034,PMG-50034
PAI-00036,Fiber Network Project 036 - Bihar,Ministry of Telecommunications,Department of Telecommunications,Telecom,Bihar,Fiber Network,2023-09-28,2024-03-22,2026-07-22,2026-09-05,161.58,174.53,PAI26-100035,OCMS-2018-10035,PMG-50035
PAI-00037,Bridge Project 037 - Gujarat,Ministry of Road Transport & Highways,MoRTH,Roads,Gujarat,Bridge,2022-07-30,2023-02-27,2027-04-27,2027-08-13,150.0,188.0,PAI26-100036,OCMS-2019-10036,PMG-50036
PAI-00038,Electrification Project 038 - Haryana,Ministry of Railways,Indian Railways,Railways,Haryana,Electrification,2022-10-20,2023-06-05,2026-08-05,2027-05-02,150.0,201.56,PAI26-100037,OCMS-2020-10037,PMG-50037
PAI-00039,Grid Modernisation Project 039 - Odisha,Ministry of Power,NHPC,Power,Odisha,Grid Modernisation,2023-04-11,2023-12-28,2026-07-28,2026-07-28,150.0,150.0,PAI26-100038,OCMS-2021-10038,PMG-50038
PAI-00040,Port Expansion Project 040 - Maharashtra,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Maharashtra,Port Expansion,2022-04-08,2022-08-13,2026-06-13,2026-10-01,356.56,409.59,PAI26-100039,OCMS-2022-10039,PMG-50039
PAI-00041,Airport Expansion Project 041 - Sikkim,Ministry of Civil Aviation,AAI,Civil Aviation,Sikkim,Airport Expansion,2023-08-24,2024-06-12,2028-06-12,2028-06-12,150.0,151.06,PAI26-100040,OCMS-2023-10040,PMG-50040
PAI-00042,Fiber Network Project 042 - Tamil Nadu,Ministry of Telecommunications,RailTel,Telecom,Tamil Nadu,Fiber Network,2023-08-06,2023-10-21,2028-03-21,2028-03-21,463.44,463.44,PAI26-100041,OCMS-2024-10041,PMG-50041
PAI-00043,Expressway Project 043 - Chhattisgarh,Ministry of Road Transport & Highways,NHIDCL,Roads,Chhattisgarh,Expressway,2022-03-12,2022-11-29,2026-09-29,2026-11-20,368.97,398.7,PAI26-100042,OCMS-2018-10042,PMG-50042
PAI-00044,Electrification Project 044 - Sikkim,Ministry of Railways,RVNL,Railways,Sikkim,Electrification,2022-09-09,2023-01-26,2026-01-26,2026-01-26,174.24,180.02,PAI26-100043,OCMS-2019-10043,PMG-50043
PAI-00045,Grid Modernisation Project 045 - Bihar,Ministry of Power,NHPC,Power,Bihar,Grid Modernisation,2023-12-28,2024-06-01,2028-09-01,2028-10-27,150.0,150.0,PAI26-100044,OCMS-2020-10044,PMG-50044
PAI-00046,Terminal Project 046 - Sikkim,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Sikkim,Terminal,2022-01-28,2022-05-24,2024-06-24,2024-09-07,225.25,258.13,PAI26-100045,OCMS-2021-10045,PMG-50045
PAI-00047,Terminal Project 047 - Madhya Pradesh,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Madhya Pradesh,Terminal,2022-12-11,2023-09-13,2027-04-13,2027-05-08,292.13,302.26,PAI26-100046,OCMS-2022-10046,PMG-50046
PAI-00048,Tower Infrastructure Project 048 - Rajasthan,Ministry of Telecommunications,BSNL,Telecom,Rajasthan,Tower Infrastructure,2023-04-19,2024-01-29,2028-04-29,2028-08-01,150.0,157.77,PAI26-100047,OCMS-2023-10047,PMG-50047
PAI-00049,Road Widening Project 049 - Uttarakhand,Ministry of Road Transport & Highways,NHIDCL,Roads,Uttarakhand,Road Widening,2023-07-02,2023-09-11,2027-02-11,2027-02-22,434.27,434.27,PAI26-100048,OCMS-2024-10048,PMG-50048
PAI-00050,Rail Corridor Project 050 - Tamil Nadu,Ministry of Railways,IRCON,Railways,Tamil Nadu,Rail Corridor,2022-03-10,2022-05-16,2025-01-16,2025-02-28,244.81,264.7,PAI26-100049,OCMS-2018-10049,PMG-50049
PAI-00051,Generation Project 051 - Karnataka,Ministry of Power,NHPC,Power,Karnataka,Generation,2022-01-30,2022-09-27,2025-10-27,2025-10-27,150.0,150.0,PAI26-100050,OCMS-2019-10050,PMG-50050
PAI-00052,Dredging Project 052 - Sikkim,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Sikkim,Dredging,2023-05-10,2023-08-12,2027-04-12,2027-05-12,150.0,163.04,PAI26-100051,OCMS-2020-10051,PMG-50051
PAI-00053,Runway Project 053 - Andhra Pradesh,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Andhra Pradesh,Runway,2022-08-15,2023-03-25,2026-11-25,2026-11-25,216.28,223.87,PAI26-100052,OCMS-2021-10052,PMG-50052
PAI-00054,5G Infrastructure Project 054 - Andhra Pradesh,Ministry of Telecommunications,RailTel,Telecom,Andhra Pradesh,5G Infrastructure,2022-11-27,2023-07-06,2027-10-06,2028-01-05,602.63,651.81,PAI26-100053,OCMS-2022-10053,PMG-50053
PAI-00055,National Highway Project 055 - Karnataka,Ministry of Road Transport & Highways,MoRTH,Roads,Karnataka,National Highway,2022-04-04,2022-06-19,2026-02-19,2026-02-19,405.32,422.3,PAI26-100054,OCMS-2023-10054,PMG-50054
PAI-00056,Electrification Project 056 - Uttar Pradesh,Ministry of Railways,RVNL,Railways,Uttar Pradesh,Electrification,2023-06-23,2023-10-02,2028-05-02,2028-08-23,614.67,802.24,PAI26-100055,OCMS-2024-10055,PMG-50055
PAI-00057,Grid Modernisation Project 057 - Madhya Pradesh,Ministry of Power,NTPC,Power,Madhya Pradesh,Grid Modernisation,2023-04-27,2023-11-21,2028-04-21,2028-05-02,211.29,222.22,PAI26-100056,OCMS-2018-10056,PMG-50056
PAI-00058,Inland Waterway Project 058 - Karnataka,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Karnataka,Inland Waterway,2023-07-25,2024-05-11,2026-09-11,2026-10-04,150.0,153.5,PAI26-100057,OCMS-2019-10057,PMG-50057
PAI-00059,Terminal Project 059 - Bihar,Ministry of Civil Aviation,AAI,Civil Aviation,Bihar,Terminal,2023-03-17,2023-12-12,2026-04-12,2026-11-04,274.3,343.36,PAI26-100058,OCMS-2020-10058,PMG-50058
PAI-00060,Tower Infrastructure Project 060 - Andhra Pradesh,Ministry of Telecommunications,BSNL,Telecom,Andhra Pradesh,Tower Infrastructure,2023-04-05,2024-01-12,2026-04-12,2026-05-04,150.0,168.08,PAI26-100059,OCMS-2021-10059,PMG-50059
PAI-00061,Bridge Project 061 - Sikkim,Ministry of Road Transport & Highways,MoRTH,Roads,Sikkim,Bridge,2022-11-15,2023-08-17,2025-11-17,2026-06-22,150.0,176.73,PAI26-100060,OCMS-2022-10060,PMG-50060
PAI-00062,Bridge Project 062 - Gujarat,Ministry of Railways,IRCON,Railways,Gujarat,Bridge,2023-09-25,2024-02-10,2026-04-10,2026-09-06,1238.92,1467.87,PAI26-100061,OCMS-2023-10061,PMG-50061
PAI-00063,Transmission Project 063 - West Bengal,Ministry of Power,NTPC,Power,West Bengal,Transmission,2023-07-09,2024-03-08,2027-02-08,2027-02-08,286.88,316.6,PAI26-100062,OCMS-2024-10062,PMG-50062
PAI-00064,Inland Waterway Project 064 - Karnataka,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Karnataka,Inland Waterway,2022-02-23,2022-05-03,2027-05-03,2027-09-05,518.2,583.24,PAI26-100063,OCMS-2018-10063,PMG-50063
PAI-00065,Runway Project 065 - Bihar,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Bihar,Runway,2023-07-07,2024-02-07,2027-03-07,2027-05-27,161.37,177.01,PAI26-100064,OCMS-2019-10064,PMG-50064
PAI-00066,5G Infrastructure Project 066 - Jharkhand,Ministry of Telecommunications,RailTel,Telecom,Jharkhand,5G Infrastructure,2022-03-05,2022-09-29,2026-09-29,2026-12-06,616.1,678.83,PAI26-100065,OCMS-2020-10065,PMG-50065
PAI-00067,Expressway Project 067 - Rajasthan,Ministry of Road Transport & Highways,MoRTH,Roads,Rajasthan,Expressway,2022-08-16,2023-02-24,2026-08-24,2027-05-16,150.0,212.76,PAI26-100066,OCMS-2021-10066,PMG-50066
PAI-00068,Electrification Project 068 - Assam,Ministry of Railways,IRCON,Railways,Assam,Electrification,2022-03-13,2022-05-15,2025-02-15,2025-08-17,150.0,178.5,PAI26-100067,OCMS-2022-10067,PMG-50067
PAI-00069,Generation Project 069 - Gujarat,Ministry of Power,NHPC,Power,Gujarat,Generation,2022-07-28,2023-02-07,2025-03-07,2025-05-08,197.69,207.73,PAI26-100068,OCMS-2023-10068,PMG-50068
PAI-00070,Terminal Project 070 - Odisha,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Odisha,Terminal,2022-07-22,2022-12-07,2025-01-07,2025-11-12,356.64,501.46,PAI26-100069,OCMS-2024-10069,PMG-50069
PAI-00071,Air Navigation Project 071 - Telangana,Ministry of Civil Aviation,AAI,Civil Aviation,Telangana,Air Navigation,2022-12-26,2023-09-11,2028-01-11,2028-02-07,150.0,159.14,PAI26-100070,OCMS-2018-10070,PMG-50070
PAI-00072,5G Infrastructure Project 072 - Andhra Pradesh,Ministry of Telecommunications,RailTel,Telecom,Andhra Pradesh,5G Infrastructure,2023-09-21,2024-02-24,2026-04-24,2026-05-28,383.34,455.17,PAI26-100071,OCMS-2019-10071,PMG-50071
PAI-00073,Expressway Project 073 - Chhattisgarh,Ministry of Road Transport & Highways,NHAI,Roads,Chhattisgarh,Expressway,2022-06-26,2023-01-15,2026-03-15,2026-12-15,150.0,213.31,PAI26-100072,OCMS-2020-10072,PMG-50072
PAI-00074,Station Redevelopment Project 074 - Telangana,Ministry of Railways,IRCON,Railways,Telangana,Station Redevelopment,2022-06-09,2023-03-25,2026-09-25,2026-11-20,219.76,219.76,PAI26-100073,OCMS-2021-10073,PMG-50073
PAI-00075,Grid Modernisation Project 075 - Karnataka,Ministry of Power,NTPC,Power,Karnataka,Grid Modernisation,2022-05-28,2022-10-13,2026-06-13,2026-06-22,333.28,333.28,PAI26-100074,OCMS-2022-10074,PMG-50074
PAI-00076,Port Expansion Project 076 - Sikkim,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Sikkim,Port Expansion,2022-06-12,2022-12-18,2026-10-18,2027-04-23,343.94,417.16,PAI26-100075,OCMS-2023-10075,PMG-50075
PAI-00077,Runway Project 077 - Assam,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Assam,Runway,2022-10-01,2023-07-17,2028-03-17,2028-05-11,150.0,157.26,PAI26-100076,OCMS-2024-10076,PMG-50076
PAI-00078,5G Infrastructure Project 078 - Rajasthan,Ministry of Telecommunications,BSNL,Telecom,Rajasthan,5G Infrastructure,2022-12-30,2023-05-06,2026-05-06,2026-05-06,226.9,226.9,PAI26-100077,OCMS-2018-10077,PMG-50077
PAI-00079,Bridge Project 079 - Gujarat,Ministry of Road Transport & Highways,NHIDCL,Roads,Gujarat,Bridge,2023-07-21,2023-11-28,2025-11-28,2026-01-17,262.73,277.79,PAI26-100078,OCMS-2019-10078,PMG-50078
PAI-00080,Bridge Project 080 - Rajasthan,Ministry of Railways,RVNL,Railways,Rajasthan,Bridge,2022-12-04,2023-05-01,2025-12-01,2025-12-01,157.2,162.51,PAI26-100079,OCMS-2020-10079,PMG-50079
PAI-00081,Substation Project 081 - West Bengal,Ministry of Power,Power Grid Corporation,Power,West Bengal,Substation,2022-01-15,2022-11-05,2027-04-05,2027-05-02,355.14,408.81,PAI26-100080,OCMS-2021-10080,PMG-50080
PAI-00082,Dredging Project 082 - Uttar Pradesh,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Uttar Pradesh,Dredging,2022-06-13,2023-03-17,2026-03-17,2026-05-28,286.84,318.45,PAI26-100081,OCMS-2022-10081,PMG-50081
PAI-00083,Air Navigation Project 083 - Kerala,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Kerala,Air Navigation,2022-05-03,2023-01-04,2027-11-04,2028-04-05,150.0,179.69,PAI26-100082,OCMS-2023-10082,PMG-50082
PAI-00084,Tower Infrastructure Project 084 - Telangana,Ministry of Telecommunications,Department of Telecommunications,Telecom,Telangana,Tower Infrastructure,2023-05-09,2024-02-19,2026-09-19,2026-10-11,150.0,159.73,PAI26-100083,OCMS-2024-10083,PMG-50083
PAI-00085,Expressway Project 085 - Maharashtra,Ministry of Road Transport & Highways,NHIDCL,Roads,Maharashtra,Expressway,2023-10-08,2024-07-11,2028-05-11,2028-06-13,171.41,184.63,PAI26-100084,OCMS-2018-10084,PMG-50084
PAI-00086,Bridge Project 086 - Sikkim,Ministry of Railways,Indian Railways,Railways,Sikkim,Bridge,2022-10-14,2023-07-30,2027-03-30,2027-03-30,240.29,240.29,PAI26-100085,OCMS-2019-10085,PMG-50085
PAI-00087,Substation Project 087 - Andhra Pradesh,Ministry of Power,Power Grid Corporation,Power,Andhra Pradesh,Substation,2022-07-11,2023-01-23,2027-03-23,2027-03-23,198.56,201.93,PAI26-100086,OCMS-2020-10086,PMG-50086
PAI-00088,Inland Waterway Project 088 - Haryana,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Haryana,Inland Waterway,2023-08-22,2024-02-02,2027-09-02,2027-11-22,158.97,163.8,PAI26-100087,OCMS-2021-10087,PMG-50087
PAI-00089,Runway Project 089 - Jharkhand,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Jharkhand,Runway,2022-09-11,2023-02-14,2026-09-14,2026-12-12,525.75,588.02,PAI26-100088,OCMS-2022-10088,PMG-50088
PAI-00090,5G Infrastructure Project 090 - Karnataka,Ministry of Telecommunications,RailTel,Telecom,Karnataka,5G Infrastructure,2022-02-21,2022-11-21,2026-02-21,2026-05-31,150.0,174.99,PAI26-100089,OCMS-2023-10089,PMG-50089
PAI-00091,Expressway Project 091 - Karnataka,Ministry of Road Transport & Highways,NHIDCL,Roads,Karnataka,Expressway,2023-09-11,2024-02-21,2028-08-21,2028-09-05,381.1,401.37,PAI26-100090,OCMS-2024-10090,PMG-50090
PAI-00092,Electrification Project 092 - Tamil Nadu,Ministry of Railways,Indian Railways,Railways,Tamil Nadu,Electrification,2023-04-20,2024-01-14,2028-01-14,2028-01-14,150.0,154.58,PAI26-100091,OCMS-2018-10091,PMG-50091
PAI-00093,Transmission Project 093 - Tamil Nadu,Ministry of Power,NTPC,Power,Tamil Nadu,Transmission,2022-06-24,2022-12-22,2025-02-22,2025-03-21,372.52,395.28,PAI26-100092,OCMS-2019-10092,PMG-50092
PAI-00094,Dredging Project 094 - Madhya Pradesh,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Madhya Pradesh,Dredging,2023-04-28,2024-02-16,2028-11-16,2028-12-11,191.86,193.74,PAI26-100093,OCMS-2020-10093,PMG-50093
PAI-00095,Runway Project 095 - Andhra Pradesh,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Andhra Pradesh,Runway,2023-08-26,2023-11-17,2026-11-17,2026-12-05,232.74,232.74,PAI26-100094,OCMS-2021-10094,PMG-50094
PAI-00096,Fiber Network Project 096 - Uttarakhand,Ministry of Telecommunications,RailTel,Telecom,Uttarakhand,Fiber Network,2023-12-03,2024-08-23,2026-09-23,2026-10-09,549.07,549.3,PAI26-100095,OCMS-2022-10095,PMG-50095
PAI-00097,Bridge Project 097 - Odisha,Ministry of Road Transport & Highways,NHIDCL,Roads,Odisha,Bridge,2023-01-15,2023-04-05,2027-03-05,2027-06-12,210.36,267.84,PAI26-100096,OCMS-2023-10096,PMG-50096
PAI-00098,Station Redevelopment Project 098 - Assam,Ministry of Railways,IRCON,Railways,Assam,Station Redevelopment,2023-10-07,2024-03-18,2026-06-18,2026-06-18,501.27,509.76,PAI26-100097,OCMS-2024-10097,PMG-50097
PAI-00099,Substation Project 099 - Sikkim,Ministry of Power,NHPC,Power,Sikkim,Substation,2022-06-26,2023-03-03,2026-04-03,2026-05-14,150.0,160.44,PAI26-100098,OCMS-2018-10098,PMG-50098
PAI-00100,Port Expansion Project 100 - Haryana,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Haryana,Port Expansion,2023-07-31,2024-03-11,2027-01-11,2027-10-03,394.8,542.26,PAI26-100099,OCMS-2019-10099,PMG-50099
PAI-00101,Terminal Project 101 - Haryana,Ministry of Civil Aviation,AAI,Civil Aviation,Haryana,Terminal,2022-01-20,2022-04-14,2026-09-14,2027-03-09,150.0,180.82,PAI26-100100,OCMS-2020-10100,PMG-50100
PAI-00102,Tower Infrastructure Project 102 - Sikkim,Ministry of Telecommunications,Department of Telecommunications,Telecom,Sikkim,Tower Infrastructure,2023-04-26,2023-09-22,2026-04-22,2026-09-02,150.0,179.52,PAI26-100101,OCMS-2021-10101,PMG-50101
PAI-00103,National Highway Project 103 - Haryana,Ministry of Road Transport & Highways,NHAI,Roads,Haryana,National Highway,2022-12-17,2023-05-09,2025-05-09,2025-08-07,151.22,181.13,PAI26-100102,OCMS-2022-10102,PMG-50102
PAI-00104,Rail Corridor Project 104 - Odisha,Ministry of Railways,RVNL,Railways,Odisha,Rail Corridor,2023-04-03,2023-07-27,2026-03-27,2026-05-25,344.45,370.62,PAI26-100103,OCMS-2023-10103,PMG-50103
PAI-00105,Generation Project 105 - Madhya Pradesh,Ministry of Power,NHPC,Power,Madhya Pradesh,Generation,2022-06-18,2023-03-15,2025-06-15,2025-07-01,150.0,162.05,PAI26-100104,OCMS-2024-10104,PMG-50104
PAI-00106,Terminal Project 106 - Assam,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Assam,Terminal,2022-06-10,2023-01-23,2026-01-23,2026-04-07,150.0,163.89,PAI26-100105,OCMS-2018-10105,PMG-50105
PAI-00107,Terminal Project 107 - Haryana,Ministry of Civil Aviation,AAI,Civil Aviation,Haryana,Terminal,2022-10-11,2023-05-05,2025-11-05,2025-11-05,685.7,685.7,PAI26-100106,OCMS-2019-10106,PMG-50106
PAI-00108,Fiber Network Project 108 - Assam,Ministry of Telecommunications,BSNL,Telecom,Assam,Fiber Network,2023-08-19,2023-12-15,2027-07-15,2027-11-10,414.21,485.25,PAI26-100107,OCMS-2020-10107,PMG-50107
PAI-00109,Road Widening Project 109 - West Bengal,Ministry of Road Transport & Highways,NHAI,Roads,West Bengal,Road Widening,2023-03-24,2023-12-26,2026-06-26,2026-10-22,150.0,182.54,PAI26-100108,OCMS-2021-10108,PMG-50108
PAI-00110,Station Redevelopment Project 110 - West Bengal,Ministry of Railways,IRCON,Railways,West Bengal,Station Redevelopment,2022-07-06,2022-09-30,2026-12-30,2027-05-28,153.36,197.25,PAI26-100109,OCMS-2022-10109,PMG-50109
