milestone_id,internal_project_id,milestone_name,planned_date,actual_date,status,delay_days
MS-00005-04-01,PAI-00005,Milestone 4-1,2024-07-03,2024-07-30,COMPLETED,27
MS-00005-08-01,PAI-00005,Milestone 8-1,2024-11-04,2024-11-06,COMPLETED,2
MS-00005-08-02,PAI-00005,Milestone 8-2,2024-11-03,2024-11-18,COMPLETED,15
MS-00005-12-01,PAI-00005,Milestone 12-1,2025-01-14,2025-01-14,COMPLETED,0
MS-00005-12-02,PAI-00005,Milestone 12-2,2025-03-13,2025-04-28,COMPLETED,46
MS-00005-16-01,PAI-00005,Milestone 16-1,2025-06-27,2025-08-09,COMPLETED,43
MS-00005-20-01,PAI-00005,Milestone 20-1,2025-09-25,,DELAYED,0
MS-00005-24-01,PAI-00005,Milestone 24-1,2026-01-25,2026-01-25,COMPLETED,0
MS-00006-04-01,PAI-00006,Milestone 4-1,2024-07-08,2024-09-04,COMPLETED,58
MS-00006-08-01,PAI-00006,Milestone 8-1,2024-09-29,,DELAYED,0
MS-00006-08-02,PAI-00006,Milestone 8-2,2024-10-09,2024-12-01,COMPLETED,53
MS-00006-12-01,PAI-00006,Milestone 12-1,2025-03-05,,DELAYED,0
MS-00006-16-01,PAI-00006,Milestone 16-1,2025-07-13,,DELAYED,0
MS-00006-16-02,PAI-00006,Milestone 16-2,2025-06-02,,DELAYED,0
MS-00006-20-01,PAI-00006,Milestone 20-1,2025-10-08,,DELAYED,0
MS-00006-24-01,PAI-00006,Milestone 24-1,2026-03-04,,DELAYED,0
MS-00006-24-02,PAI-00006,Milestone 24-2,2026-02-03,2026-04-22,COMPLETED,78
MS-00007-04-01,PAI-00007,Milestone 4-1,2024-05-28,2024-06-26,COMPLETED,29
MS-00007-04-02,PAI-00007,Milestone 4-2,2024-06-07,2024-06-29,COMPLETED,22
MS-00007-08-01,PAI-00007,Milestone 8-1,2024-10-23,2024-10-23,COMPLETED,0
MS-00007-08-02,PAI-00007,Milestone 8-2,2024-10-03,2024-10-03,COMPLETED,0
MS-00007-12-01,PAI-00007,Milestone 12-1,2025-03-13,2025-03-29,COMPLETED,16
MS-00007-12-02,PAI-00007,Milestone 12-2,2025-02-11,2025-02-11,COMPLETED,0
MS-00007-16-01,PAI-00007,Milestone 16-1,2025-07-13,,DELAYED,0
MS-00007-20-01,PAI-00007,Milestone 20-1,2025-09-24,2025-10-22,COMPLETED,28
MS-00007-24-01,PAI-00007,Milestone 24-1,2026-02-18,,DELAYED,0
MS-00008-04-01,PAI-00008,Milestone 4-1,2024-05-12,2024-05-12,COMPLETED,0
MS-00008-04-02,PAI-00008,Milestone 4-2,2024-07-08,,DELAYED,0
MS-00008-08-01,PAI-00008,Milestone 8-1,2024-10-21,2024-10-21,COMPLETED,0
MS-00008-12-01,PAI-00008,Milestone 12-1,2025-02-23,2025-03-09,COMPLETED,14
MS-00008-16-01,PAI-00008,Milestone 16-1,2025-07-16,2025-08-07,COMPLETED,22
MS-00008-16-02,PAI-00008,Milestone 16-2,2025-06-18,2025-07-17,COMPLETED,29
MS-00008-20-01,PAI-00008,Milestone 20-1,2025-10-18,2025-10-18,COMPLETED,0
MS-00008-24-01,PAI-00008,Milestone 24-1,2026-02-05,2026-02-25,COMPLETED,20
MS-00008-24-02,PAI-00008,Milestone 24-2,2026-02-18,2026-02-18,COMPLETED,0
MS-00009-04-01,PAI-00009,Milestone 4-1,2024-05-24,,DELAYED,0
MS-00009-04-02,PAI-00009,Milestone 4-2,2024-06-24,,DELAYED,0
MS-00009-08-01,PAI-00009,Milestone 8-1,2024-11-10,,DELAYED,0
MS-00009-08-02,PAI-00009,Milestone 8-2,2024-09-30,2024-12-12,COMPLETED,73
MS-00009-12-01,PAI-00009,Milestone 12-1,2025-02-23,2025-05-03,COMPLETED,69
MS-00009-16-01,PAI-00009,Milestone 16-1,2025-07-14,2025-08-20,COMPLETED,37
MS-00009-20-01,PAI-00009,Milestone 20-1,2025-10-24,,DELAYED,0
MS-00009-20-02,PAI-00009,Milestone 20-2,2025-10-09,2025-10-28,COMPLETED,19
MS-00009-24-01,PAI-00009,Milestone 24-1,2026-02-27,2026-05-02,COMPLETED,64
MS-00010-04-01,PAI-00010,Milestone 4-1,2024-05-12,2024-06-10,COMPLETED,29
MS-00010-08-01,PAI-00010,Milestone 8-1,2024-09-30,2024-10-14,COMPLETED,14
MS-00010-12-01,PAI-00010,Milestone 12-1,2025-02-07,2025-02-21,COMPLETED,14
MS-00010-16-01,PAI-00010,Milestone 16-1,2025-07-10,2025-08-21,COMPLETED,42
MS-00010-20-01,PAI-00010,Milestone 20-1,2025-10-15,2025-10-15,COMPLETED,0
MS-00010-24-01,PAI-00010,Milestone 24-1,2026-03-15,,DELAYED,0
MS-00010-24-02,PAI-00010,Milestone 24-2,2026-01-30,2026-04-12,COMPLETED,72
MS-00011-04-01,PAI-00011,Milestone 4-1,2024-07-08,,DELAYED,0
MS-00011-04-02,PAI-00011,Milestone 4-2,2024-05-17,2024-05-17,COMPLETED,0
MS-00011-08-01,PAI-00011,Milestone 8-1,2024-10-05,2024-10-31,COMPLETED,26
MS-00011-08-02,PAI-00011,Milestone 8-2,2024-10-20,2024-10-21,COMPLETED,1
MS-00011-12-01,PAI-00011,Milestone 12-1,2025-03-17,2025-04-24,COMPLETED,38
MS-00011-16-01,PAI-00011,Milestone 16-1,2025-06-21,2025-07-11,COMPLETED,20
MS-00011-20-01,PAI-00011,Milestone 20-1,2025-11-04,2025-11-15,COMPLETED,11
MS-00011-20-02,PAI-00011,Milestone 20-2,2025-10-24,,DELAYED,0
MS-00011-24-01,PAI-00011,Milestone 24-1,2026-01-13,2026-03-07,COMPLETED,53
MS-00011-24-02,PAI-00011,Milestone 24-2,2026-02-17,,DELAYED,0
MS-00012-04-01,PAI-00012,Milestone 4-1,2024-05-18,2024-05-22,COMPLETED,4
MS-00012-04-02,PAI-00012,Milestone 4-2,2024-07-13,,DELAYED,0
MS-00012-08-01,PAI-00012,Milestone 8-1,2024-11-08,2024-12-15,COMPLETED,37
MS-00012-08-02,PAI-00012,Milestone 8-2,2024-09-30,2024-10-09,COMPLETED,9
MS-00012-12-01,PAI-00012,Milestone 12-1,2025-01-25,2025-02-11,COMPLETED,17
MS-00012-12-02,PAI-00012,Milestone 12-2,2025-01-29,2025-03-22,COMPLETED,52
MS-00012-16-01,PAI-00012,Milestone 16-1,2025-05-27,,DELAYED,0
MS-00012-20-01,PAI-00012,Milestone 20-1,2025-10-27,,DELAYED,0
MS-00012-24-01,PAI-00012,Milestone 24-1,2026-01-15,2026-01-23,COMPLETED,8
MS-00012-24-02,PAI-00012,Milestone 24-2,2026-03-06,2026-04-20,COMPLETED,45
MS-00013-04-01,PAI-00013,Milestone 4-1,2024-05-30,2024-05-30,COMPLETED,0
MS-00013-04-02,PAI-00013,Milestone 4-2,2024-06-16,2024-07-15,COMPLETED,29
MS-00013-08-01,PAI-00013,Milestone 8-1,2024-10-03,2024-10-14,COMPLETED,11
MS-00013-12-01,PAI-00013,Milestone 12-1,2025-03-16,,DELAYED,0
MS-00013-12-02,PAI-00013,Milestone 12-2,2025-01-14,2025-03-02,COMPLETED,47
MS-00013-16-01,PAI-00013,Milestone 16-1,2025-05-11,2025-05-11,COMPLETED,0
MS-00013-20-01,PAI-00013,Milestone 20-1,2025-09-12,,DELAYED,0
MS-00013-24-01,PAI-00013,Milestone 24-1,2026-01-12,2026-01-14,COMPLETED,2
MS-00013-24-02,PAI-00013,Milestone 24-2,2026-01-21,,DELAYED,0
MS-00014-04-01,PAI-00014,Milestone 4-1,2024-07-17,2024-07-31,COMPLETED,14
MS-00014-08-01,PAI-00014,Milestone 8-1,2024-11-17,2024-11-26,COMPLETED,9
MS-00014-12-01,PAI-00014,Milestone 12-1,2025-03-03,2025-03-24,COMPLETED,21
MS-00014-12-02,PAI-00014,Milestone 12-2,2025-02-12,2025-02-12,COMPLETED,0
MS-00014-16-01,PAI-00014,Milestone 16-1,2025-05-15,,DELAYED,0
MS-00014-16-02,PAI-00014,Milestone 16-2,2025-06-29,,DELAYED,0
MS-00014-20-01,PAI-00014,Milestone 20-1,2025-09-28,2025-10-01,COMPLETED,3
MS-00014-24-01,PAI-00014,Milestone 24-1,2026-02-28,2026-03-26,COMPLETED,26
MS-00014-24-02,PAI-00014,Milestone 24-2,2026-01-21,2026-01-21,COMPLETED,0
MS-00015-04-01,PAI-00015,Milestone 4-1,2024-06-27,2024-07-21,COMPLETED,24
MS-00015-08-01,PAI-00015,Milestone 8-1,2024-11-07,,DELAYED,0
MS-00015-08-02,PAI-00015,Milestone 8-2,2024-09-28,,DELAYED,0
MS-00015-12-01,PAI-00015,Milestone 12-1,2025-03-13,2025-05-07,COMPLETED,55
MS-00015-12-02,PAI-00015,Milestone 12-2,2025-03-03,,DELAYED,0
MS-00015-16-01,PAI-00015,Milestone 16-1,2025-05-17,2025-06-02,COMPLETED,16
MS-00015-16-02,PAI-00015,Milestone 16-2,2025-06-28,,DELAYED,0
MS-00015-20-01,PAI-00015,Milestone 20-1,2025-10-07,,DELAYED,0
MS-00015-24-01,PAI-00015,Milestone 24-1,2026-03-15,2026-04-26,COMPLETED,42
MS-00016-04-01,PAI-00016,Milestone 4-1,2024-07-13,,DELAYED,0
MS-00016-04-02,PAI-00016,Milestone 4-2,2024-06-08,2024-06-08,COMPLETED,0
MS-00016-08-01,PAI-00016,Milestone 8-1,2024-11-14,,DELAYED,0
MS-00016-08-02,PAI-00016,Milestone 8-2,2024-11-09,2024-12-18,COMPLETED,39
MS-00016-12-01,PAI-00016,Milestone 12-1,2025-02-08,2025-03-04,COMPLETED,24
MS-00016-12-02,PAI-00016,Milestone 12-2,2025-02-20,,DELAYED,0
MS-00016-16-01,PAI-00016,Milestone 16-1,2025-06-02,,DELAYED,0
MS-00016-16-02,PAI-00016,Milestone 16-2,2025-05-19,2025-06-20,COMPLETED,32
MS-00016-20-01,PAI-00016,Milestone 20-1,2025-09-10,,DELAYED,0
MS-00016-24-01,PAI-00016,Milestone 24-1,2026-02-16,,DELAYED,0
MS-00017-04-01,PAI-00017,Milestone 4-1,2024-07-12,2024-08-12,COMPLETED,31
MS-00017-08-01,PAI-00017,Milestone 8-1,2024-10-03,2024-10-08,COMPLETED,5
MS-00017-08-02,PAI-00017,Milestone 8-2,2024-10-26,2024-12-18,COMPLETED,53
MS-00017-12-01,PAI-00017,Milestone 12-1,2025-03-20,,DELAYED,0
MS-00017-12-02,PAI-00017,Milestone 12-2,2025-03-12,,DELAYED,0
MS-00017-16-01,PAI-00017,Milestone 16-1,2025-05-28,,DELAYED,0
MS-00017-20-01,PAI-00017,Milestone 20-1,2025-10-16,,DELAYED,0
MS-00017-20-02,PAI-00017,Milestone 20-2,2025-10-20,2025-12-04,COMPLETED,45
MS-00017-24-01,PAI-00017,Milestone 24-1,2026-02-14,2026-02-27,COMPLETED,13
MS-00017-24-02,PAI-00017,Milestone 24-2,2026-01-13,2026-02-22,COMPLETED,40
MS-00018-04-01,PAI-00018,Milestone 4-1,2024-07-06,2024-08-19,COMPLETED,44
MS-00018-04-02,PAI-00018,Milestone 4-2,2024-07-18,,DELAYED,0
MS-00018-08-01,PAI-00018,Milestone 8-1,2024-11-07,,DELAYED,0
MS-00018-08-02,PAI-00018,Milestone 8-2,2024-10-06,,DELAYED,0
MS-00018-12-01,PAI-00018,Milestone 12-1,2025-03-12,,DELAYED,0
MS-00018-12-02,PAI-00018,Milestone 12-2,2025-01-11,2025-01-11,COMPLETED,0
MS-00018-16-01,PAI-00018,Milestone 16-1,2025-07-01,2025-08-21,COMPLETED,51
MS-00018-16-02,PAI-00018,Milestone 16-2,2025-06-02,,DELAYED,0
MS-00018-20-01,PAI-00018,Milestone 20-1,2025-10-15,,DELAYED,0
MS-00018-24-01,PAI-00018,Milestone 24-1,2026-03-04,2026-03-04,COMPLETED,0
MS-00018-24-02,PAI-00018,Milestone 24-2,2026-03-10,2026-03-10,COMPLETED,0
MS-00019-04-01,PAI-00019,Milestone 4-1,2024-06-30,,DELAYED,0
MS-00019-04-02,PAI-00019,Milestone 4-2,2024-05-21,2024-06-20,COMPLETED,30
MS-00019-08-01,PAI-00019,Milestone 8-1,2024-11-17,2024-12-04,COMPLETED,17
MS-00019-12-01,PAI-00019,Milestone 12-1,2025-02-20,,DELAYED,0
MS-00019-12-02,PAI-00019,Milestone 12-2,2025-02-02,2025-02-24,COMPLETED,22
MS-00019-16-01,PAI-00019,Milestone 16-1,2025-06-24,2025-07-06,COMPLETED,12
MS-00019-16-02,PAI-00019,Milestone 16-2,2025-06-03,,DELAYED,0
MS-00019-20-01,PAI-00019,Milestone 20-1,2025-09-29,2025-09-29,COMPLETED,0
MS-00019-24-01,PAI-00019,Milestone 24-1,2026-02-27,2026-03-27,COMPLETED,28
MS-00020-04-01,PAI-00020,Milestone 4-1,2024-06-09,,DELAYED,0
MS-00020-04-02,PAI-00020,Milestone 4-2,2024-07-13,,DELAYED,0
MS-00020-08-01,PAI-00020,Milestone 8-1,2024-10-22,2024-12-17,COMPLETED,56
MS-00020-08-02,PAI-00020,Milestone 8-2,2024-09-23,2024-10-21,COMPLETED,28
MS-00020-12-01,PAI-00020,Milestone 12-1,2025-02-27,,DELAYED,0
MS-00020-12-02,PAI-00020,Milestone 12-2,2025-02-14,,DELAYED,0
MS-00020-16-01,PAI-00020,Milestone 16-1,2025-06-12,,DELAYED,0
MS-00020-20-01,PAI-00020,Milestone 20-1,2025-10-09,2025-11-20,COMPLETED,42
MS-00020-24-01,PAI-00020,Milestone 24-1,2026-02-27,,DELAYED,0
MS-00020-24-02,PAI-00020,Milestone 24-2,2026-02-18,2026-03-15,COMPLETED,25
MS-00021-04-01,PAI-00021,Milestone 4-1,2024-06-20,,DELAYED,0
MS-00021-04-02,PAI-00021,Milestone 4-2,2024-05-15,,DELAYED,0
MS-00021-08-01,PAI-00021,Milestone 8-1,2024-11-16,2024-12-11,COMPLETED,25
MS-00021-08-02,PAI-00021,Milestone 8-2,2024-09-29,2024-11-08,COMPLETED,40
MS-00021-12-01,PAI-00021,Milestone 12-1,2025-02-07,,DELAYED,0
MS-00021-12-02,PAI-00021,Milestone 12-2,2025-03-14,2025-04-28,COMPLETED,45
MS-00021-16-01,PAI-00021,Milestone 16-1,2025-05-31,2025-06-08,COMPLETED,8
MS-00021-16-02,PAI-00021,Milestone 16-2,2025-07-16,2025-08-20,COMPLETED,35
MS-00021-20-01,PAI-00021,Milestone 20-1,2025-11-14,2025-11-14,COMPLETED,0
MS-00021-24-01,PAI-00021,Milestone 24-1,2026-01-10,2026-02-06,COMPLETED,27
MS-00021-24-02,PAI-00021,Milestone 24-2,2026-02-04,,DELAYED,0
MS-00022-04-01,PAI-00022,Milestone 4-1,2024-06-09,,DELAYED,0
MS-00022-08-01,PAI-00022,Milestone 8-1,2024-11-13,2024-11-19,COMPLETED,6
MS-00022-08-02,PAI-00022,Milestone 8-2,2024-09-18,2024-09-26,COMPLETED,8
MS-00022-12-01,PAI-00022,Milestone 12-1,2025-02-21,2025-02-23,COMPLETED,2
MS-00022-12-02,PAI-00022,Milestone 12-2,2025-02-08,2025-02-12,COMPLETED,4
MS-00022-16-01,PAI-00022,Milestone 16-1,2025-06-09,,DELAYED,0
MS-00022-16-02,PAI-00022,Milestone 16-2,2025-05-14,2025-05-21,COMPLETED,7
MS-00022-20-01,PAI-00022,Milestone 20-1,2025-09-18,2025-09-29,COMPLETED,11
MS-00022-20-02,PAI-00022,Milestone 20-2,2025-11-11,2025-11-11,COMPLETED,0
MS-00022-24-01,PAI-00022,Milestone 24-1,2026-01-25,2026-01-25,COMPLETED,0
MS-00022-24-02,PAI-00022,Milestone 24-2,2026-01-30,2026-02-03,COMPLETED,4
MS-00023-04-01,PAI-00023,Milestone 4-1,2024-07-09,,DELAYED,0
MS-00023-04-02,PAI-00023,Milestone 4-2,2024-06-26,2024-07-18,COMPLETED,22
MS-00023-08-01,PAI-00023,Milestone 8-1,2024-11-15,,DELAYED,0
MS-00023-08-02,PAI-00023,Milestone 8-2,2024-10-04,2024-10-04,COMPLETED,0
MS-00023-12-01,PAI-00023,Milestone 12-1,2025-01-28,,DELAYED,0
MS-00023-12-02,PAI-00023,Milestone 12-2,2025-03-16,2025-03-30,COMPLETED,14
MS-00023-16-01,PAI-00023,Milestone 16-1,2025-06-05,,DELAYED,0
MS-00023-16-02,PAI-00023,Milestone 16-2,2025-06-23,2025-07-15,COMPLETED,22
MS-00023-20-01,PAI-00023,Milestone 20-1,2025-10-14,2025-10-14,COMPLETED,0
MS-00023-20-02,PAI-00023,Milestone 20-2,2025-09-14,2025-09-16,COMPLETED,2
MS-00023-24-01,PAI-00023,Milestone 24-1,2026-02-16,,DELAYED,0
MS-00024-04-01,PAI-00024,Milestone 4-1,2024-05-16,2024-05-16,COMPLETED,0
MS-00024-04-02,PAI-00024,Milestone 4-2,2024-05-29,,DELAYED,0
MS-00024-08-01,PAI-00024,Milestone 8-1,2024-11-14,2024-11-14,COMPLETED,0
MS-00024-08-02,PAI-00024,Milestone 8-2,2024-11-10,2024-12-05,COMPLETED,25
MS-00024-12-01,PAI-00024,Milestone 12-1,2025-03-14,2025-03-14,COMPLETED,0
MS-00024-16-01,PAI-00024,Milestone 16-1,2025-06-26,2025-07-14,COMPLETED,18
MS-00024-16-02,PAI-00024,Milestone 16-2,2025-07-11,2025-07-31,COMPLETED,20
MS-00024-20-01,PAI-00024,Milestone 20-1,2025-09-25,2025-11-12,COMPLETED,48
MS-00024-24-01,PAI-00024,Milestone 24-1,2026-01-26,2026-01-28,COMPLETED,2
MS-00024-24-02,PAI-00024,Milestone 24-2,2026-02-14,2026-03-10,COMPLETED,24
MS-00025-04-01,PAI-00025,Milestone 4-1,2024-05-14,,DELAYED,0
MS-00025-04-02,PAI-00025,Milestone 4-2,2024-05-24,2024-07-10,COMPLETED,47
MS-00025-08-01,PAI-00025,Milestone 8-1,2024-10-22,,DELAYED,0
MS-00025-12-01,PAI-00025,Milestone 12-1,2025-02-09,2025-03-11,COMPLETED,30
MS-00025-12-02,PAI-00025,Milestone 12-2,2025-01-19,,DELAYED,0
MS-00025-16-01,PAI-00025,Milestone 16-1,2025-06-05,,DELAYED,0
MS-00025-16-02,PAI-00025,Milestone 16-2,2025-05-27,2025-07-22,COMPLETED,56
MS-00025-20-01,PAI-00025,Milestone 20-1,2025-11-07,2025-12-19,COMPLETED,42
MS-00025-20-02,PAI-00025,Milestone 20-2,2025-10-09,,DELAYED,0
MS-00025-24-01,PAI-00025,Milestone 24-1,2026-02-03,,DELAYED,0
MS-00025-24-02,PAI-00025,Milestone 24-2,2026-01-25,,DELAYED,0
MS-00026-04-01,PAI-00026,Milestone 4-1,2024-05-16,,DELAYED,0
MS-00026-08-01,PAI-00026,Milestone 8-1,2024-09-29,2024-11-08,COMPLETED,40
MS-00026-12-01,PAI-00026,Milestone 12-1,2025-03-05,,DELAYED,0
MS-00026-16-01,PAI-00026,Milestone 16-1,2025-06-02,2025-07-01,COMPLETED,29
MS-00026-16-02,PAI-00026,Milestone 16-2,2025-05-19,2025-05-19,COMPLETED,0
MS-00026-20-01,PAI-00026,Milestone 20-1,2025-10-18,,DELAYED,0
MS-00026-24-01,PAI-00026,Milestone 24-1,2026-01-26,2026-01-29,COMPLETED,3
MS-00027-04-01,PAI-00027,Milestone 4-1,2024-07-18,2024-07-23,COMPLETED,5
MS-00027-04-02,PAI-00027,Milestone 4-2,2024-07-05,2024-09-22,COMPLETED,79
MS-00027-08-01,PAI-00027,Milestone 8-1,2024-09-28,,DELAYED,0
MS-00027-08-02,PAI-00027,Milestone 8-2,2024-10-23,2024-12-25,COMPLETED,63
MS-00027-12-01,PAI-00027,Milestone 12-1,2025-01-29,,DELAYED,0
MS-00027-12-02,PAI-00027,Milestone 12-2,2025-01-30,,DELAYED,0
MS-00027-16-01,PAI-00027,Milestone 16-1,2025-06-06,2025-08-26,COMPLETED,81
MS-00027-20-01,PAI-00027,Milestone 20-1,2025-10-06,2025-11-25,COMPLETED,50
MS-00027-24-01,PAI-00027,Milestone 24-1,2026-01-18,,DELAYED,0
MS-00027-24-02,PAI-00027,Milestone 24-2,2026-02-15,,DELAYED,0
MS-00028-04-01,PAI-00028,Milestone 4-1,2024-06-14,,DELAYED,0
MS-00028-04-02,PAI-00028,Milestone 4-2,2024-07-01,2024-08-26,COMPLETED,56
MS-00028-08-01,PAI-00028,Milestone 8-1,2024-10-22,2024-12-21,COMPLETED,60
MS-00028-08-02,PAI-00028,Milestone 8-2,2024-10-30,2024-12-29,COMPLETED,60
MS-00028-12-01,PAI-00028,Milestone 12-1,2025-03-19,,DELAYED,0
MS-00028-12-02,PAI-00028,Milestone 12-2,2025-02-18,,DELAYED,0
MS-00028-16-01,PAI-00028,Milestone 16-1,2025-07-13,,DELAYED,0
MS-00028-20-01,PAI-00028,Milestone 20-1,2025-11-16,2025-12-08,COMPLETED,22
MS-00028-20-02,PAI-00028,Milestone 20-2,2025-09-13,,DELAYED,0
MS-00028-24-01,PAI-00028,Milestone 24-1,2026-02-05,,DELAYED,0
MS-00028-24-02,PAI-00028,Milestone 24-2,2026-01-27,,DELAYED,0
MS-00029-04-01,PAI-00029,Milestone 4-1,2024-07-01,2024-07-04,COMPLETED,3
MS-00029-04-02,PAI-00029,Milestone 4-2,2024-05-17,2024-06-26,COMPLETED,40
MS-00029-08-01,PAI-00029,Milestone 8-1,2024-09-29,,DELAYED,0
MS-00029-12-01,PAI-00029,Milestone 12-1,2025-02-01,2025-02-22,COMPLETED,21
MS-00029-12-02,PAI-00029,Milestone 12-2,2025-02-11,2025-03-14,COMPLETED,31
MS-00029-16-01,PAI-00029,Milestone 16-1,2025-05-28,2025-07-06,COMPLETED,39
MS-00029-16-02,PAI-00029,Milestone 16-2,2025-06-30,2025-07-26,COMPLETED,26
MS-00029-20-01,PAI-00029,Milestone 20-1,2025-10-02,,DELAYED,0
MS-00029-20-02,PAI-00029,Milestone 20-2,2025-10-29,,DELAYED,0
MS-00029-24-01,PAI-00029,Milestone 24-1,2026-03-11,,DELAYED,0
MS-00029-24-02,PAI-00029,Milestone 24-2,2026-02-07,2026-02-18,COMPLETED,11
MS-00030-04-01,PAI-00030,Milestone 4-1,2024-07-09,,DELAYED,0
MS-00030-08-01,PAI-00030,Milestone 8-1,2024-10-29,2024-11-22,COMPLETED,24
MS-00030-08-02,PAI-00030,Milestone 8-2,2024-11-15,2024-11-28,COMPLETED,13
MS-00030-12-01,PAI-00030,Milestone 12-1,2025-03-09,,DELAYED,0
MS-00030-12-02,PAI-00030,Milestone 12-2,2025-01-28,2025-02-23,COMPLETED,26
MS-00030-16-01,PAI-00030,Milestone 16-1,2025-07-12,2025-07-24,COMPLETED,12
MS-00030-20-01,PAI-00030,Milestone 20-1,2025-11-03,2025-11-24,COMPLETED,21
MS-00030-24-01,PAI-00030,Milestone 24-1,2026-02-14,2026-02-25,COMPLETED,11
MS-00030-24-02,PAI-00030,Milestone 24-2,2026-01-10,,DELAYED,0
MS-00031-04-01,PAI-00031,Milestone 4-1,2024-06-26,2024-08-05,COMPLETED,40
MS-00031-04-02,PAI-00031,Milestone 4-2,2024-07-06,2024-07-12,COMPLETED,6
MS-00031-08-01,PAI-00031,Milestone 8-1,2024-10-12,2024-10-12,COMPLETED,0
MS-00031-08-02,PAI-00031,Milestone 8-2,2024-10-31,2024-11-04,COMPLETED,4
MS-00031-12-01,PAI-00031,Milestone 12-1,2025-03-10,2025-03-25,COMPLETED,15
MS-00031-12-02,PAI-00031,Milestone 12-2,2025-03-15,2025-04-01,COMPLETED,17
MS-00031-16-01,PAI-00031,Milestone 16-1,2025-07-14,,DELAYED,0
MS-00031-16-02,PAI-00031,Milestone 16-2,2025-06-04,2025-07-22,COMPLETED,48
MS-00031-20-01,PAI-00031,Milestone 20-1,2025-10-25,,DELAYED,0
MS-00031-24-01,PAI-00031,Milestone 24-1,2026-03-14,2026-04-24,COMPLETED,41
MS-00031-24-02,PAI-00031,Milestone 24-2,2026-03-17,2026-04-20,COMPLETED,34
MS-00032-04-01,PAI-00032,Milestone 4-1,2024-06-14,2024-06-22,COMPLETED,8
